,osmid,y,x,street_count,lon,lat,highway,ref,geometry,gridID_lon,gridID_lat,inner_grid_lon,inner_grid_lat
5804,1079344824,51.0615532,13.85369,1,13.85369,51.0615532,,,POINT (13.85369 51.0615532),8.0,4.0,None,None
5805,4375802916,51.0607807,13.8541336,1,13.8541336,51.0607807,,,POINT (13.8541336 51.0607807),8.0,4.0,None,None
5806,1024938633,51.0603605,13.8474732,1,13.8474732,51.0603605,,,POINT (13.8474732 51.0603605),7.0,4.0,None,None
5807,259148184,51.0268287,13.7624936,3,13.7624936,51.0268287,,,POINT (13.7624936 51.0268287),5.0,2.0,None,None
5808,265202684,51.0274336,13.7614082,2,13.7614082,51.0274336,,,POINT (13.7614082 51.0274336),5.0,2.0,None,None
5809,259148563,51.0182404,13.7519127,1,13.7519127,51.0182404,,,POINT (13.7519127 51.0182404),5.0,2.0,None,None
5810,3208341609,51.0205844,13.758965,1,13.758965,51.0205844,,,POINT (13.758965 51.0205844),5.0,2.0,None,None
5811,259171434,51.082111,13.611367,3,13.611367,51.082111,,,POINT (13.611367 51.082111),1.0,5.0,None,None
5812,259171521,51.0821831,13.6119016,4,13.6119016,51.0821831,,,POINT (13.6119016 51.0821831),1.0,5.0,None,None
5813,304414114,51.0817814,13.6114002,3,13.6114002,51.0817814,,,POINT (13.6114002 51.0817814),1.0,5.0,None,None
5814,259171491,51.0801602,13.6104548,1,13.6104548,51.0801602,,,POINT (13.6104548 51.0801602),1.0,5.0,None,None
5815,1517608870,51.0825722,13.6134692,3,13.6134692,51.0825722,,,POINT (13.6134692 51.0825722),1.0,5.0,None,None
5816,259171528,51.082917,13.6165094,3,13.6165094,51.082917,,,POINT (13.6165094 51.082917),1.0,5.0,None,None
5817,259171588,51.0838416,13.6160755,3,13.6160755,51.0838416,,,POINT (13.6160755 51.0838416),1.0,5.0,None,None
5818,259171770,51.0829314,13.6175669,3,13.6175669,51.0829314,,,POINT (13.6175669 51.0829314),1.0,5.0,None,None
5819,259171553,51.0829185,13.6154517,3,13.6154517,51.0829185,,,POINT (13.6154517 51.0829185),1.0,5.0,None,None
5820,8783804317,51.0820873,13.6186661,1,13.6186661,51.0820873,turning_circle,,POINT (13.6186661 51.0820873),1.0,5.0,None,None
5821,259171562,51.085384,13.6157516,1,13.6157516,51.085384,,,POINT (13.6157516 51.085384),1.0,5.0,None,None
5822,259171564,51.0851308,13.6157693,3,13.6157693,51.0851308,,,POINT (13.6157693 51.0851308),1.0,5.0,None,None
5823,259171584,51.0844449,13.6173612,3,13.6173612,51.0844449,,,POINT (13.6173612 51.0844449),1.0,5.0,None,None
5824,288749631,51.0845984,13.6180476,1,13.6180476,51.0845984,,,POINT (13.6180476 51.0845984),1.0,5.0,None,None
5825,293039954,51.0830192,13.6189917,1,13.6189917,51.0830192,,,POINT (13.6189917 51.0830192),1.0,5.0,None,None
5826,293039959,51.084528,13.6235554,3,13.6235554,51.084528,,,POINT (13.6235554 51.084528),1.0,5.0,None,None
5827,259171789,51.0847306,13.6240354,3,13.6240354,51.0847306,,,POINT (13.6240354 51.0847306),1.0,5.0,None,None
5828,288749594,51.0853868,13.621764,1,13.621764,51.0853868,,,POINT (13.621764 51.0853868),1.0,5.0,None,None
5829,288749459,51.0845598,13.6245654,3,13.6245654,51.0845598,,,POINT (13.6245654 51.0845598),1.0,5.0,None,None
5830,259171798,51.0832667,13.6250891,3,13.6250891,51.0832667,,,POINT (13.6250891 51.0832667),1.0,5.0,None,None
5831,1906824531,51.0830773,13.6241727,3,13.6241727,51.0830773,,,POINT (13.6241727 51.0830773),1.0,5.0,None,None
5832,304417994,51.0801551,13.6209894,3,13.6209894,51.0801551,,,POINT (13.6209894 51.0801551),1.0,5.0,None,None
5833,259455568,50.995032,13.8278946,3,13.8278946,50.995032,,,POINT (13.8278946 50.995032),7.0,1.0,None,None
5834,1791999057,50.9939753,13.8261528,3,13.8261528,50.9939753,,,POINT (13.8261528 50.9939753),7.0,1.0,None,None
5835,259455553,50.9939734,13.8299992,3,13.8299992,50.9939734,,,POINT (13.8299992 50.9939734),7.0,1.0,None,None
5836,687001241,50.9940267,13.8298968,3,13.8298968,50.9940267,,,POINT (13.8298968 50.9940267),7.0,1.0,None,None
5837,2744912808,50.9933059,13.8312809,1,13.8312809,50.9933059,,,POINT (13.8312809 50.9933059),7.0,0.0,None,None
5838,259486125,51.0012631,13.8215796,4,13.8215796,51.0012631,,,POINT (13.8215796 51.0012631),7.0,1.0,None,None
5839,259486055,51.0013006,13.8242184,1,13.8242184,51.0013006,,,POINT (13.8242184 51.0013006),7.0,1.0,None,None
5840,4464842188,51.0023648,13.8197272,1,13.8197272,51.0023648,,,POINT (13.8197272 51.0023648),7.0,1.0,None,None
5841,259486126,51.0021697,13.8227897,1,13.8227897,51.0021697,,,POINT (13.8227897 51.0021697),7.0,1.0,None,None
5842,259490688,50.9926069,13.8245806,3,13.8245806,50.9926069,,,POINT (13.8245806 50.9926069),7.0,0.0,None,None
5843,259490973,50.9925681,13.8249196,3,13.8249196,50.9925681,,,POINT (13.8249196 50.9925681),7.0,0.0,None,None
5844,259490804,50.992883,13.8249063,3,13.8249063,50.992883,,,POINT (13.8249063 50.992883),7.0,0.0,None,None
5845,259490803,50.993724,13.8230949,3,13.8230949,50.993724,,,POINT (13.8230949 50.993724),7.0,1.0,None,None
5846,259490691,50.9925541,13.826738,3,13.826738,50.9925541,,,POINT (13.826738 50.9925541),7.0,0.0,None,None
5847,601710886,50.9895576,13.8289462,3,13.8289462,50.9895576,,,POINT (13.8289462 50.9895576),7.0,0.0,None,None
