From,To,Demand,TT,Distance
361106,367935,,3.1205789363484087,796
398788,361106,,1.1250329962073327,791
369326446,361106,,1.4694471923536438,1395
4720234391,361106,,1.4892025316455697,474
361107,398792,,1.4723132462686568,804
361107,398783,,0.9339001650165016,303
94175315,367935,,2.643465655288664,791
398776,398792,,0.4494186335403727,161
29604273,398792,,1.4800219833333332,1000
398783,817304290,,0.11300555555555557,21
169320949,398783,,0.061501200000000006,0
817304157,398783,,0.0717864,0
361112,367929,,1.5406056000000001,0
54775311,361112,,1.0302612,0
1274890255,361112,,0.16040519999999997,0
367929,431154736,,0.042188399999999994,0
1835516171,367929,,0.03711,0
60766874,54775311,,0.9074556,0
130057658,54775311,,3.354886,0
644092,54775311,,0.933768,0
361116,5291668659,,0.01773,0
431154736,361116,,0.8114880000000001,0
821879336,361116,,0.0357312,0
5291668659,27323814,,0.062239199999999995,0
27323728,5291668659,,0.8908419999999999,0
361706,245225569,,0.03657,0
361706,14956514,,1.7887908000000001,0
1836902820,361706,,0.029634,0
14956519,1455773025,,0.15496079999999998,0
1455773025,14956519,,0.153732,0
442139,266586153,,0.006797999999999999,0
442139,442138,,0.2582748,0
1774155334,442139,,0.1332168,0
245225569,6225709029,,0.025191599999999998,0
361721,245225569,,0.0088428,0
382038,14956514,,0.8621184,0
14956514,84762463,,0.2354556,0
368093,14956514,,0.0326064,0
361709,361711,,0.0728772,0
361715,361709,,0.045026399999999994,0
7223004840,361709,,0.08031927536231884,345
361711,367617,,6.048122209347238,1726
361711,361712,,0.2393014705882353,34
367617,36474058,,0.1492265625,32
367617,510573315,,0.6312925925925925,45
661209,367617,,0.3584736842105263,38
361712,245225501,,0.15919444444444442,63
661209,361712,,5.732670903138841,1731
245225501,6867489635,,0.0048456,0
1142990020,361715,,3.534200815850816,1001
361715,7223004840,,0.2982893081761006,53
6225709029,361715,,0.39263446969696975,88
1142990072,1142990020,,1.9034423963133642,434
6867489635,361721,,0.03264444444444445,12
1836902820,361721,,0.029891666666666664,6
367504,367506,,1.890384176394293,771
25253723,367504,,0.11456433333333334,50
364627449,367504,,0.5771999999999999,34
367506,25095608,,0.8500571428571427,238
367506,470132,,1.192427560240964,332
470129,367506,,2.348804183673469,490
25095608,367530,,0.19807870370370367,36
25095608,2418577616,,0.3095972222222222,48
470132,470137,,1.0158150000000001,280
470132,470135,,1.2809143305439332,478
367530,2418577616,,0.02842222222222222,12
367530,676821350,,3.082159857723577,656
16820933,367513,,0.6788461352657006,138
367513,260568406,,0.354659375,48
367513,324706464,,0.1783597094801223,218
249875924,367513,,0.1913560606060606,33
27018634,367513,,1.3682472938144328,388
16820933,21348451,,3.1330365100671145,745
16820933,244270850,,0.7329080586080586,91
471633828,16820933,,0.2049744,0
260568406,16820933,,0.3364854838709677,62
7366949983,260568406,,0.4392924,0
324706464,36592487,,0.42005275779376505,139
249875924,324706464,,0.35642352941176475,34
2418577616,470142,,1.029170008795075,379
676821350,25554694,,0.06682857142857143,14
5059182780,676821350,,1.7083510277033067,373
36474058,510569861,,0.18502000000000002,40
510573315,36474058,,0.2189873201438849,556
510573315,393803340,,0.1627578947368421,19
510573313,510573315,,0.1227450059101655,564
367684,21389561,,2.2980188802083332,512
21389562,367684,,1.053339512195122,205
36427158,367684,,1.3033803030303028,143
367684,6401279191,,0.14009615384615381,39
6401279191,367684,,0.594238596491228,57
21389561,21389562,,1.0011177238805968,268
21389561,207435542,,0.5116042582417583,1092
166413130,21389561,,1.2503704918032787,549
166414150,21389561,,0.2814638888888889,48
554927747,21389562,,0.8716341463414635,205
36427158,968282889,,0.21396000000000004,40
968282889,36427158,,0.32305384615384614,39
1039345020,6401279191,,2.631815789473684,627
367714,554927727,,0.06209449541284404,654
367714,517328713,,0.42201761006289307,106
554930995,367714,,0.3038720930232558,43
554931749,367714,,0.017796835670622076,1854
308256955,367714,,0.03984682070571378,1861
554927727,308256955,,0.1394852886405959,179
554927727,207435310,,1.8454182692307692,260
517328713,554927727,,0.7373011555555554,750
370791964,517328713,,0.617824074074074,207
367889,296970563,,0.039322222222222224,15
367889,296970241,,0.06791904761904763,42
34817411,367889,,1.1049607007575757,352
34818058,367889,,0.1109457142857143,35
296970563,305216658,,0.017875,12
296970563,305218809,,0.1645714285714286,70
296970241,296970563,,0.15892907268170425,931
305344554,296970241,,0.9644719751602564,832
27235955,367905,,0.4077762962962963,45
319672907,367905,,0.9474333333333333,250
367905,21663184,,2.3332208860759494,1343
367906,367905,,3.265064895330113,828
27235955,4187963975,,3.147092683929305,811
21660986,27235955,,1.0699338461538461,260
6750576079,27235955,,1.947596511627907,430
319672907,319673160,,0.638035081967213,610
319673158,319672907,,0.5500383999999999,125
21663184,21663185,,0.14399594594594592,74
788203390,21663184,,0.1355068754774637,1309
367906,4187963975,,0.24381641938674575,337
1369651401,367906,,0.04826,15
4187963975,367911,,0.07448397435897436,26
21660969,367911,,2.98910805731736,1419
367911,5095554624,,0.2546269230769231,65
21660969,368318,,1.3717587866108787,478
273415600,21660969,,0.304062,0
2698142490,21660969,,1.2662134020618556,194
5095554624,5095554625,,0.3750410958904109,73
5095554624,5095554623,,0.04314375,16
367914,1369651822,,2.147384820747521,437
27234356,367914,,0.2574711538461539,52
1369651822,1987589081,,0.014706666666666666,5
21292446,1369651822,,0.2277962962962963,63
367915,27234356,,0.8503748908296942,229
21292446,27234356,,1.6425025695931477,467
367917,367915,,2.929630926916221,748
644130,367915,,3.0092852112676054,568
260567154,367917,,0.20335555555555557,27
367917,27234846,,0.9386030844155844,308
27323814,367917,,1.8048544329896907,485
130057658,644130,,4.036197916666667,864
7879515164,644130,,1.8526920060331824,442
260567154,27323836,,1.9653189095928225,483
367926,260567154,,1.0956037288135594,295
27234852,260567154,,0.7647153846153846,299
27234852,27234846,,0.13238868258178604,377
27234846,27234848,,0.28606878787878787,55
