From,To,Volume,EstimatedTT
15618026,24973521,451.9,0.02
15618026,282973002,2734.06,2.21
24973521,113794494,1509.0,0.02
24973521,3411653,1081.23,0.09
282973002,24969633,1880.76,0.09
282973002,1516305879,853.3,0.11
25622151,2503004249,1402.24,0.47
15866433,25269437,1304.19,0.11
15866433,15866451,1.14,0.64
25269437,25096273,2783.43,1.51
15866451,903673001,759.66,1.18
1803689315,1803689298,397.23,0.03
1803689315,442928,1783.89,0.04
16573458,3840043618,1425.69,0.55
16573467,16573472,853.31,0.3
3840043618,16573467,793.46,0.5
16573472,25622670,0.0,0.02
16573472,16573581,1402.24,0.4
25622670,16573458,1762.77,0.36
16573581,15618078,1402.24,0.07
16573581,25622663,0.0,0.1
3844764355,3844764341,131.41,0.08
16574244,26165880,455.84,0.02
16574244,3861801989,1187.41,0.17
26165880,262185376,789.28,0.33
3861801989,26165886,2192.94,0.37
3861801989,2260731086,1284.44,1.15
16574394,29510455,830.97,1.24
16574394,7093468874,1016.0,0.08
16574525,7101166877,944.71,0.23
16574602,2544089665,914.58,0.03
16574602,534774,797.15,0.15
2544089665,534804,3052.1,0.04
16574619,1775338888,1450.42,0.58
1775338888,357917181,1745.95,0.04
21596886,1690044417,997.72,0.19
18178769,21684322,2225.66,0.73
21684322,534758,1482.02,0.01
21684322,25873175,2063.97,0.04
25873183,2262218571,1033.25,0.47
25873183,7193964013,1590.25,0.21
18178797,534749,289.52,0.01
18178797,2287846803,2906.38,0.86
2287846803,29510418,2432.39,0.04
2287846803,2287846804,532.37,0.03
18178969,11768081,0.0,0.04
18178969,534329196,1023.29,0.84
534329196,534329195,896.29,0.02
534329196,21566459,2003.15,2.0
18627237,18627247,1036.46,0.03
18627247,33477280,1691.47,0.03
18627247,12961684,363.43,0.97
33477280,28796755,1795.35,1.61
297481606,3057282550,462.81,1.03
3057282550,33477164,488.06,1.05
264223496,534806,1942.65,0.91
264223496,35711189,1072.94,0.03
18630070,31197353,2614.31,0.03
18630070,7095690304,748.42,4.61
31197353,280008754,488.59,0.04
31197353,18630098,3094.2,0.28
7095690304,7095690344,7.82,0.01
7095690304,3952754484,1218.98,0.17
18630098,280008754,111.08,0.03
18630098,3808565717,3094.2,0.82
280008754,280008666,32.87,0.04
280008754,18630111,566.8,0.03
3808565717,16574619,970.95,0.36
3808565717,16574613,2123.25,0.2
280008666,280008531,0.32,0.03
280008666,534806,2585.73,0.16
35711189,244038931,964.95,1.89
35711189,536652,1387.77,0.02
18630516,534799,300.05,0.02
18630516,335716505,830.98,0.5
335716505,335716508,0.0,0.01
335716505,16574602,830.98,0.24
18631911,18631929,10.53,0.03
18631929,1853296305,0.0,0.01
18631929,2628479841,10.53,0.02
1853296305,1853296309,3.33,0.03
2628479841,1853296305,3.33,0.02
21271513,25272050,2730.45,0.14
21271513,442828572,284.82,0.15
25272050,25272065,3182.45,1.36
442828572,25272050,452.0,0.19
21527686,21527743,640.98,0.02
21527686,21552190,1349.84,0.53
21527743,209128004,1796.42,2.43
21552190,21597988,1653.38,0.02
21527733,1620726747,1590.25,0.08
1620726747,1620726770,406.7,0.06
1620726747,21552195,1183.55,0.06
7193964013,25873183,1405.92,0.04
209128004,21552198,1796.42,0.21
21527766,299844554,1422.8,0.33
21596461,21568117,884.35,0.9
21552197,209128661,2076.19,0.39
2272203032,7260653744,1787.79,2.47
1150742708,27279384,874.59,0.11
1150742708,24969757,508.41,0.07
21540513,21540519,0.0,0.13
21540519,209128004,0.0,0.19
21540517,21540519,0.0,0.04
21540517,1229568988,0.0,0.14
21552187,21552188,281.7,0.2
21552188,21552190,303.53,0.02
21552188,21527743,1155.44,0.55
21597988,21597987,49.59,0.02
21597988,248219490,1549.35,2.24
21552195,10919786,1183.55,0.01
21552195,1620726770,682.35,0.04
1620726770,344434421,1089.04,0.18
209128661,21540517,0.0,0.24
209128661,21527686,2076.19,1.63
21552198,21552199,596.43,0.05
21552198,2297622,1199.99,0.04
21552200,21527766,761.47,0.53
21552200,21566429,1459.59,1.71
21566429,534329195,2303.69,1.04
21566459,126667225,143.98,0.52
21566459,21568117,1447.07,2.04
21568117,21527762,2331.42,0.21
311494772,7091784429,797.15,0.04
1690044417,126667225,597.29,0.03
1690044417,31271217,400.44,0.04
21597987,21597992,300.74,0.18
21597987,21552188,1177.27,0.03
21597992,21552187,0.0,0.04
21597992,3148489417,300.74,0.68
248219490,248219434,363.75,0.44
248219490,221995898,1536.87,0.92
3148489417,3148489416,329.34,0.02
3148489417,536675,860.41,0.2
316299769,316299777,142.88,0.03
21647047,21647107,939.91,0.81
21647107,1632149360,660.78,0.38
21647051,271287016,1159.91,0.05
21647051,278451621,1664.46,0.13
271287016,141678998,2084.38,0.08
278451621,21647047,112.08,0.06
278451621,1632149375,1552.39,0.06
1632149359,1632149349,2397.8,1.39
1632149359,1632149367,16.7,0.03
1632149360,1632149359,2213.17,0.04
1632149360,21647057,208.13,0.25
21647146,25269444,1185.09,1.47
25269444,25269438,289.11,0.45
25269444,25269437,1479.23,0.81
21660961,78454176,282.66,0.01
21660961,21647051,2824.38,1.98
78454176,536670,3474.66,0.02
78454176,1636482042,171.37,1.0
25873175,534758,1624.36,0.03
976932104,940312649,623.25,0.04
24945369,2075220,834.41,0.02
24945369,24945363,2785.08,0.47
24953131,536670,288.2,0.98
1636482042,3025631931,924.13,0.58
3998373587,25622934,871.86,0.17
24953181,10919797,111.78,0.09
24953550,29510428,27.91,0.1
288154942,288154914,213.83,0.04
29510428,7117637080,1866.73,1.07
24969587,309467020,1557.34,0.02
24969587,280221322,406.53,0.04
309467020,24969591,1557.34,0.04
280221322,2526224456,1374.73,0.26
24969591,2090038527,750.33,0.01
24969591,24969686,1557.34,0.4
2090038527,1833913224,750.33,0.04
2090038527,24969672,0.0,0.04
24969686,8378156321,1752.98,1.72
24969610,24969615,2274.53,0.04
24969610,301388728,1534.52,0.05
24969615,4030574404,1452.09,0.53
24969615,24969629,2275.14,0.19
301388728,24969615,1338.17,0.05
4030574404,24969629,1125.24,0.12
24969629,24973521,2138.33,1.46
24969629,24969633,1262.05,0.05
24969633,24969610,1868.9,0.1
24969633,24969615,114.53,0.04
24969633,1516305879,1159.38,0.04
1516305879,8378156320,2012.68,0.21
24969672,1833913224,2012.68,0.02
1833913224,24969678,2763.01,0.08
24969678,2569452639,5.27,0.02
24969678,18630070,2757.74,0.41
2569452639,309467020,0.0,0.04
2569452639,24969587,5.27,0.03
8378156321,24969672,2012.68,0.15
24969731,439989272,983.78,0.1
439989272,1150742708,918.33,0.11
439989272,27279384,65.44,0.1
24969757,4030574419,508.41,0.21
4030574419,4030574417,508.41,0.06
4030574419,24969731,0.0,0.06
24973452,3137721924,1609.66,0.07
3137721924,262185372,1609.66,0.22
2255742337,24969757,0.0,0.07
25433992,1703242714,864.94,0.05
311651883,2572637252,1165.35,0.42
25096273,1698611463,2138.03,0.61
25096273,151013228,882.33,0.18
151013228,151013145,846.04,0.3
151013228,15613290,36.29,0.6
25235132,18178797,1547.12,0.02
25235132,3151457278,901.48,0.44
25269438,60395691,748.09,1.41
60395691,1758438692,0.0,0.61
60395691,773684938,994.65,0.48
25272045,15613290,2489.78,0.27
25272045,26730552,0.0,0.51
25272065,25272045,2489.78,0.22
25272065,2338426490,692.66,0.36
