from,to,volume,EstimatedTT,from,to,length,CO2,lengthm
457495149,457498103,111.58,366.0,457495149,457498103,5329.037,123349.1555760726,3.3113090497270004
457495149,457498103,111.58,366.0,457495149,457498103,6098.027,137394.95522825385,3.789137135017
2145233137,2145233252,70.67,177.6,2145233137,2145233252,2961.537,42256.86951949935,1.8402132072269999
2145233252,2145233137,69.17,174.0,2145233252,2145233137,2899.037,40491.804789293725,1.8013775197269999
332043682,957449229,923.63,3.5999999999999996,332043682,957449229,85.624,15866.224695711264,0.053204270504
1240885096,332043682,944.03,503.40000000000003,1240885096,332043682,12539.105,2383355.851588269,7.791436212954999
2893545083,332043682,905.95,3.5999999999999996,2893545083,332043682,85.673,15572.01654773646,0.053234717683000005
957449229,957449282,923.63,6.6,957449229,957449282,165.476,30791.45576311638,0.102821987596
2893545083,957449229,0.0,0.6,2893545083,957449229,18.94,0.0,0.01176876674
1240885096,1240885110,807.1,3.0,1240885096,1240885110,77.882,12710.71953577043,0.048393616222
1240885071,1240885096,837.41,2.4,1240885071,1240885096,56.688,9519.472105945397,0.035224279248
332043691,1242354386,1509.21,2.4,332043691,1242354386,55.208,16682.58391706389,0.034304650168
332043691,1242354373,23.61,3.0,332043691,1242354373,51.79,245.84457750421848,0.03218080409
1238981528,332043691,1532.82,15.0,1238981528,332043691,363.181,111825.47703636487,0.22567014115099998
1242354386,958327297,1509.21,12.6,1242354386,958327297,305.662,92678.85653442614,0.18992950260199998
1242354373,1242354386,0.0,2.4,1242354373,1242354386,37.501,0.0,0.023302033870999998
1242354377,1242354373,0.0,41.4,1242354377,1242354373,690.877,0.0,0.429290932367
8714920785,440765871,150.81,60.0,8714920785,440765871,997.349,30381.707593568943,0.619723745479
440765875,440765871,194.0,5.3999999999999995,440765875,440765871,88.966,3490.7100147675155,0.055280892385999994
1242354377,440765871,15.8,226.2,1242354377,440765871,3770.171,12027.94109596908,2.342674924441
8714920785,440765896,151.93,19.2,8714920785,440765896,324.129,9926.747624797215,0.20140436085900001
9006212934,8714920785,142.11,34.199999999999996,9006212934,8714920785,569.35,16339.841570565202,0.35377757885
7234970523,8714920785,8.71,13.2,7234970523,8714920785,215.779,380.5629795467921,0.134078813009
9083628074,440765875,194.0,296.40000000000003,9083628074,440765875,7414.886,289743.35616792704,4.607395128706
955219475,440765875,0.0,361.2,955219475,440765875,6021.618,0.0,3.7416587982780003
2267985628,1242354377,0.0,514.8,2267985628,1242354377,8578.448,0.0,5.330398812208
955219422,9083628074,2.83,451.2,955219422,9083628074,7517.182,4295.756364903512,4.670958896522
440765886,9083628074,25.61,18.6,440765886,9083628074,307.739,1592.9901850743547,0.191220090169
955219390,955219475,2.83,108.60000000000001,955219390,955219475,1809.707,1034.1419942932566,1.124499448297
1250636433,955219475,9.3,18.0,1250636433,955219475,296.357,557.4789818884514,0.18414764544700002
440765886,8540826572,26.48,3.0,440765886,8540826572,50.231,268.4082833043794,0.031212086701
956664823,440765886,25.61,2.4,956664823,440765886,43.909,224.99457635350439,0.027283779239
8540826572,956664817,26.48,2.4,8540826572,956664817,38.57,207.37882882928136,0.02396627947
8540826572,956664823,0.0,1.7999999999999998,8540826572,956664823,26.857,0.0,0.016688160947
440765896,7888011407,1359.39,4.8,440765896,7888011407,114.023,31094.28790893029,0.070850585533
7234970523,440765896,1207.46,9.0,7234970523,440765896,219.032,53146.70999341644,0.136100132872
2832387039,7888011407,0.0,0.6,2832387039,7888011407,14.981,0.0,0.009308758951
7888011407,3615178220,1344.56,16.200000000000003,7888011407,3615178220,393.475,106298.51659209043,0.24449395422500003
8261380346,879516580,3.56,233.4,8261380346,879516580,3892.502,2797.7994394269786,2.418687860242
1967081697,879516580,35.8,187.20000000000002,1967081697,879516580,3115.38,22524.66549362083,1.93580678598
1243376462,879516580,65.15,552.6,1243376462,879516580,9209.266,121149.0530062453,5.722370823686
385147021,879516580,43.61,156.6,385147021,879516580,2611.628,22995.15218719254,1.622789901988
597707518,8261380346,3.56,147.6,597707518,8261380346,2459.072,1767.7446572859553,1.5279960277120002
597705531,8261380346,0.0,285.59999999999997,597705531,8261380346,3967.786,0.0,2.4654671546060003
1244827545,1967081697,0.0,225.0,1244827545,1967081697,3745.362,0.0,2.3272593313020002
7284923695,1967081697,42.7,1628.4,7284923695,1967081697,18094.987,178487.50646725728,11.243700167177002
2244392223,1243376462,0.0,76.8,2244392223,1243376462,1275.725,0.0,0.792698518975
597705531,1243376462,1841.93,185.39999999999998,597705531,1243376462,2653.113,1018571.7959384342,1.648567477923
2244392250,1243376462,1681.42,19.8,2244392250,1243376462,294.266,102104.25517683371,0.18284835868600002
1244827545,385147021,0.0,326.40000000000003,1244827545,385147021,5440.897,0.0,3.380815609787
597710340,385147021,43.61,225.0,597710340,385147021,3745.735,32988.823844204424,2.3274911026850003
955219342,8540593443,1486.81,1.2,955219342,8540593443,34.188,10452.265350637736,0.021243431748000002
955219342,8728642897,0.0,1.7999999999999998,955219342,8728642897,32.337,0.0,0.020093274027
958327296,955219342,1486.81,12.6,958327296,955219342,311.643,93235.2792269093,0.19364592255299998
8540593443,1238981544,1486.81,15.600000000000001,8540593443,1238981544,374.45,111764.10955988143,0.23267237094999998
8728642897,8540593443,0.0,2.4,8728642897,8540593443,37.723,0.0,0.023439978233
967901388,8728642897,0.0,614.4,967901388,8728642897,15363.584,0.0,9.546485553664
2893545084,955219390,2.83,144.60000000000002,2893545084,955219390,2409.624,1376.9584626653404,1.497270474504
9076700071,955219390,0.0,21.0,9076700071,955219390,354.635,0.0,0.220359904585
2893545084,957449214,9.3,8.4,2893545084,957449214,139.889,262.7178617469615,0.08692296781900001
957449282,2893545084,2.83,9.0,957449282,2893545084,149.106,85.27453491935862,0.092650144326
9076700071,9006184110,0.0,4.8,9076700071,9006184110,83.925,0.0,0.052148561175
9006184110,9076700071,0.0,4.8,9006184110,9076700071,79.114,0.0,0.049159145294000006
955219422,1244500128,19.74,3.5999999999999996,955219422,1244500128,60.973,242.5236669965767,0.037886853983
1244500128,955219422,2.83,4.8,1244500128,955219422,82.117,46.77056859758034,0.051025122407
1244500114,1244500128,2.83,90.6,1244500114,1244500128,1506.566,861.1656215716438,0.936136421986
1250636433,1244500115,2.83,1.7999999999999998,1250636433,1244500115,26.484,15.505605310282853,0.016456389564
958323023,1250636433,9.3,1.7999999999999998,958323023,1250636433,25.39,49.42224767526178,0.015776609690000002
955615122,966783858,1050.95,2.4,955615122,966783858,66.366,14243.651318767883,0.041237907786
955615122,2941548810,0.0,1.7999999999999998,955615122,2941548810,29.376,0.0,0.018253394496
5462052725,955615122,1050.95,26.4,5462052725,955615122,656.58,138914.12595639416,0.40797977118
966783858,8266417538,1050.95,87.0,966783858,8266417538,2165.321,458151.9212716166,1.345467675091
2941548810,966783858,0.0,4.2,2941548810,966783858,65.665,0.0,0.040802326715000004
966784120,2941548810,0.0,5.3999999999999995,966784120,2941548810,91.23,0.0,0.056687676330000006
956664817,956664823,25.61,2.4,956664817,956664823,42.772,219.57912264418695,0.026577280412
957449214,957449298,930.1,3.0,957449214,957449298,73.86,13817.757789776872,0.04589446206
957449282,957449214,920.8,4.8,957449282,957449214,117.664,21784.765024217646,0.07311299734400001
957449298,8324128107,920.8,9.6,957449298,8324128107,233.065,43117.87037246133,0.144819832115
957449298,957449224,2.78,4.8,957449298,957449224,126.39,71.17794525839123,0.07853508069
957449224,2893545083,905.95,10.799999999999999,957449224,2893545083,271.424,49550.43388941209,0.168655002304
8324128107,957449224,903.17,9.6,8324128107,957449224,242.811,44218.42717768572,0.15087571388100002
967901525,8324128107,1045.83,135.6,967901525,8324128107,3377.507,711201.0732216509,2.098684902097
958322993,6250730942,0.0,1.2,958322993,6250730942,16.061,0.0,0.009979839631
958322993,6250730943,0.0,1.2,958322993,6250730943,21.468,0.0,0.013339592628
1987669400,958322993,0.0,40.2,1987669400,958322993,673.663,0.0,0.418594651973
6250730939,958322993,0.0,0.6,6250730939,958322993,13.045,0.0,0.008105784695
6250730942,6250730940,1681.42,1.2,6250730942,6250730940,14.109,5327.93044472332,0.008766923439
6250730942,2267985628,0.0,28.2,6250730942,2267985628,467.569,0.0,0.290533817099
6250730943,6250730942,1681.42,1.7999999999999998,6250730943,6250730942,23.529,8494.564498596132,0.014620238259000001
2242847370,6250730943,1681.42,30.0,2242847370,6250730943,449.088,155552.87066658158,0.279050259648
958323023,1244500115,10.44,1.2,958323023,1244500115,15.421,34.793483804533075,0.009582162191
1244500122,958323023,19.74,1.2,1244500122,958323023,21.773,86.04142598386233,0.013529110783
1244500115,1244500130,2.83,1.2,1244500115,1244500130,22.507,12.727446592341444,0.013985197097000001
958327297,958327296,0.0,1.2,958327297,958327296,17.117,0.0,0.010636007407
1238981541,958327296,1486.81,49.8,1238981541,958327296,1213.721,362676.01190122607,0.7541710314910001
958327297,1238981526,1509.21,49.8,958327297,1238981526,1211.659,367466.16623060545,0.752889764489
1238981541,1238981526,0.0,1.2,1238981541,1238981526,15.377,0.0,0.009554821867000001
1238981526,1817442494,1509.21,27.6,1238981526,1817442494,668.616,202707.84920294146,0.415458592536
958710380,1817534449,0.0,3.5999999999999996,958710380,1817534449,64.201,0.0,0.039892639571
958710380,1238981536,1472.54,29.4,958710380,1238981536,725.122,214803.67911786152,0.450569782262
1817515411,958710380,1472.54,43.199999999999996,1817515411,958710380,1061.19,314252.0088711725,0.65939269149
1817534449,1817534443,0.0,4.8,1817534449,1817534443,76.984,0.0,0.047835625064
1817534449,1817534442,0.0,4.8,1817534449,1817534442,77.744,0.0,0.048307867024
1238981521,1238981536,0.0,0.6,1238981521,1238981536,11.261,0.0,0.006997258831
1238981536,1238981540,1472.54,49.199999999999996,1238981536,1238981540,1200.267,355240.55221100204,0.7458111060570001
8266417538,7855887517,1214.09,2.4,8266417538,7855887517,53.62,13016.140016581856,0.03331791302
8779458803,8266417538,163.14,10.799999999999999,8779458803,8266417538,182.115,5989.824545442393,0.11316097966500001
966783968,966784120,0.0,4.8,966783968,966784120,78.868,0.0,0.049006288028
966784107,966784120,0.0,5.3999999999999995,966784107,966784120,85.749,0.0,0.053281941879
966784022,5462052725,1178.95,34.199999999999996,966784022,5462052725,845.968,200687.47288890192,0.525659982128
966784022,966784052,0.0,14.399999999999999,966784022,966784052,239.286,0.0,0.148685381106
8266417537,966784022,1178.95,84.6,8266417537,966784022,2094.336,496869.836698746,1.3013596546559998
967901525,5462052725,1050.95,59.4,967901525,5462052725,1483.892,314076.49797850405,0.9220474559320001
9006184110,967901388,0.0,76.8,9006184110,967901388,1284.605,0.0,0.798216293455
967901525,967901388,0.0,4.8,967901525,967901388,75.144,0.0,0.04669230242400001
980845584,1817515414,1509.21,39.6,980845584,1817515414,966.594,293217.4990828755,0.6006134803740001
8958890975,980845584,1509.21,12.0,8958890975,980845584,160.219,51521.402745192114,0.099555440249
8958890975,980845584,1509.21,12.0,8958890975,980845584,191.839,58840.51346287666,0.119203191269
1817515414,9870497320,1509.21,1.2,1817515414,9870497320,23.32,7024.350434853326,0.01449037172
1817515414,1817515411,0.0,1.2,1817515414,1817515411,23.3,0.0,0.0144779443
1238981521,8958890975,1509.21,27.0,1238981521,8958890975,659.208,199975.5521721154,0.409612734168
1238981524,1238981521,1509.21,49.199999999999996,1238981524,1238981521,1200.602,364196.54111551796,0.746019265342
1238981540,1238981524,0.0,1.2,1238981540,1238981524,16.451,0.0,0.010222174321
1817442494,1238981524,1509.21,24.0,1817442494,1238981524,591.076,179433.53883833904,0.367277485196
1238981540,1817442496,1472.54,24.0,1238981540,1817442496,591.215,175118.36243758845,0.367363855765
