,Unnamed: 0,osmid,y,x,street_cou,lon,lat,highway,ref,geometry,gridID_lon,gridID_lat,inner_grid_lon,inner_grid_lat
26388,26388,8314239821,14.5474548,121.0035313,1,121.0035313,14.5474548,,,POINT (121.0035313 14.5474548),2.0,1.0,None,None
26389,26389,8314244775,14.6493201,120.9649615,3,120.9649615,14.6493201,,,POINT (120.9649615 14.6493201),0.0,5.0,None,None
26390,26390,8314260102,14.6490864,120.9655908,3,120.9655908,14.6490864,,,POINT (120.9655908 14.6490864),1.0,5.0,None,None
26391,26391,8314254368,14.648615300000001,120.9656565,1,120.9656565,14.648615300000001,,,POINT (120.9656565 14.6486153),1.0,5.0,None,None
26392,26392,8318157332,14.6491454,120.9647465,3,120.9647465,14.6491454,,,POINT (120.9647465 14.6491454),0.0,5.0,None,None
26393,26393,8318597674,14.543657199999998,121.0656231,1,121.0656231,14.543657199999998,,,POINT (121.0656231 14.5436572),5.0,1.0,None,None
26394,26394,8314284010,14.651823499999999,120.9569439,3,120.9569439,14.651823499999999,,,POINT (120.9569439 14.6518235),0.0,6.0,None,None
26395,26395,8314284012,14.6519174,120.9568575,1,120.9568575,14.6519174,,,POINT (120.9568575 14.6519174),0.0,6.0,None,None
26396,26396,8314284580,14.697885399999999,121.0821274,1,121.0821274,14.697885399999999,,,POINT (121.0821274 14.6978854),5.0,7.0,None,None
26397,26397,8318079717,14.6971643,121.0815472,3,121.0815472,14.6971643,,,POINT (121.0815472 14.6971643),5.0,7.0,None,None
26398,26398,8314291454,14.6377094,121.0353081,1,121.0353081,14.6377094,,,POINT (121.0353081 14.6377094),3.0,5.0,1,1
26399,26399,8317850021,14.6378158,121.03487630000001,3,121.03487630000001,14.6378158,,,POINT (121.0348763 14.6378158),3.0,5.0,1,1
26400,26400,8314291455,14.637896599999998,121.03447390000001,3,121.03447390000001,14.637896599999998,,,POINT (121.0344739 14.6378966),3.0,5.0,1,1
26401,26401,8314293913,14.637189000000001,121.0343133,1,121.0343133,14.637189000000001,,,POINT (121.0343133 14.637189),3.0,5.0,1,0
26402,26402,8314298878,14.513322400000002,121.03810700000001,1,121.03810700000001,14.513322400000002,,,POINT (121.038107 14.5133224),4.0,0.0,None,None
26403,26403,8318154047,14.5447833,121.0810854,1,121.0810854,14.5447833,,,POINT (121.0810854 14.5447833),5.0,1.0,None,None
26404,26404,8314336845,14.5422332,121.0624366,1,121.0624366,14.5422332,,,POINT (121.0624366 14.5422332),5.0,1.0,None,None
26405,26405,8314336849,14.5419489,121.0623696,1,121.0623696,14.5419489,,,POINT (121.0623696 14.5419489),5.0,1.0,None,None
26406,26406,8314354435,14.6800654,121.0498825,1,121.0498825,14.6800654,,,POINT (121.0498825 14.6800654),4.0,7.0,None,None
26407,26407,8314361443,14.650322500000001,120.9670246,3,120.9670246,14.650322500000001,,,POINT (120.9670246 14.6503225),1.0,6.0,None,None
26408,26408,8314368029,14.679364199999998,121.0503298,1,121.0503298,14.679364199999998,,,POINT (121.0503298 14.6793642),4.0,7.0,None,None
26409,26409,8314369539,14.6535406,120.9967822,1,120.9967822,14.6535406,,,POINT (120.9967822 14.6535406),2.0,6.0,None,None
26410,26410,8314371859,14.544987099999998,121.00362849999999,1,121.00362849999999,14.544987099999998,,,POINT (121.0036285 14.5449871),2.0,1.0,None,None
26411,26411,8314373421,14.651412099999998,120.96714409999998,1,120.96714409999998,14.651412099999998,,,POINT (120.9671441 14.6514121),1.0,6.0,None,None
26412,26412,8314378489,14.5442303,121.00393559999999,1,121.00393559999999,14.5442303,,,POINT (121.0039356 14.5442303),2.0,1.0,None,None
26413,26413,8314379772,14.6502011,120.96616709999999,1,120.96616709999999,14.6502011,,,POINT (120.9661671 14.6502011),1.0,6.0,None,None
26414,26414,8383254640,14.649979199999999,120.96590259999998,3,120.96590259999998,14.649979199999999,,,POINT (120.9659026 14.6499792),1.0,6.0,None,None
26415,26415,8314402782,14.5444076,121.0032905,1,121.0032905,14.5444076,,,POINT (121.0032905 14.5444076),2.0,1.0,None,None
26416,26416,8314403017,14.605041,121.026976,1,121.026976,14.605041,,,POINT (121.026976 14.605041),3.0,4.0,None,None
26417,26417,8314432300,14.530668400000001,121.0779726,1,121.0779726,14.530668400000001,,,POINT (121.0779726 14.5306684),5.0,1.0,None,None
26418,26418,8314432967,14.6688251,121.0170376,1,121.0170376,14.6688251,,,POINT (121.0170376 14.6688251),3.0,6.0,None,None
26419,26419,8314445715,14.5515666,121.0655755,1,121.0655755,14.5515666,,,POINT (121.0655755 14.5515666),5.0,1.0,None,None
26420,26420,8314490086,14.5880715,121.0299872,1,121.0299872,14.5880715,,,POINT (121.0299872 14.5880715),3.0,3.0,None,None
26421,26421,8383666311,14.534316199999997,121.0800008,3,121.0800008,14.534316199999997,,,POINT (121.0800008 14.5343162),5.0,1.0,None,None
26422,26422,8314527970,14.534295499999999,121.07899590000001,1,121.07899590000001,14.534295499999999,,,POINT (121.0789959 14.5342955),5.0,1.0,None,None
26423,26423,8314531775,14.667947400000001,121.0220432,1,121.0220432,14.667947400000001,,,POINT (121.0220432 14.6679474),3.0,6.0,None,None
26424,26424,8314531782,14.6677554,121.02133909999998,3,121.02133909999998,14.6677554,,,POINT (121.0213391 14.6677554),3.0,6.0,None,None
26425,26425,8314531786,14.6676038,121.02070230000001,1,121.02070230000001,14.6676038,,,POINT (121.0207023 14.6676038),3.0,6.0,None,None
26426,26426,8314532544,14.630062699999998,121.01217199999999,1,121.01217199999999,14.630062699999998,,,POINT (121.012172 14.6300627),2.0,5.0,None,None
26427,26427,8314537821,14.588122199999997,121.03015020000001,1,121.03015020000001,14.588122199999997,,,POINT (121.0301502 14.5881222),3.0,3.0,None,None
26428,26428,8314547126,14.519968300000002,121.06149180000001,1,121.06149180000001,14.519968300000002,,,POINT (121.0614918 14.5199683),4.0,0.0,None,None
26429,26429,8314542686,14.6370503,121.02025149999999,1,121.02025149999999,14.6370503,,,POINT (121.0202515 14.6370503),3.0,5.0,0,0
26430,26430,8314545015,14.5868717,121.02609740000001,1,121.02609740000001,14.5868717,,,POINT (121.0260974 14.5868717),3.0,3.0,None,None
26431,26431,8314554240,14.5214405,121.06141940000002,1,121.06141940000002,14.5214405,,,POINT (121.0614194 14.5214405),4.0,0.0,None,None
26432,26432,8314562889,14.521221100000002,121.06135390000001,3,121.06135390000001,14.521221100000002,,,POINT (121.0613539 14.5212211),4.0,0.0,None,None
26433,26433,8314566761,14.645950199999998,120.97135349999999,1,120.97135349999999,14.645950199999998,,,POINT (120.9713535 14.6459502),1.0,5.0,None,None
26434,26434,8314566763,14.6459366,120.9717156,3,120.9717156,14.6459366,,,POINT (120.9717156 14.6459366),1.0,5.0,None,None
26435,26435,8314573444,14.5164207,121.03161740000002,1,121.03161740000002,14.5164207,,,POINT (121.0316174 14.5164207),3.0,0.0,None,None
26436,26436,8314576486,14.589879500000002,121.0764572,1,121.0764572,14.589879500000002,,,POINT (121.0764572 14.5898795),5.0,3.0,None,None
26437,26437,8314576488,14.5898704,121.0763083,3,121.0763083,14.5898704,,,POINT (121.0763083 14.5898704),5.0,3.0,None,None
26438,26438,8314576487,14.589844400000002,121.0760294,1,121.0760294,14.589844400000002,,,POINT (121.0760294 14.5898444),5.0,3.0,None,None
26439,26439,8314619008,14.5901549,121.0756726,3,121.0756726,14.5901549,,,POINT (121.0756726 14.5901549),5.0,3.0,None,None
26440,26440,8314578048,14.675166,121.04174540000001,1,121.04174540000001,14.675166,,,POINT (121.0417454 14.675166),4.0,7.0,None,None
26441,26441,8314578129,14.692235199999999,121.0067258,1,121.0067258,14.692235199999999,,,POINT (121.0067258 14.6922352),2.0,7.0,None,None
26442,26442,8314578136,14.6906052,121.00698259999999,1,121.00698259999999,14.6906052,,,POINT (121.0069826 14.6906052),2.0,7.0,None,None
26443,26443,8314580193,14.6671832,121.02201240000001,1,121.02201240000001,14.6671832,,,POINT (121.0220124 14.6671832),3.0,6.0,None,None
26444,26444,8314583241,14.6091051,121.03367659999998,1,121.03367659999998,14.6091051,,,POINT (121.0336766 14.6091051),3.0,4.0,None,None
26445,26445,8314583242,14.6088656,121.03333889999999,3,121.03333889999999,14.6088656,,,POINT (121.0333389 14.6088656),3.0,4.0,None,None
26446,26446,8314583288,14.534440900000002,121.01039440000001,1,121.01039440000001,14.534440900000002,,,POINT (121.0103944 14.5344409),2.0,1.0,None,None
26447,26447,8314586834,14.6089919,120.9680477,1,120.9680477,14.6089919,,,POINT (120.9680477 14.6089919),1.0,4.0,0,1
26448,26448,8318040157,14.646852599999999,120.96928700000001,3,120.96928700000001,14.646852599999999,,,POINT (120.969287 14.6468526),1.0,5.0,None,None
26449,26449,8314599538,14.688100899999998,121.0089172,1,121.0089172,14.688100899999998,,,POINT (121.0089172 14.6881009),2.0,7.0,None,None
26450,26450,8314609657,14.560084400000001,121.058412,1,121.058412,14.560084400000001,,,POINT (121.058412 14.5600844),4.0,2.0,None,None
26451,26451,8314618998,14.5899353,121.07584569999999,1,121.07584569999999,14.5899353,,,POINT (121.0758457 14.5899353),5.0,3.0,None,None
26452,26452,8314637671,14.5172951,121.0623635,1,121.0623635,14.5172951,,,POINT (121.0623635 14.5172951),5.0,0.0,None,None
26453,26453,8315215054,14.534351999999998,121.0127065,1,121.0127065,14.534351999999998,,,POINT (121.0127065 14.534352),2.0,1.0,None,None
26454,26454,8314638232,14.5363869,121.01150619999999,1,121.01150619999999,14.5363869,,,POINT (121.0115062 14.5363869),2.0,1.0,None,None
26455,26455,8314640108,14.6179348,121.0356139,1,121.0356139,14.6179348,,,POINT (121.0356139 14.6179348),3.0,4.0,None,None
26456,26456,8314642020,14.589855800000002,121.0748442,1,121.0748442,14.589855800000002,,,POINT (121.0748442 14.5898558),5.0,3.0,None,None
26457,26457,8314647827,14.627653899999999,120.96184240000001,1,120.96184240000001,14.627653899999999,,,POINT (120.9618424 14.6276539),0.0,5.0,None,None
26458,26458,8651165217,14.525738800000001,121.0685075,3,121.0685075,14.525738800000001,,,POINT (121.0685075 14.5257388),5.0,0.0,None,None
26459,26459,8667869223,14.5454109,121.0818564,3,121.0818564,14.5454109,,,POINT (121.0818564 14.5454109),5.0,1.0,None,None
26460,26460,8658954900,14.5451111,121.0818238,1,121.0818238,14.5451111,,,POINT (121.0818238 14.5451111),5.0,1.0,None,None
26461,26461,8314701150,14.671425699999999,121.07155279999999,1,121.07155279999999,14.671425699999999,,,POINT (121.0715528 14.6714257),5.0,6.0,None,None
26462,26462,8314710455,14.6738783,121.0763875,1,121.0763875,14.6738783,,,POINT (121.0763875 14.6738783),5.0,6.0,None,None
26463,26463,8314718580,14.6844237,121.05720559999999,1,121.05720559999999,14.6844237,,,POINT (121.0572056 14.6844237),4.0,7.0,None,None
26464,26464,8314724849,14.6902576,121.0518278,1,121.0518278,14.6902576,,,POINT (121.0518278 14.6902576),4.0,7.0,None,None
26465,26465,8314724862,14.5125005,121.07101899999999,1,121.07101899999999,14.5125005,,,POINT (121.071019 14.5125005),5.0,0.0,None,None
26466,26466,8314726434,14.5130393,121.07179280000001,1,121.07179280000001,14.5130393,,,POINT (121.0717928 14.5130393),5.0,0.0,None,None
26467,26467,8314732590,14.6843218,121.06005619999999,3,121.06005619999999,14.6843218,,,POINT (121.0600562 14.6843218),4.0,7.0,None,None
26468,26468,8382786275,14.6843296,121.0603338,1,121.0603338,14.6843296,,,POINT (121.0603338 14.6843296),4.0,7.0,None,None
26469,26469,8382786271,14.6841163,121.0599757,1,121.0599757,14.6841163,,,POINT (121.0599757 14.6841163),4.0,7.0,None,None
26470,26470,8314733338,14.684134099999998,121.02087759999998,1,121.02087759999998,14.684134099999998,,,POINT (121.0208776 14.6841341),3.0,7.0,None,None
26471,26471,8314733340,14.6840669,121.0205814,1,121.0205814,14.6840669,,,POINT (121.0205814 14.6840669),3.0,7.0,None,None
26472,26472,8660960049,14.685198000000002,121.0576142,3,121.0576142,14.685198000000002,,,POINT (121.0576142 14.685198),4.0,7.0,None,None
26473,26473,8660960048,14.6849228,121.0577071,3,121.0577071,14.6849228,,,POINT (121.0577071 14.6849228),4.0,7.0,None,None
26474,26474,8314740799,14.686281400000002,121.0222591,1,121.0222591,14.686281400000002,,,POINT (121.0222591 14.6862814),3.0,7.0,None,None
26475,26475,8314749668,14.5160657,121.06962560000001,1,121.06962560000001,14.5160657,,,POINT (121.0696256 14.5160657),5.0,0.0,None,None
26476,26476,8314766548,14.5891731,121.08574640000002,1,121.08574640000002,14.5891731,,,POINT (121.0857464 14.5891731),5.0,3.0,None,None
26477,26477,8314777251,14.588023499999998,121.0845437,1,121.0845437,14.588023499999998,,,POINT (121.0845437 14.5880235),5.0,3.0,None,None
26478,26478,8314798362,14.5663844,121.07759709999999,1,121.07759709999999,14.5663844,,,POINT (121.0775971 14.5663844),5.0,2.0,None,None
26479,26479,8314780087,14.6423943,121.0606982,1,121.0606982,14.6423943,,,POINT (121.0606982 14.6423943),4.0,5.0,None,None
26480,26480,8314792646,14.61426,121.0801355,1,121.0801355,14.61426,,,POINT (121.0801355 14.61426),5.0,4.0,None,None
26481,26481,8314792682,14.661824900000001,120.9990071,1,120.9990071,14.661824900000001,,,POINT (120.9990071 14.6618249),2.0,6.0,None,None
26482,26482,8314802894,14.6189989,121.04669409999998,1,121.04669409999998,14.6189989,,,POINT (121.0466941 14.6189989),4.0,4.0,None,None
26483,26483,8314802896,14.619458900000001,121.0466263,1,121.0466263,14.619458900000001,,,POINT (121.0466263 14.6194589),4.0,4.0,None,None
26484,26484,8314845364,14.528820999999999,121.0470361,1,121.0470361,14.528820999999999,,,POINT (121.0470361 14.528821),4.0,1.0,None,None
26485,26485,8314855389,14.597288199999998,121.02342720000001,1,121.02342720000001,14.597288199999998,,,POINT (121.0234272 14.5972882),3.0,3.0,None,None
26486,26486,8314856864,14.538041699999999,121.0804975,2,121.0804975,14.538041699999999,,,POINT (121.0804975 14.5380417),5.0,1.0,None,None
26487,26487,8386527276,14.536960699999998,121.08110479999999,1,121.08110479999999,14.536960699999998,,,POINT (121.0811048 14.5369607),5.0,1.0,None,None
26488,26488,8314857443,14.6610853,120.9986155,1,120.9986155,14.6610853,,,POINT (120.9986155 14.6610853),2.0,6.0,None,None
26489,26489,8314858219,14.530335999999998,121.0158044,1,121.0158044,14.530335999999998,,,POINT (121.0158044 14.530336),3.0,1.0,None,None
26490,26490,8314858221,14.5307307,121.0154007,1,121.0154007,14.5307307,,,POINT (121.0154007 14.5307307),3.0,1.0,None,None
26491,26491,8314905056,14.567425400000001,121.08086809999999,1,121.08086809999999,14.567425400000001,,,POINT (121.0808681 14.5674254),5.0,2.0,None,None
26492,26492,8314906943,14.655570499999998,121.0848706,1,121.0848706,14.655570499999998,,,POINT (121.0848706 14.6555705),5.0,6.0,None,None
26493,26493,8314911892,14.532356,121.08338799999999,1,121.08338799999999,14.532356,,,POINT (121.083388 14.532356),5.0,1.0,None,None
26494,26494,8383664007,14.5306035,121.0816044,1,121.0816044,14.5306035,,,POINT (121.0816044 14.5306035),5.0,1.0,None,None
