from,to,volume,TT
1296364859,6990408821,389.2575866,5.227191828
6990408821,6990408831,389.2575866,0.024742692
1444811772,7004433454,389.2575866,0.022108554
7004433454,2046702133,389.2575866,25.52595954
7004433454,7004433450,0,0.032354
2046702133,7004433450,48.73392223,25.51373071
7004433450,7004433446,48.73392223,0.021174002
2046702175,2046702054,0,1.720571
5851236580,6990408826,48.73392223,0.985763105
5851236580,5851236582,0,0.047703
6990408826,6990408825,48.73392223,0.020318002
5851236582,1444811772,389.2575866,2.099155109
5851236582,5851236580,0,0.050064
8954239842,8954239845,258.1176448,0.018455028
6990361553,6990362012,0,1.574407
6990362012,10766470147,0,0.032451
6990362012,1024907007,0,2.711041
6990361948,6990362012,0,0.043247
6990361948,6990361553,0,1.576823
6990408831,5851236582,389.2575866,0.99972101
6990408831,6990408826,0,0.038627
6990408825,1024906838,48.73392223,5.237412556
6990408825,6990408821,0,0.036004
7004433446,5851236580,48.73392223,2.105685224
7004433446,1444811772,0,0.034317
2046702054,2046702175,0,1.714158
611074863,611074864,0,0.023474
611074864,4923102849,0,2.40381
611074864,4483729198,0,0.027407
4923102849,5479993983,0,0.017433
4483729198,4483729199,0,0.023255
611074875,611074863,0,1.182043
611074875,671395623,0,0.034423
671395623,3536528547,0,0.020774
611074942,611074875,0,0.027775
611075074,611075084,0,0.319867
611075074,1490607325,0,0.338634
611075084,4605618169,0,2.819292
1490607325,1490607323,0,0.032198
1490607325,2391851758,0,0.036866
4605618169,4605618129,0,0.139366
4605618169,2923606780,0,0.107861
611075223,10034225107,0,0.361731
611075223,611075227,0,0.032059105
10034225107,10034225108,0,0.025021
611075227,611075228,0,0.024372
611075228,10033993012,0,0.032240546
611075228,10033992959,0,0.171283
10033993012,3876297161,0,0.023600979
10033993012,611075223,0,0.021329
10033992959,11076695789,0,0.019328
611075244,10034225019,0,1.613147
611075244,10033992962,0,0.420539
10034225019,5480002192,0,0.647522
10033992962,10033992959,0,0.038387786
10033992962,10033993012,0,0.17989
611075254,3977934702,0,1.9928
3977934702,10032129071,0,0.429565
611075479,3536528802,0,0.283823
611075479,3536528794,0,0.355184
3536528802,8009990459,0,1.023626
611075510,611075479,0,1.741618
611075510,4605618014,0,0.038456
4605618014,671439821,0,0.019503
611075562,2923607617,0,0.350352
611075562,4605618101,0,0.188838
2923607617,671439836,0,0.171186
2923607617,4605618101,0,0.233879
4605618101,611075510,0,1.828587
611075606,10027856930,13.89983285,0.305797
10027856930,10027856945,13.89983285,0.134022
611075625,5590306823,0,0.029815
611075625,2552563468,13.89983285,0.636775
5590306823,1490606872,17.23140257,0.031918
5590306823,5590306825,0,0.040394
2552563468,611075606,13.89983285,0.591024
611075639,1490607149,13.89983285,0.222545
1490607149,1490607173,13.89983285,0.442563
1490607149,611075074,0,2.859074
611075703,3990029407,13.89974852,1.707117001
3990029407,3990029409,0,0.055238
3990029407,10027856886,13.89974852,1.237542001
3536528547,3939124521,0,1.949354
3536528547,611074942,0,0.035221
671439805,3536528826,0,0.366711
671439805,10925220938,0,0.266661
3536528826,4605618014,0,1.532667
671439821,671439827,0,1.475886
671439821,611075510,0,0.034609
671439827,671439836,0,0.423887
671439827,2923607617,0,0.258208
671439836,4605618113,0,1.813324
4605618113,4605618144,0,0.182574
4605618113,4605618128,0,0.340688
1490606872,1490606918,17.23140257,1.246788002
1490606872,5590306829,0,0.029237
1490606918,3990029409,17.23140257,0.016792
1490606918,5590306836,0,0.029804
5590306829,611075625,13.81604339,0.029951
1490606889,5590306823,17.23140257,1.364222002
1490606889,2552563493,0,0.450131
3990029409,5590306837,17.23140257,0.017537
3990029409,3990029407,0,0.053078
5590306836,5590306837,0,0.040251
1490606953,9256584593,17.2315181,0.746642001
9256584593,9256584602,17.2315181,0.064369
9256584593,9256584597,0,0.050954
1490606963,1490606953,0,0.22599
1490606958,1490606997,13.89983285,0.400083
1490606958,1490606977,0,0.205024
1490606997,1490607117,13.89983285,2.282748002
1490606977,1490606997,0,0.19885
1490606989,1490606953,17.2315181,0.445862001
1490606989,1490606963,0,0.223523
1490607117,611075639,13.89983285,0.161895
1490607117,1490607130,0,0.086156
1490607069,1490607071,0,0.02719
1490607071,1490606989,17.2315181,1.858794003
1490607079,1490607071,0,0.029774
1490607079,1490607069,0,0.02081
1490607130,611075639,0,0.166933
1490607173,2391815771,13.89983285,0.178394001
2391815771,3808791647,13.89983285,1.774883007
1490607179,1490607079,0,1.160189
1490607179,1490607173,0,0.069049
