from,to,volume,EstimatedTT,length,CO2,lengthm
611075625,5590306823,0,1.7889,29.815,0,0.018526176
611075625,2552563468,46.47039251,38.20650336,636.775,5975.004015,0.395673519
5590306823,1490606872,29.64723939,1.915080028,31.918,191.0714425,0.01983292
5590306823,5590306825,0,2.42364,40.394,0,0.02509966
2552563468,611075606,46.47039251,35.46144311,591.024,5545.712022,0.367245174
611075639,1490607149,46.47039251,13.35270117,222.545,2088.190128,0.138283009
1490607149,1490607173,46.47039062,26.55378233,442.563,4152.668673,0.274995814
1490607149,611075074,1.89E-06,171.54444,2859.074,0.001089679,1.77654567
611075703,3990029407,46.47031298,102.427029,1707.117,16018.23795,1.060752997
3990029407,3990029409,0,3.31428,55.238,0,0.034323291
3990029407,10027856886,46.47031298,74.25252652,1237.542,11612.11694,0.76897271
3536528547,3939124521,0,116.96124,1949.354,0,1.211272044
3536528547,611074942,0,2.11326,35.221,0,0.021885308
671439805,3536528826,0,22.00266,366.711,0,0.227863581
671439805,10925220938,0,15.99966,266.661,0,0.165695412
3536528826,4605618014,0,91.96002,1532.667,0,0.952354826
671439821,671439827,0,88.55316,1475.886,0,0.91707276
671439821,611075510,0,2.07654,34.609,0,0.021505029
671439827,671439836,0,25.43322,423.887,0,0.263391089
671439827,2923607617,0,15.49248,258.208,0,0.160442963
671439836,4605618113,0,108.79944,1813.324,0,1.126746947
4605618113,4605618144,0,10.95444,182.574,0,0.113446189
4605618113,4605618128,0,20.44128,340.688,0,0.211693643
1490606872,1490606918,29.64723939,74.80728109,1246.788,7463.675095,0.774717906
1490606872,5590306829,0,1.75422,29.237,0,0.018167024
1490606918,3990029409,29.64723939,1.007520015,16.792,100.5223279,0.010434062
1490606918,5590306836,0,1.78824,29.804,0,0.018519341
5590306829,611075625,46.21523441,1.797060154,29.951,279.4939062,0.018610683
1490606889,5590306823,29.64723939,81.85332119,1364.222,8166.672895,0.847687988
1490606889,2552563493,0,27.00786,450.131,0,0.27969835
3990029409,5590306837,29.64723939,1.052220015,17.537,104.9821382,0.010896983
3990029409,3990029407,0,3.18468,53.078,0,0.03298113
5590306836,5590306837,0,2.41506,40.251,0,0.025010804
1490606953,9256584593,29.64734835,44.79852065,746.642,4469.656254,0.463941686
9256584593,9256584602,29.64734835,3.862140056,64.369,385.3350111,0.03999703
9256584593,9256584597,0,3.05724,50.954,0,0.031661338
1490606963,1490606953,0,13.5594,225.99,0,0.140423632
1490606958,1490606997,46.47039251,24.00498211,400.083,3754.069383,0.248599974
1490606958,1490606977,0,12.30144,205.024,0,0.127395968
1490606997,1490607117,46.47039251,136.964892,2282.748,21419.54138,1.418433408
1490606977,1490606997,0,11.931,198.85,0,0.123559623
1490606989,1490606953,29.64734835,26.75172039,445.862,2669.083545,0.277045717
1490606989,1490606963,0,13.41138,223.523,0,0.13889071
1490607117,611075639,46.47039251,9.713700853,161.895,1519.097444,0.100596858
1490607117,1490607130,0,5.16936,86.156,0,0.05353484
1490607069,1490607071,0,1.6314,27.19,0,0.016895077
1490607071,1490606989,29.64734835,111.5276416,1858.794,11127.3813,1.155000687
1490607079,1490607071,0,1.78644,29.774,0,0.0185007
1490607079,1490607069,0,1.2486,20.81,0,0.012930731
1490607130,611075639,0,10.01598,166.933,0,0.103727325
1490607173,2391815771,46.47039062,10.7036455,178.394,1673.911327,0.110848858
