from,to,demand,TT,distance,estimated?
95145062,1670657170,,0.664936329588015,445,No
11007703,344624368,,1.0128663249810175,439,No
344624368,344625887,,0.07879166666666668,36,No
344624368,99089590,,0.06406428571428571,28,No
95145069,159725096,,1.12393502994012,334,No
11008006,2075215,,1.0349344884488447,202,No
11068788,828163530,,0.013488857142857143,0,Yes
11068788,25621138,,0.015651,0,Yes
828163530,4862265262,,0.6448697142857144,0,Yes
25621138,773660261,,0.016031,0,Yes
25621138,25621140,,0.23457599999999995,0,Yes
203786445,415524744,,0.349856,50,No
2970916246,9982673432,,0.36679024390243903,41,No
3183738525,11070793,,0.19971079295154187,227,No
2241122861,2241123813,,0.36948448979591836,245,No
81580487,81580494,,0.26609836065573766,61,No
3137621725,28238725,,0.32120017006802715,196,No
2078553223,85748936,,0.06433148148148149,36,No
9946740207,9946740209,,0.08117147435897434,52,No
11768081,376974958,,0.21459614583333336,160,No
376974958,30788689,,0.18400540540540541,37,No
376974958,288155029,,0.21650519999999998,0,Yes
11769730,11769758,,0.3225948000000001,0,Yes
11769730,29348253,,0.0407856,0,Yes
29348253,252007120,,0.2799552,0,Yes
29348253,534628,,0.0246768,0,Yes
3121547154,534324289,,0.554025641025641,65,No
12262630,26910582,,0.02323,20,No
12262630,12262641,,0.3166318333333333,300,No
26910582,26910090,,0.015,16,No
26910582,656211460,,0.8501470824949698,497,No
12262641,12262886,,0.013960000000000002,0,Yes
12262641,248219548,,0.6333947999999999,0,Yes
12262886,26910102,,0.009147428571428572,0,Yes
12262886,839865307,,0.026944,0,Yes
248219548,211626783,,0.36142079999999993,0,Yes
248219548,248219582,,0.1519962857142857,0,Yes
839865307,10940911,,0.4124,0,Yes
12961684,784730663,,0.16569119999999998,0,Yes
64804962,33477280,,0.9599003999999998,0,Yes
784730663,12961684,,0.16151160000000003,0,Yes
15017262,1363071246,,0.024981000000000003,0,Yes
15017262,15017430,,1.0751014285714282,0,Yes
1065689955,1363071255,,0.035685600000000005,0,Yes
1698611463,25272054,,1.3540085999999998,0,Yes
15613290,10919799,,0.011192,0,Yes
15613290,15613314,,0.7066513249651326,239,No
15613314,15613331,,0.1466205882352941,51,No
15613314,25096432,,0.49237875,40,No
15613331,15613353,,0.4163032481363152,313,No
25096432,15613331,,0.05420119047619048,42,No
25096432,24945369,,0.024443,0,Yes
15613353,2338426490,,0.2443188,0,Yes
15613353,26730552,,0.04308240000000001,0,Yes
2338426490,15613573,,0.2402202,0,Yes
26730552,3025700050,,0.0607896,0,Yes
15613573,1629974641,,1.314003013503909,2345,No
1629974641,15866451,,0.4171682653876898,417,No
1629974641,25269438,,0.5493228586171311,969,No
15614141,12262630,,0.370867525804493,21960,No
15614141,10941037,,0.11629859882005898,226,No
15618026,24973521,,0.019311599999999998,0,Yes
15618026,282973002,,2.07325807416268,836,No
24973521,113794494,,0.029087878787878788,11,No
24973521,3411653,,0.0770508,0,Yes
282973002,24969633,,0.06624222222222223,30,No
282973002,1516305879,,0.056314800000000005,0,Yes
25622151,2503004249,,0.43436759999999996,0,Yes
15866433,25269437,,0.1128282,0,Yes
15866433,15866451,,0.6408045,0,Yes
25269437,25096273,,1.4923026000000001,0,Yes
15866451,903673001,,1.9029689110556942,1203,No
1803689315,1803689298,,0.07727474747474748,3003,No
1803689315,442928,,0.016734090909090907,22,No
16573458,3840043618,,0.8058916863672182,423,No
16573467,16573472,,0.3020036585365854,246,No
3840043618,16573467,,0.491862,0,Yes
16573472,25622670,,0.05113439808778791,767,No
16573472,16573581,,0.3702912000000001,0,Yes
25622670,16573458,,0.5605311914323962,249,No
16573581,15618078,,0.0525372,0,Yes
16573581,25622663,,0.10260239999999998,0,Yes
3844764355,3844764341,,0.0772056,0,Yes
16574244,26165880,,0.0157212,0,Yes
16574244,3861801989,,0.139548,0,Yes
26165880,262185376,,0.192954,0,Yes
3861801989,26165886,,0.0240276,0,Yes
3861801989,2260731086,,0.19755479999999997,0,Yes
16574394,29510455,,0.6733248000000002,0,Yes
16574394,7093468874,,0.33938308457711447,67,No
16574525,7101166877,,0.093786,0,Yes
16574602,2544089665,,0.09767037037037037,27,No
16574602,534774,,0.13437800687285226,97,No
2544089665,534804,,0.03628484848484848,11,No
16574619,1775338888,,1.8579331734612312,417,No
1775338888,357917181,,0.06818924731182796,31,No
21596886,1690044417,,0.08887320000000001,0,Yes
18178769,21684322,,0.6139199999999999,0,Yes
21684322,534758,,0.010371600000000002,0,Yes
21684322,25873175,,0.024981600000000003,0,Yes
25873183,2262218571,,0.27536639999999996,0,Yes
25873183,7193964013,,0.05301212121212121,33,No
18178797,534749,,0.03710119802677942,473,No
18178797,2287846803,,0.8638154589371982,483,No
2287846803,29510418,,0.03316031746031746,21,No
2287846803,2287846804,,0.09188235294117647,17,No
18178969,11768081,,0.15025416666666666,40,No
18178969,534329196,,1.844981609195402,696,No
534329196,534329195,,0.10904841269841269,21,No
534329196,21566459,,0.768552564102564,598,No
18627237,18627247,,0.04688620689655172,29,No
18627247,33477280,,0.0198264,0,Yes
18627247,12961684,,0.9682992,0,Yes
33477280,28796755,,1.1466588000000002,0,Yes
297481606,3057282550,,0.9816048000000002,0,Yes
3057282550,33477164,,0.9827712000000001,0,Yes
264223496,534806,,1.6625898135516148,733,No
264223496,35711189,,0.036054666666666665,25,No
18630070,31197353,,0.03191,20,No
18630070,7095690304,,4.222854896755163,1130,No
31197353,280008754,,0.20414,45,No
31197353,18630098,,0.033911111111111114,21,No
7095690304,7095690344,,0.022742592592592592,9,No
7095690304,3952754484,,0.4779432,125,No
18630098,280008754,,0.10476180555555557,24,No
18630098,3808565717,,0.4125396825396826,231,No
280008754,280008666,,0.0386256,0,Yes
280008754,18630111,,0.027667199999999996,0,Yes
3808565717,16574619,,0.22959000000000002,0,Yes
3808565717,16574613,,0.1794288,0,Yes
280008666,280008531,,0.03398520000000001,0,Yes
280008666,534806,,0.049158695652173914,23,No
35711189,244038931,,2.501559307992203,1026,No
35711189,536652,,0.018803333333333335,15,No
18630516,534799,,0.23483333333333334,14,No
18630516,335716505,,0.8106131494804157,417,No
335716505,335716508,,0.010639200000000001,0,Yes
335716505,16574602,,1.4657481481481482,198,No
18631911,18631929,,0.05270833333333335,24,No
18631929,1853296305,,0.0275875,4,No
18631929,2628479841,,0.07251984126984126,21,No
1853296305,1853296309,,0.0279216,0,Yes
2628479841,1853296305,,0.022844399999999997,0,Yes
21271513,25272050,,0.13580520000000001,0,Yes
21271513,442828572,,0.15374600000000002,0,Yes
25272050,25272065,,1.3364459999999998,0,Yes
442828572,25272050,,0.18720938069216755,183,No
21527686,21527743,,0.029614285714285715,14,No
21527686,21552190,,1.0410819734345351,527,No
21527743,209128004,,1.874601022270902,1826,No
21552190,21597988,,0.037116666666666666,16,No
21527733,1620726747,,0.1719224137931034,58,No
1620726747,1620726770,,0.09083514492753625,46,No
1620726747,21552195,,0.31350833333333333,44,No
7193964013,25873183,,0.5388207070707071,33,No
209128004,21552198,,0.4317323353293413,167,No
21527766,299844554,,0.25589520000000004,0,Yes
21596461,21568117,,0.4314756,0,Yes
21552197,209128661,,0.1273968,0,Yes
2272203032,7260653744,,0.12996,0,Yes
1150742708,27279384,,0.1052784,0,Yes
1150742708,24969757,,0.09906610169491525,59,No
21540513,21540519,,0.1335732,0,Yes
21540519,209128004,,0.18201310272536686,159,No
21540517,21540519,,0.08451794871794872,39,No
21540517,1229568988,,0.5794861788617887,123,No
21552187,21552188,,1.1128440476190473,168,No
21552188,21552190,,0.03642153477218226,1390,No
21552188,21527743,,0.5312725897920605,529,No
21597988,21597987,,0.016636666666666668,15,No
21597988,248219490,,2.9081917816973415,2608,No
21552195,10919786,,0.009746400000000002,0,Yes
21552195,1620726770,,0.0376164,0,Yes
1620726770,344434421,,0.17356319999999997,0,Yes
209128661,21540517,,0.2360316,0,Yes
209128661,21527686,,1.16301,0,Yes
21552198,21552199,,0.11857131782945737,43,No
21552198,2297622,,0.09675128205128206,1183,No
21552200,21527766,,0.4848588080388081,4810,No
21552200,21566429,,0.9832609533824044,951,No
21566429,534329195,,1.3119720689655172,725,No
21566459,126667225,,1.2678096124031006,430,No
21566459,21568117,,3.6016547139403716,1241,No
21568117,21527762,,0.4821051369863013,146,No
311494772,7091784429,,0.1980458333333333,20,No
1690044417,126667225,,0.029918399999999998,0,Yes
1690044417,31271217,,0.0392184,0,Yes
21597987,21597992,,0.176544,0,Yes
21597987,21552188,,0.020841000000000002,0,Yes
21597992,21552187,,0.035871600000000003,0,Yes
21597992,3148489417,,0.6807215999999998,0,Yes
248219490,248219434,,0.5202288716520815,2514,No
248219490,221995898,,0.7830013492063495,1050,No
3148489417,3148489416,,0.04363333333333333,14,No
3148489417,536675,,0.17345218579234972,122,No
316299769,316299777,,0.23671034482758618,29,No
21647047,21647107,,0.5832323321554771,283,No
21647107,1632149360,,0.7870888888888888,324,No
21647051,271287016,,0.15527935523868566,1613,No
21647051,278451621,,0.5837722222222221,108,No
271287016,141678998,,0.051721276595744686,47,No
278451621,21647047,,0.06185879999999999,0,Yes
278451621,1632149375,,0.059050799999999994,0,Yes
1632149359,1632149349,,0.30028320000000003,0,Yes
1632149359,1632149367,,0.0279084,0,Yes
1632149360,1632149359,,0.0289332,0,Yes
1632149360,21647057,,0.9019014145141452,1084,No
21647146,25269444,,1.2116394951140061,1228,No
25269444,25269438,,0.8389326215022089,8148,No
25269444,25269437,,0.43137707944070747,21408,No
21660961,78454176,,0.030721187519898125,1047,No
