Centroid,Proportion,Proportion
277,0.002252738233814026,0.002252738233814026
279,0.002252738233814026,0.002252738233814026
282,0.005254665756779704,0.005254665756779704
284,0.014780456798596547,0.014780456798596547
286,0.006857553368187358,0.006857553368187358
288,0.011690136938755218,0.011690136938755218
290,0.012411564469306307,0.012411564469306307
292,0.013169336356599653,0.013169336356599653
294,0.007944751345049945,0.007944751345049945
296,0.009564717271002644,0.009564717271002644
298,0.0015975446854759043,0.0015975446854759043
300,0.0067871142162018805,0.0067871142162018805
302,0.0038057959578745378,0.0038057959578745378
304,0.00796126860689134,0.00796126860689134
307,0.003080783301550366,0.003080783301550366
309,1.0107576644358521e-05,1.0107576644358521e-05
311,0.006604198627912027,0.006604198627912027
313,0.0059008920262078116,0.0059008920262078116
315,0.008182947429142724,0.008182947429142724
317,0.008248489601301428,0.008248489601301428
319,0.007106712603363923,0.007106712603363923
321,0.0072834109304453385,0.0072834109304453385
323,0.001531073333525167,0.001531073333525167
324,0.004646124290867434,0.004646124290867434
326,0.004590624417003114,0.004590624417003114
328,0.0011143301939988634,0.0011143301939988634
330,0.006099170700266993,0.006099170700266993
332,0.0010549688983945117,0.0010549688983945117
334,0.006732497138383993,0.006732497138383993
336,0.006995477960589062,0.006995477960589062
338,0.008981006525646935,0.008981006525646935
339,0.0006880791892268172,0.0006880791892268172
341,0.0006880791892268172,0.0006880791892268172
343,0.0006880791892268172,0.0006880791892268172
345,0.0006880791892268172,0.0006880791892268172
347,0.0006880791892268172,0.0006880791892268172
349,0.0006880791892268172,0.0006880791892268172
353,0.0006880791892268172,0.0006880791892268172
357,0.0023322342886736218,0.0023322342886736218
359,0.0023322342886736218,0.0023322342886736218
361,0.0023322342886736218,0.0023322342886736218
363,0.0023322342886736218,0.0023322342886736218
365,0.0023322342886736218,0.0023322342886736218
367,0.0017466339491135153,0.0017466339491135153
369,0.0128974886142593,0.0128974886142593
371,0.007721558947942076,0.007721558947942076
373,0.00542373815465269,0.00542373815465269
375,0.003843023712615219,0.003843023712615219
376,0.0148688269970154,0.0148688269970154
378,0.008097254479117282,0.008097254479117282
380,0.004302969615853337,0.004302969615853337
382,0.0035474310707968625,0.0035474310707968625
385,0.0035474310707968625,0.0035474310707968625
387,0.0035474310707968625,0.0035474310707968625
389,0.0037472973598082476,0.0037472973598082476
390,0.0037472973598082476,0.0037472973598082476
392,0.0037472973598082476,0.0037472973598082476
395,0.0020264244146219867,0.0020264244146219867
397,0.0020264244146219867,0.0020264244146219867
399,0.0020264244146219867,0.0020264244146219867
401,0.0020264244146219867,0.0020264244146219867
403,0.0020264244146219867,0.0020264244146219867
405,0.0020264244146219867,0.0020264244146219867
406,0.011590093018361051,0.011590093018361051
408,0.008049892728727895,0.008049892728727895
410,0.008265029168808521,0.008265029168808521
412,0.000747561109323156,0.000747561109323156
415,0.0021682114320170525,0.0021682114320170525
417,0.003542592580639201,0.003542592580639201
419,0.002955273701567387,0.002955273701567387
