fishnetid,CO2,fishnetid,CO2psqkm
34,20637735.512217514,274,34241.94974248157
341,14466351.056048041,276,24082.183978887493
343,21104712.668669704,278,35133.087213167906
345,33749920.85458259,280,13999.412689375706
347,27278710.473654464,282,11315.16506957484
349,81302689.5309855,284,33724.22437387493
351,28054187.005618792,286,11636.831483213866
354,35878202.43024095,288,14882.22045136179
356,28181867.845162444,290,11689.793289346535
358,16959010.12999578,292,7034.570025691779
36,18215384.69870231,294,30222.806519818256
360,41252541.36211992,296,68445.85479037096
362,5179155.103804905,298,8621.75717855811
364,29858686.828825496,300,49705.85787624181
366,35267521.21920643,302,14628.910870822001
368,21149862.183295447,304,8772.928692280986
370,41489328.09956929,306,17209.7063211903
372,54655697.21267595,308,22671.094975380598
374,32758565.9901495,310,13588.200291912126
376,24598594.635881238,312,10203.457346467056
378,33318623.81314703,314,13912.852148153233
38,39988554.22170067,316,16698.0138683101
380,5920907.564894908,318,2472.392377165384
382,16436192.589047356,320,6863.258178141163
384,21367289.893523846,322,8922.33565115087
387,2663013.85329038,324,4447.970674856006
389,5709973.876414484,326,9569.417408670357
391,7392153.414033625,328,12388.603362968772
393,87832960.0807271,330,36676.394385041865
395,87947781.61097741,331,36724.34039213816
396,71944221.41120923,333,30041.736448106727
398,44932817.21127633,335,18762.588934234944
4,14072335.082941147,337,5876.182596442518
40,16004928.75512765,339,26914.068540666587
400,30817984.85404755,341,52001.455460415425
402,28563680.659839183,343,48197.60197341423
404,34322412.90573806,345,14429.259916339131
406,6118293.325285686,347,2572.151464916117
408,16973145.10819973,349,7135.568324889235
412,58741550.19245859,351,99118.9437101575
415,28597834.43421938,354,108203.4624718223
417,20942610.72756394,356,79238.9717177428
419,18492967.54273188,358,70129.99032625832
421,19418913.00775019,360,73641.40872648681
423,11507218.671098327,362,43738.28979375325
425,18139706.291159563,364,7625.9946408790465
426,8438174.315632476,366,3547.4373772620547
429,45426307.382724114,368,19097.37517770085
431,35934419.196640514,370,15106.952881052479
435,5286056.452205425,372,2237.5917816710325
437,10732898.953434648,374,40889.12858898437
439,20540013.15420663,376,78251.29470849925
44,585473.6247056616,378,2230.4790560230585
