gridID_lat,gridID_lon,inner_gridID_lat,inner_gridID_lon,oneway,lanelength,fishnetID,osmid,y,x,street_count,lon,lat,highway,ref,nodeID,geometry,lanecapacity
13,12,None,None,False,537.471,117,6536640153,37.9512892,23.6633311,4,23.6633311,37.9512892,,,2135,POINT (23.6633311 37.9512892),6400
13,12,None,None,False,537.471,117,10131942146,37.9477929,23.6558557,3,23.6558557,37.9477929,,,3145,POINT (23.6558557 37.9477929),4600
13,12,None,None,False,537.471,117,3607367661,37.9494001,23.6572803,3,23.6572803,37.9494001,,,2765,POINT (23.6572803 37.9494001),4600
13,13,None,None,False,407.73,119,357217930,37.9536866,23.6703149,4,23.6703149,37.9536866,,,540,POINT (23.6703149 37.9536866),6400
13,13,None,None,False,407.73,119,805901573,37.9475372,23.6651266,3,23.6651266,37.9475372,,,223,POINT (23.6651266 37.9475372),4200
13,21,None,None,False,629.294,125,251114644,37.9488829,23.7393061,4,23.7393061,37.9488829,traffic_signals,,55,POINT (23.7393061 37.9488829),6400
13,21,None,None,False,629.294,125,251115327,37.9523115,23.7373056,3,23.7373056,37.9523115,,,79,POINT (23.7373056 37.9523115),5000
13,21,None,None,False,629.294,125,357483587,37.9506772,23.7412344,3,23.7412344,37.9506772,,,738,POINT (23.7412344 37.9506772),4200
13,21,None,None,False,629.294,125,251120756,37.9491268,23.744853,4,23.744853,37.9491268,,,729,POINT (23.744853 37.9491268),5600
13,34,None,None,False,1276.325,129,4195166425,37.9518046,23.8616986,3,23.8616986,37.9518046,,,1449,POINT (23.8616986 37.9518046),5400
13,34,None,None,False,1276.325,129,4195166421,37.9516646,23.861598,1,23.861598,37.9516646,,,2830,POINT (23.861598 37.9516646),1800
14,7,None,None,False,97.604,132,2410800187,37.9583989,23.6147224,4,23.6147224,37.9583989,,,2419,POINT (23.6147224 37.9583989),6800
14,7,None,None,False,97.604,132,153799143,37.9615455,23.6118904,4,23.6118904,37.9615455,,,314,POINT (23.6118904 37.9615455),6400
14,11,None,None,False,1404.634,135,251147380,37.956586,23.6504775,3,23.6504775,37.956586,traffic_signals,,290,POINT (23.6504775 37.956586),4200
14,11,None,None,False,1404.634,135,2146155915,37.960789,23.649371,2,23.649371,37.960789,,,407,POINT (23.649371 37.960789),2800
14,13,None,None,False,873.9,137,2149932782,37.9571464,23.6705978,2,23.6705978,37.9571464,,,1201,POINT (23.6705978 37.9571464),4200
14,13,None,None,False,873.9,137,3633024100,37.9576845,23.6708624,2,23.6708624,37.9576845,,,1202,POINT (23.6708624 37.9576845),4200
14,14,None,None,False,487.298,139,828109873,37.9615423,23.6767636,3,23.6767636,37.9615423,,,2008,POINT (23.6767636 37.9615423),14000
14,14,None,None,False,487.298,139,9892016460,37.9587647,23.6756541,3,23.6756541,37.9587647,,,2012,POINT (23.6756541 37.9587647),6800
14,14,None,None,False,487.298,139,582683799,37.9569261,23.680543,4,23.680543,37.9569261,,,1879,POINT (23.680543 37.9569261),6400
14,14,None,None,False,487.298,139,357218402,37.9613787,23.6738397,2,23.6738397,37.9613787,,,412,POINT (23.6738397 37.9613787),4200
14,14,None,None,False,487.298,139,638499613,37.9552707,23.6741918,3,23.6741918,37.9552707,,,2001,POINT (23.6741918 37.9552707),4600
14,17,None,None,False,1339.051,143,36433261,37.9558904,23.7020365,4,23.7020365,37.9558904,,,90,POINT (23.7020365 37.9558904),7300
14,17,None,None,False,1339.051,143,2297377191,37.9560261,23.7020199,4,23.7020199,37.9560261,,,2668,POINT (23.7020199 37.9560261),7300
14,20,None,None,False,366.078,147,251115293,37.9590486,23.7342561,4,23.7342561,37.9590486,,,701,POINT (23.7342561 37.9590486),6400
14,20,None,None,False,366.078,147,36408673,37.9569691,23.7352646,3,23.7352646,37.9569691,traffic_signals,,78,POINT (23.7352646 37.9569691),5000
14,20,None,None,False,366.078,147,6164683725,37.9571262,23.7327547,3,23.7327547,37.9571262,,,2175,POINT (23.7327547 37.9571262),4200
14,20,None,None,False,366.078,147,572684539,37.9581819,23.7306599,4,23.7306599,37.9581819,,,731,POINT (23.7306599 37.9581819),5600
14,34,None,None,False,2044.06,151,6131714090,37.9574921,23.8574205,3,23.8574205,37.9574921,,,1059,POINT (23.8574205 37.9574921),5400
14,34,None,None,False,2044.06,151,6131714091,37.9573701,23.8572387,1,23.8572387,37.9573701,,,2933,POINT (23.8572387 37.9573701),1800
15,2,None,None,False,151.668,154,2352582756,37.9634747,23.5653786,3,23.5653786,37.9634747,crossing,,370,POINT (23.5653786 37.9634747),5400
