,from,highway,lanes,length,maxspeed,oneway,osmid,to,geometry,capacity,edgeID
3618,3993850983,secondary_link,2.0,30.536,60,True,396574606,3993845196,"LINESTRING (23.7389526 38.0222747, 23.7388812 38.0222544, 23.7388379 38.0222477, 23.7388087 38.0222527, 23.7387849 38.0222609, 23.7387177 38.0223056, 23.738658 38.022353)",700,3597
3619,3993850983,secondary,2.0,85.189,60,True,"[882550770, 591902474, 882550765, 591902471]",3095197565,"LINESTRING (23.7389526 38.0222747, 23.738912 38.0222371, 23.7388746 38.0222011, 23.7388055 38.0221352, 23.738752 38.0220779, 23.7387039 38.0220305, 23.7385065 38.0218372, 23.7383672 38.0216642)",700,3598
3620,3105638878,secondary_link,2.0,356.15900000000005,40,True,"[221153208, 475874934]",2302094980,"LINESTRING (23.7871789 38.025152, 23.7873434 38.0250009, 23.7876827 38.0247991, 23.7878343 38.0247104, 23.7880784 38.024534, 23.7882061 38.0244225, 23.7883462 38.0243007, 23.7884811 38.0241594, 23.7886214 38.0239929, 23.7888933 38.0236016, 23.7890248 38.0233314, 23.7891195 38.0230369, 23.789161 38.0227823, 23.7891824 38.0226987, 23.7892332 38.0225161)",700,3599
3621,3105638878,secondary,2.0,193.808,60,True,235156562,597692690,"LINESTRING (23.7871789 38.025152, 23.7874112 38.0250265, 23.7875647 38.0249449, 23.7877378 38.0248489, 23.7879215 38.0247516, 23.7880489 38.0246808, 23.7881374 38.0246291, 23.7882071 38.0245826, 23.7882661 38.0245424, 23.7883224 38.0245033, 23.7883895 38.0244558, 23.7884891 38.0243765, 23.7885813 38.0243058, 23.7889126 38.0240757)",700,3600
3622,3109738445,primary,2.0,60.218,50,True,696779174,250723038,"LINESTRING (23.7075716 37.9639273, 23.7070256 37.9642559)",900,3601
3624,3110974384,motorway,2.0,1078.529,100,True,"[599447170, 306247267, 306247271]",600936021,"LINESTRING (23.8641867 38.017913, 23.8644954 38.0176721, 23.8648233 38.017392, 23.865251 38.0169844, 23.8656194 38.0165967, 23.8660007 38.0160901, 23.8662278 38.0157929, 23.8665826 38.0152979, 23.8668406 38.0148664, 23.8670509 38.014458, 23.8673272 38.0138463, 23.8674237 38.0135793, 23.867523 38.0132878, 23.8676425 38.0128777, 23.8677452 38.0124327, 23.8678058 38.0121325, 23.8679811 38.0110852, 23.8683387 38.0090256)",2000,3602
3625,3110974384,motorway_link,2.0,249.491,50,True,"[47133072, 604990253, 599497944]",937378287,"LINESTRING (23.8641867 38.017913, 23.8642918 38.0177503, 23.8646038 38.0174588, 23.8648765 38.0171813, 23.8652001 38.01685, 23.8654855 38.0165374, 23.8657841 38.0161744, 23.8658468 38.0160953)",2000,3603
3626,3139155522,secondary_link,2.0,27.378,60,True,308646239,3139155530,"LINESTRING (23.85223 37.999608, 23.8523103 37.9995428, 23.8523332 37.9995172, 23.8523389 37.9994991, 23.8523417 37.999474, 23.852339 37.999433, 23.8523317 37.9993943)",700,3604
3627,3139155540,secondary_link,2.0,34.797,60,True,308646234,3139155528,"LINESTRING (23.852767 37.9992066, 23.8528239 37.999261, 23.8528395 37.9992694, 23.8528808 37.9992915, 23.8529519 37.9993091, 23.8531125 37.9993365)",700,3605
3628,3174415759,primary,2.0,7.942,60,True,423873623,1193412693,"LINESTRING (23.7324991 38.0273416, 23.7325452 38.0274031)",900,3606
3629,3174415759,primary,2.0,22.512,50,True,371469466,8583862324,"LINESTRING (23.7324991 38.0273416, 23.7325292 38.0272959, 23.7326006 38.0271558)",900,3607
3630,8583862324,primary,2.0,20.09,50,True,964737033,3174416264,"LINESTRING (23.7326006 38.0271558, 23.7326435 38.0270775, 23.7327248 38.0270068)",900,3608
3631,3174416264,primary,2.0,48.624,50,True,"[882304997, 311726598]",1193412693,"LINESTRING (23.7327248 38.0270068, 23.732725 38.0270975, 23.7327046 38.0271408, 23.7326903 38.0271751, 23.7326696 38.0272247, 23.7326349 38.0273078, 23.7326173 38.0273488, 23.7326036 38.0273726, 23.7325452 38.0274031)",900,3609
3632,3236914865,secondary_link,2.0,41.93000000000001,60,True,387591943,3238363971,"LINESTRING (23.692829 38.0195776, 23.6929656 38.0195379, 23.6930066 38.019526, 23.693042 38.0195094, 23.6930683 38.0194838, 23.6930909 38.0194615, 23.6931091 38.0194331, 23.6931205 38.0194029, 23.693125 38.0193675, 23.693118 38.0193328)",700,3610
3633,3238363971,secondary,2.0,291.275,60,True,"[387675298, 387675299, 387675305, 387675309, 602183512, 652480634]",5720751192,"LINESTRING (23.693118 38.0193328, 23.6929056 38.0189595, 23.6925387 38.0183622, 23.6922891 38.017973, 23.6921896 38.0178006, 23.691939 38.0173536, 23.6917195 38.0169569)",700,3611
3634,5720751192,secondary_link,2.0,30.397000000000006,60,True,602182956,5720751196,"LINESTRING (23.6917195 38.0169569, 23.6916393 38.0169253, 23.6915748 38.0169133, 23.6915394 38.0169188, 23.6915091 38.016931, 23.691422 38.0169971)",700,3612
3635,5720751192,secondary,2.0,41.150999999999996,60,True,"[602182958, 671194903]",564046150,"LINESTRING (23.6917195 38.0169569, 23.6916627 38.0168706, 23.6916578 38.0168626, 23.69161 38.0167751, 23.6915309 38.0166183)",700,3613
3636,3335057121,primary,2.0,21.784,60,True,32078390,1292532136,"LINESTRING (23.604287 38.0106541, 23.6042836 38.0107061, 23.6042756 38.0108498)",900,3614
3637,3338522194,primary,2.0,59.057,70,True,327132039,7821866254,"LINESTRING (23.7445202 37.9132193, 23.7445696 37.9128197, 23.7445856 37.9126907)",900,3615
3638,7821866254,primary,3.0,109.447,70,True,"[463652967, 327132039]",36438216,"LINESTRING (23.7445856 37.9126907, 23.7446106 37.912488, 23.7446558 37.9121507, 23.7446891 37.9119015, 23.7446944 37.9118625, 23.7447146 37.9117117)",900,3616
3639,7821866254,primary_link,2.0,18.424,60,True,838059188,2337910472,"LINESTRING (23.7445856 37.9126907, 23.7444938 37.912618, 23.7444374 37.9125733)",900,3617
3640,7961788476,secondary,2.0,10.03,30,True,929546370,984771776,"LINESTRING (23.8545148 38.0529833, 23.8546246 38.0529576)",700,3618
