,osmid,y,x,street_cou,lon,lat,ref,highway,geometry
826,806237286,45.6244541,-73.8440932,3,-73.8440932,45.6244541,,,POINT (-73.8440932 45.6244541)
827,1113097562,45.6293379,-73.8342907,3,-73.8342907,45.6293379,,,POINT (-73.8342907 45.6293379)
828,194165818,45.6298708,-73.8308124,3,-73.8308124,45.6298708,,,POINT (-73.8308124 45.6298708)
829,568376590,45.6301575,-73.8289893,3,-73.8289893,45.6301575,22,motorway_junction,POINT (-73.8289893 45.6301575)
830,194165868,45.655191,-73.799167,3,-73.799167,45.655191,,,POINT (-73.799167 45.655191)
831,255469001,45.6615622,-73.7867501,3,-73.7867501,45.6615622,26,motorway_junction,POINT (-73.78675010000001 45.6615622)
832,194165887,45.6680477,-73.7736825,3,-73.7736825,45.6680477,28,motorway_junction,POINT (-73.77368250000001 45.6680477)
833,568195058,45.6699722,-73.7693517,3,-73.7693517,45.6699722,,motorway_junction,POINT (-73.7693517 45.6699722)
834,194165898,45.6808635,-73.7608476,3,-73.7608476,45.6808635,,,POINT (-73.76084760000001 45.6808635)
835,3865883489,45.6937494,-73.7493256,3,-73.7493256,45.6937494,32,motorway_junction,POINT (-73.74932560000001 45.6937494)
836,194611884,45.5420315,-73.6428431,3,-73.6428431,45.5420315,,,POINT (-73.64284309999999 45.5420315)
837,3243349266,45.5413645,-73.642089,4,-73.642089,45.5413645,,traffic_signals,POINT (-73.642089 45.5413645)
838,194611911,45.5412304,-73.6421746,4,-73.6421746,45.5412304,,traffic_signals,POINT (-73.6421746 45.5412304)
839,4488305197,45.5410052,-73.642324,3,-73.642324,45.5410052,,,POINT (-73.642324 45.5410052)
840,437749044,45.5411094,-73.6416949,4,-73.6416949,45.5411094,,traffic_signals,POINT (-73.6416949 45.5411094)
841,194615667,45.5118925,-73.6601795,3,-73.6601795,45.5118925,68,motorway_junction,POINT (-73.6601795 45.5118925)
842,217741356,45.5157656,-73.6575025,3,-73.6575025,45.5157656,,,POINT (-73.65750250000001 45.5157656)
843,194615718,45.5223278,-73.6534272,3,-73.6534272,45.5223278,70,motorway_junction,POINT (-73.6534272 45.5223278)
844,215220935,45.5277982,-73.6537992,2,-73.6537992,45.5277982,,,POINT (-73.65379919999999 45.5277982)
845,2063153795,45.5247406,-73.6522023,3,-73.6522023,45.5247406,71,motorway_junction,POINT (-73.6522023 45.5247406)
846,194615775,45.5295773,-73.6605957,3,-73.6605957,45.5295773,,,POINT (-73.6605957 45.5295773)
847,194615794,45.5304445,-73.663579,3,-73.663579,45.5304445,2,motorway_junction,POINT (-73.663579 45.5304445)
848,246282782,45.5314575,-73.6665604,3,-73.6665604,45.5314575,,,POINT (-73.66656039999999 45.5314575)
849,4353918124,45.5327231,-73.6741885,3,-73.6741885,45.5327231,,,POINT (-73.6741885 45.5327231)
850,194633703,45.5923569,-73.8688431,3,-73.8688431,45.5923569,,,POINT (-73.86884310000001 45.5923569)
851,1766493422,45.5857322,-73.8743221,3,-73.8743221,45.5857322,14,motorway_junction,POINT (-73.8743221 45.5857322)
852,194668299,45.6119514,-73.8535493,3,-73.8535493,45.6119514,,,POINT (-73.8535493 45.6119514)
853,194668302,45.6087334,-73.8556538,3,-73.8556538,45.6087334,16,motorway_junction,POINT (-73.8556538 45.6087334)
854,194700812,45.6613311,-73.7875972,3,-73.7875972,45.6613311,,,POINT (-73.78759719999999 45.6613311)
855,194700826,45.6542312,-73.8001121,3,-73.8001121,45.6542312,24,motorway_junction,POINT (-73.80011210000001 45.6542312)
856,2277417040,45.6528083,-73.8026258,1,-73.8026258,45.6528083,,,POINT (-73.8026258 45.6528083)
857,568190466,45.6505241,-73.8024198,3,-73.8024198,45.6505241,,,POINT (-73.8024198 45.6505241)
858,195164191,45.5910892,-73.8453019,3,-73.8453019,45.5910892,,,POINT (-73.8453019 45.5910892)
859,2462903677,45.5910229,-73.8453883,3,-73.8453883,45.5910229,,,POINT (-73.8453883 45.5910229)
860,8772092877,45.5938003,-73.8516449,4,-73.8516449,45.5938003,22,motorway_junction,POINT (-73.8516449 45.5938003)
861,254216044,45.6144902,-73.8212529,3,-73.8212529,45.6144902,,,POINT (-73.8212529 45.6144902)
862,195174054,45.5893655,-73.8495199,3,-73.8495199,45.5893655,,,POINT (-73.8495199 45.5893655)
863,195174055,45.5884864,-73.850736,1,-73.850736,45.5884864,,,POINT (-73.850736 45.5884864)
864,195175177,45.588574,-73.8508573,1,-73.8508573,45.588574,,,POINT (-73.8508573 45.588574)
865,195184652,45.5795874,-73.8788073,1,-73.8788073,45.5795874,,,POINT (-73.87880730000001 45.5795874)
866,196485484,45.560241,-73.8872901,4,-73.8872901,45.560241,,traffic_signals,POINT (-73.8872901 45.560241)
867,274382048,45.5601362,-73.8873429,4,-73.8873429,45.5601362,,traffic_signals,POINT (-73.88734289999999 45.5601362)
868,4349812124,45.5605244,-73.8877983,3,-73.8877983,45.5605244,,,POINT (-73.8877983 45.5605244)
869,4349812126,45.560841,-73.8870114,3,-73.8870114,45.560841,,,POINT (-73.88701140000001 45.560841)
870,199377559,45.6593473,-73.8581718,2,-73.8581718,45.6593473,,,POINT (-73.85817179999999 45.6593473)
871,593565159,45.6661647,-73.8686549,3,-73.8686549,45.6661647,,,POINT (-73.8686549 45.6661647)
872,4683401834,45.6584417,-73.8567517,2,-73.8567517,45.6584417,,,POINT (-73.8567517 45.6584417)
873,207249223,45.4644687,-73.562955,3,-73.562955,45.4644687,,,POINT (-73.562955 45.4644687)
874,248413588,45.464471,-73.56283,3,-73.56283,45.464471,,,POINT (-73.56283000000001 45.464471)
875,4333592488,45.4634395,-73.5627069,3,-73.5627069,45.4634395,,,POINT (-73.56270689999999 45.4634395)
876,207249241,45.4662342,-73.5624442,3,-73.5624442,45.4662342,,,POINT (-73.5624442 45.4662342)
877,248413592,45.4662321,-73.5623264,3,-73.5623264,45.4662321,,,POINT (-73.5623264 45.4662321)
878,208721777,45.5018856,-73.5627543,3,-73.5627543,45.5018856,,,POINT (-73.56275429999999 45.5018856)
879,393143024,45.506743,-73.5585712,3,-73.5585712,45.506743,6,motorway_junction,POINT (-73.5585712 45.506743)
880,208721780,45.5019688,-73.5629606,3,-73.5629606,45.5019688,5,motorway_junction,POINT (-73.5629606 45.5019688)
881,208735409,45.498858,-73.5627236,3,-73.5627236,45.498858,,,POINT (-73.5627236 45.498858)
882,1329114156,45.493385,-73.5715745,3,-73.5715745,45.493385,4,motorway_junction,POINT (-73.5715745 45.493385)
883,4281069770,45.4969344,-73.5591756,3,-73.5591756,45.4969344,,traffic_signals,POINT (-73.5591756 45.4969344)
884,3459759120,45.495935,-73.5627112,4,-73.5627112,45.495935,,,POINT (-73.5627112 45.495935)
885,208743980,45.4968972,-73.5628148,3,-73.5628148,45.4968972,,,POINT (-73.5628148 45.4968972)
886,208798724,45.4940789,-73.5703507,3,-73.5703507,45.4940789,,,POINT (-73.57035070000001 45.4940789)
887,208798731,45.4936251,-73.5714336,3,-73.5714336,45.4936251,,,POINT (-73.57143360000001 45.4936251)
888,1178620989,45.5280688,-73.5573761,5,-73.5573761,45.5280688,,,POINT (-73.5573761 45.5280688)
889,4515093894,45.5053258,-73.6420488,4,-73.6420488,45.5053258,,,POINT (-73.6420488 45.5053258)
890,224547073,45.4893329,-73.6423748,4,-73.6423748,45.4893329,256,,POINT (-73.6423748 45.4893329)
891,224554453,45.4941409,-73.651907,3,-73.651907,45.4941409,,,POINT (-73.65190699999999 45.4941409)
892,209508183,45.5243002,-73.5560628,3,-73.5560628,45.5243002,,,POINT (-73.55606280000001 45.5243002)
