,gridID_lat,gridID_lon,inner_grid,inner_gr_1,lanelength,fishnetID,osmid,y,x,street_cou,lon,lat,ref,highway,lanecapaci,geometry
161,3,3,None,None,21840.717000000004,45,581376954,45.5390395,-73.7338382,3,-73.7338382,45.5390395,,traffic_signals,6300.0,POINT (-73.73383819999999 45.5390395)
162,3,4,0,0,18769.303,46,4344195541,45.5234273,-73.7049103,3,-73.7049103,45.5234273,,,18900.0,POINT (-73.70491029999999 45.5234273)
163,3,4,0,0,18769.303,46,4500104035,45.5224358,-73.7081256,3,-73.7081256,45.5224358,,,4500.0,POINT (-73.7081256 45.5224358)
164,3,4,0,0,18769.303,46,4331950930,45.5145858,-73.6951069,3,-73.6951069,45.5145858,,,9000.0,POINT (-73.6951069 45.5145858)
165,3,4,0,0,18769.303,46,4494301471,45.5255384,-73.7128231,3,-73.7128231,45.5255384,,,7200.0,POINT (-73.71282309999999 45.5255384)
166,3,4,0,1,10375.711000000001,47,658977071,45.5100495,-73.6878772,4,-73.6878772,45.5100495,,,9600.0,POINT (-73.6878772 45.5100495)
167,3,4,0,1,10375.711000000001,47,3705958573,45.5157453,-73.6804796,3,-73.6804796,45.5157453,,traffic_signals,4900.0,POINT (-73.6804796 45.5157453)
168,3,4,0,1,10375.711000000001,47,581020614,45.5103434,-73.6885946,3,-73.6885946,45.5103434,,,4500.0,POINT (-73.6885946 45.5103434)
169,3,4,1,0,20791.269,48,122828952,45.5373487,-73.7060638,3,-73.7060638,45.5373487,4-O,motorway_junction,18000.0,POINT (-73.7060638 45.5373487)
170,3,4,1,0,20791.269,48,246100002,45.5282825,-73.6927648,3,-73.6927648,45.5282825,,traffic_signals,17100.0,POINT (-73.69276480000001 45.5282825)
171,3,4,1,0,20791.269,48,246279619,45.5270456,-73.6969453,2,-73.6969453,45.5270456,,,16200.0,POINT (-73.6969453 45.5270456)
172,3,4,1,0,20791.269,48,122828953,45.5365914,-73.7030922,3,-73.7030922,45.5365914,4-E,motorway_junction,18000.0,POINT (-73.7030922 45.5365914)
173,3,4,1,1,33671.945,49,401364819,45.5300944,-73.6869187,3,-73.6869187,45.5300944,3,motorway_junction,18000.0,POINT (-73.68691870000001 45.5300944)
174,3,4,1,1,33671.945,49,246100008,45.5305532,-73.6831714,3,-73.6831714,45.5305532,,,8300.0,POINT (-73.68317140000001 45.5305532)
175,3,4,1,1,33671.945,49,246282762,45.5290325,-73.6686928,3,-73.6686928,45.5290325,,,4900.0,POINT (-73.6686928 45.5290325)
176,3,4,1,1,33671.945,49,420378319,45.5347728,-73.6817891,3,-73.6817891,45.5347728,,,5100.0,POINT (-73.6817891 45.5347728)
177,3,5,None,None,78611.68500000001,50,2122153806,45.5306025,-73.6488988,3,-73.6488988,45.5306025,70,motorway_junction,18000.0,POINT (-73.6488988 45.5306025)
178,3,5,None,None,78611.68500000001,50,1420177057,45.5325343,-73.6540751,3,-73.6540751,45.5325343,,,5600.0,POINT (-73.6540751 45.5325343)
179,3,5,None,None,78611.68500000001,50,215239838,45.5275897,-73.6379014,3,-73.6379014,45.5275897,,,6300.0,POINT (-73.6379014 45.5275897)
180,3,5,None,None,78611.68500000001,50,213955483,45.518127,-73.6294691,2,-73.6294691,45.518127,,traffic_signals,11200.0,POINT (-73.62946909999999 45.518127)
181,3,6,None,None,82199.324,51,438303087,45.5329214,-73.5745709,4,-73.5745709,45.5329214,,traffic_signals,16800.0,POINT (-73.5745709 45.5329214)
182,3,6,None,None,82199.324,51,5413741435,45.5158326,-73.5939909,2,-73.5939909,45.5158326,,,8400.0,POINT (-73.59399089999999 45.5158326)
183,3,6,None,None,82199.324,51,26232413,45.5239741,-73.5829023,4,-73.5829023,45.5239741,,traffic_signals,11200.0,POINT (-73.5829023 45.5239741)
184,3,6,None,None,82199.324,51,823567720,45.5291737,-73.5943715,2,-73.5943715,45.5291737,,,5600.0,POINT (-73.59437149999999 45.5291737)
185,3,7,0,0,9037.288,52,31776724,45.5169235,-73.5674816,4,-73.5674816,45.5169235,,traffic_signals,28600.0,POINT (-73.56748159999999 45.5169235)
186,3,7,0,0,9037.288,52,29794316,45.5112631,-73.5667781,4,-73.5667781,45.5112631,,traffic_signals,8400.0,POINT (-73.56677809999999 45.5112631)
187,3,7,0,0,9037.288,52,31776718,45.5111045,-73.5700462,4,-73.5700462,45.5111045,,traffic_signals,25100.0,POINT (-73.57004619999999 45.5111045)
188,3,7,0,0,9037.288,52,31631609,45.5159088,-73.5652511,4,-73.5652511,45.5159088,,traffic_signals,8400.0,POINT (-73.5652511 45.5159088)
189,3,7,0,1,11157.438,53,215694633,45.5181335,-73.5491077,3,-73.5491077,45.5181335,,,16000.0,POINT (-73.54910769999999 45.5181335)
190,3,7,0,1,11157.438,53,3994636212,45.5109983,-73.5544613,3,-73.5544613,45.5109983,,traffic_signals,7000.0,POINT (-73.5544613 45.5109983)
191,3,7,0,1,11157.438,53,215694739,45.5152402,-73.5515941,3,-73.5515941,45.5152402,,,6800.0,POINT (-73.5515941 45.5152402)
192,3,7,0,1,11157.438,53,619290067,45.5201544,-73.5471846,3,-73.5471846,45.5201544,,traffic_signals,4200.0,POINT (-73.54718459999999 45.5201544)
193,3,7,0,2,500.7460000000001,54,287945606,45.5194021,-73.5347673,4,-73.5347673,45.5194021,,,9000.0,POINT (-73.5347673 45.5194021)
194,3,7,0,2,500.7460000000001,54,4526168084,45.5191565,-73.534619,1,-73.534619,45.5191565,,,1800.0,POINT (-73.53461900000001 45.5191565)
195,3,7,0,2,500.7460000000001,54,287945633,45.5191557,-73.5344034,1,-73.5344034,45.5191557,,,1800.0,POINT (-73.5344034 45.5191557)
196,3,7,1,0,13788.441999999997,55,208863157,45.5279407,-73.5639033,4,-73.5639033,45.5279407,,traffic_signals,27300.0,POINT (-73.56390330000001 45.5279407)
197,3,7,1,0,13788.441999999997,55,159117733,45.5307624,-73.5630515,4,-73.5630515,45.5307624,,traffic_signals,24800.0,POINT (-73.5630515 45.5307624)
198,3,7,1,0,13788.441999999997,55,438303032,45.5305503,-73.5695065,4,-73.5695065,45.5305503,,traffic_signals,13300.0,POINT (-73.5695065 45.5305503)
199,3,7,1,0,13788.441999999997,55,208908825,45.5258805,-73.5594376,4,-73.5594376,45.5258805,,traffic_signals,12800.0,POINT (-73.5594376 45.5258805)
200,3,7,1,1,17175.647000000004,56,30914729,45.5308996,-73.5434837,3,-73.5434837,45.5308996,,,14400.0,POINT (-73.5434837 45.5308996)
201,3,7,1,1,17175.647000000004,56,209508253,45.5256865,-73.554461,3,-73.554461,45.5256865,,,14400.0,POINT (-73.554461 45.5256865)
202,3,7,1,1,17175.647000000004,56,1104523939,45.5239908,-73.5486303,3,-73.5486303,45.5239908,,,5600.0,POINT (-73.5486303 45.5239908)
203,3,7,1,1,17175.647000000004,56,1272527122,45.5210745,-73.5500018,3,-73.5500018,45.5210745,,,4900.0,POINT (-73.5500018 45.5210745)
204,3,7,2,0,16451.736,58,209493277,45.5359293,-73.5613724,4,-73.5613724,45.5359293,,traffic_signals,27200.0,POINT (-73.5613724 45.5359293)
205,3,7,2,0,16451.736,58,209493254,45.5373908,-73.5630193,4,-73.5630193,45.5373908,,traffic_signals,11200.0,POINT (-73.56301929999999 45.5373908)
206,3,7,2,0,16451.736,58,209493338,45.5393863,-73.5684807,3,-73.5684807,45.5393863,,traffic_signals,5600.0,POINT (-73.56848069999999 45.5393863)
207,3,7,2,0,16451.736,58,1448487585,45.5329764,-73.5677764,2,-73.5677764,45.5329764,,,8400.0,POINT (-73.5677764 45.5329764)
208,3,7,2,1,4086.5139999999997,59,209493393,45.5324412,-73.5531552,4,-73.5531552,45.5324412,,traffic_signals,11200.0,POINT (-73.55315520000001 45.5324412)
209,3,7,2,1,4086.5139999999997,59,209507995,45.5376415,-73.5494861,2,-73.5494861,45.5376415,,,4200.0,POINT (-73.5494861 45.5376415)
210,3,7,2,1,4086.5139999999997,59,209507991,45.5396113,-73.5483239,2,-73.5483239,45.5396113,,,4200.0,POINT (-73.5483239 45.5396113)
211,3,7,2,2,3074.184,60,5409969554,45.53535,-73.5419682,2,-73.5419682,45.53535,,,10800.0,POINT (-73.5419682 45.53535)
212,3,7,2,2,3074.184,60,218344161,45.5411491,-73.5399288,2,-73.5399288,45.5411491,,traffic_signals,4200.0,POINT (-73.5399288 45.5411491)
213,3,7,2,2,3074.184,60,5409969553,45.5372325,-73.5409811,2,-73.5409811,45.5372325,,,10800.0,POINT (-73.5409811 45.5372325)
214,3,8,None,None,57860.558999999994,61,31140938,45.5337492,-73.5189361,3,-73.5189361,45.5337492,,,20000.0,POINT (-73.5189361 45.5337492)
