,from,highway,lanes,length,maxspeed,name,oneway,osmid,to,geometry,capacity
1239,308473193,primary,1.0,80.405,50,亞皆老街 Argyle Street,1,66348958,308473195,"LINESTRING (114.1699204 22.3197128, 114.1699513 22.3196459, 114.169968 22.3195821, 114.1699765 22.3195488, 114.1700029 22.3195235, 114.1700353 22.3195081, 114.1700714 22.319502, 114.1700998 22.319507, 114.1705471 22.3195842)",900
1240,308473195,primary,3.0,56.167,50,亞皆老街 Argyle Street,1,99517977,992815755,"LINESTRING (114.1705471 22.3195842, 114.1710812 22.3196892)",900
1241,1168183674,residential,3.0,101.42399999999999,50,通菜街 Tung Choi Street,1,435421064,308473195,"LINESTRING (114.1703375 22.3204703, 114.1705088 22.3196604, 114.1705254 22.3196032, 114.1705471 22.3195842)",400
1242,308473419,primary,3.0,90.025,50,彌敦道 Nathan Road,1,311890780,1636685663,"LINESTRING (114.1702382 22.3153655, 114.1703266 22.3149368, 114.1703381 22.3148881, 114.1703771 22.3146839, 114.1703837 22.314647, 114.1703989 22.3145697)",900
1243,308473422,primary,3.0,241.73900000000003,50,彌敦道 Nathan Road,1,856179157,308473419,"LINESTRING (114.1697992 22.3175012, 114.1699583 22.3167361, 114.1699922 22.3165508, 114.1702065 22.3155256, 114.170218 22.3154679, 114.1702382 22.3153655)",900
1244,3230274634,residential,1.0,58.584,50,登打士街 Dundas Street,1,102640443,308473419,"LINESTRING (114.1707976 22.3154642, 114.1706951 22.3154463, 114.1705646 22.3154221, 114.1703994 22.315395, 114.1703634 22.3153882, 114.1702382 22.3153655)",400
1245,308473420,residential,1.0,67.214,50,碧街 Pitt Street,1,99517936,6834003674,"LINESTRING (114.1705303 22.3139011, 114.1708701 22.3139553, 114.1708944 22.3139592, 114.1711738 22.3140059)",400
1246,308473420,primary,3.0,95.80199999999999,50,彌敦道 Nathan Road,1,311890780,1151084876,"LINESTRING (114.1705303 22.3139011, 114.1706529 22.3132964, 114.1706593 22.3132649, 114.1707014 22.3130542)",900
1247,1636685663,primary,3.0,75.564,50,彌敦道 Nathan Road,1,311890780,308473420,"LINESTRING (114.1703989 22.3145697, 114.1704656 22.3142318, 114.1705303 22.3139011)",900
1248,308473424,primary,3.0,204.936,50,彌敦道 Nathan Road,1,"[106436298, 856179157]",308473422,"LINESTRING (114.1694289 22.3193121, 114.1694481 22.3192156, 114.1694588 22.3191658, 114.1694827 22.3190567, 114.1695384 22.3187817, 114.169628 22.3183452, 114.1696604 22.3181872, 114.1697866 22.3175638, 114.1697992 22.3175012)",900
1249,308473424,primary,3.0,11.402,50,亞皆老街 Argyle Street,1,856179158,1151084860,"LINESTRING (114.1694289 22.3193121, 114.16932 22.319293)",900
1250,804107264,primary,4.0,57.214,50,亞皆老街 Argyle Street,1,"[101183532, 856316230, 246482271]",308473424,"LINESTRING (114.1699774 22.3193945, 114.1699279 22.3193926, 114.1698853 22.3193887, 114.1696924 22.3193569, 114.1695809 22.3193386, 114.1695358 22.3193307, 114.1694289 22.3193121)",900
1251,1168183695,primary,3.0,107.56400000000001,50,彌敦道 Nathan Road,1,"[311890778, 783793797]",308473424,"LINESTRING (114.1692279 22.3202612, 114.1692679 22.3200747, 114.1693168 22.3198469, 114.169389 22.3194982, 114.1693982 22.3194538, 114.1694087 22.3193864, 114.1694289 22.3193121)",900
1252,308473426,residential,1.0,108.053,50,西洋菜南街 Sai Yeung Choi Street South,1,"[332099781, 332099782]",804107264,"LINESTRING (114.1701722 22.3184397, 114.1700482 22.3190765, 114.1700098 22.3192506, 114.1700053 22.3192726, 114.169999 22.3193019, 114.1699774 22.3193945)",400
1253,308473427,residential,1.0,58.506,50,奶路臣街 Nelson Street,1,102640449,308473426,"LINESTRING (114.1707291 22.3185465, 114.1706515 22.3185307, 114.1702925 22.3184607, 114.1701722 22.3184397)",400
1254,804107241,residential,1.0,106.00199999999998,50,花園街 Fa Yuen Street,1,101183519,308473429,"LINESTRING (114.171086 22.3195896, 114.1711472 22.3193242, 114.1712718 22.3187172, 114.1712775 22.3186867, 114.1712844 22.3186542)",400
1255,308473546,residential,1.0,130.478,50,花園街 Fa Yuen Street,1,30151018,332251378,"LINESTRING (114.1705249 22.3223205, 114.1707379 22.3212848, 114.1707548 22.3212303, 114.1707724 22.3212041, 114.1707941 22.3211797)",400
1256,308473546,residential,2.0,266.889,50,"['水渠道 Nullah Road', '花園街 Fa Yuen Street']",1,"[102149745, 101183510]",1178971336,"LINESTRING (114.1705249 22.3223205, 114.1701549 22.3240742, 114.170042 22.3240503, 114.1696582 22.3236894)",400
1257,1651827847,residential,2.0,127.755,50,炮仗街 Pau Chung Street,0,449337020,308474543,"LINESTRING (114.1895436 22.320778, 114.1900304 22.321835)",400
1258,1651827889,residential,1.0,110.732,50,炮仗街 Pau Chung Street,1,85320824,308474543,"LINESTRING (114.190481 22.3227394, 114.1900304 22.321835)",400
1259,308475224,residential,2.0,117.096,50,福華街 Fuk Wa Street,1,103411701,5116241584,"LINESTRING (114.1614536 22.3322118, 114.1622129 22.3316421, 114.1622581 22.3316063, 114.1622984 22.3315895, 114.162355 22.3315962)",400
1260,308475224,secondary,4.0,63.373000000000005,50,欽州街 Yen Chow Street,1,494500001,1191992818,"LINESTRING (114.1614536 22.3322118, 114.1611751 22.3318996, 114.1611452 22.3318611, 114.1610656 22.3317692)",700
1261,660864276,secondary,4.0,63.742000000000004,50,欽州街 Yen Chow Street,1,494500001,308475224,"LINESTRING (114.1618473 22.3326545, 114.1615423 22.3323124, 114.1614536 22.3322118)",700
1262,308475227,residential,2.0,115.317,50,福榮街 Fuk Wing Street,1,103372415,420027780,"LINESTRING (114.1627185 22.3319894, 114.1635771 22.3313225)",400
1263,308475227,residential,2.0,65.577,50,桂林街 Kweilin Street,1,658136843,308475679,"LINESTRING (114.1627185 22.3319894, 114.1631195 22.3324479)",400
1264,660864276,residential,2.0,116.185,50,福榮街 Fuk Wing Street,1,103372415,308475227,"LINESTRING (114.1618473 22.3326545, 114.1627185 22.3319894)",400
1265,5116241584,residential,2.0,57.528,50,桂林街 Kweilin Street,1,658136843,308475227,"LINESTRING (114.162355 22.3315962, 114.1627185 22.3319894)",400
