fishnetid,CO2,fishnetid,CO2psqkm
313,50604682.59460737,239,32612.284517694196
315,49045954.001485296,241,31607.75889361333
317,67642367.13417189,243,43592.252916630634
319,68186116.76432244,245,43942.67340611219
32,14610434.547823425,247,9415.722497813707
321,27405443.978100646,249,17661.49080525582
323,723454.4646672832,251,466.23161390680866
324,16654051.661890434,253,10732.735456932327
326,14990340.619012078,255,9660.553692247955
328,2240257.476461217,257,1443.7382168864815
330,23359989.06289476,259,15054.389645169544
332,16935716.766360853,261,10914.25507240511
334,36625906.3510209,263,23603.635422568626
336,52255661.438041285,265,33676.260992086674
338,22732946.331516564,267,14650.290757240997
339,17061643.57606079,269,10995.408845846177
34,2815574.7748584934,271,1814.5025505665933
341,16595900.523437295,273,10695.259844498318
343,31488795.15308097,275,20293.0142824589
345,12432136.604853254,277,8011.91422082984
347,11689204.810149541,279,7533.130404315979
349,24499141.36468616,282,15788.51852554644
353,36422458.06241692,284,23472.522783729586
357,25838780.829571903,286,16651.851741762308
359,4364372.723117295,288,2812.628351565483
36,4298890.652149924,290,2770.428305646742
361,46896178.16497948,292,30222.33174271044
363,26786068.072425295,294,17262.332817820057
365,11276197.921405254,296,7266.967324677738
367,21034256.076012608,298,13555.566572055946
369,41757642.7394135,300,26910.7927563822
371,33591613.413017936,302,21648.17953330023
373,21728393.608638994,304,14002.904833018269
375,14188507.15404697,307,9143.810581640295
376,42097146.61331132,309,27129.586677472715
378,23395664.985273816,311,15077.381061603817
38,22783981.271939784,313,14683.180322239534
380,37137303.81948446,315,23933.206499553096
382,25599045.975195527,317,16497.354156185836
385,18186994.571124647,319,11720.643447697108
387,16080068.750527725,321,10362.831071529663
389,2014069.8555965794,323,1297.971171865949
390,24389811.931514032,324,15718.060963163713
392,33104545.45916498,326,21334.287658555095
395,55396959.30125828,328,35700.676410136824
397,20496641.96158794,330,13209.100127422742
399,33227945.77013376,332,21413.813225055033
4,85661372.94714661,334,55204.6356877329
40,605225.4232749309,336,390.0386819793487
401,32973845.12799489,338,21250.05758006963
403,16670608.831324935,339,10743.405756452457
405,6775210.833690962,341,4366.297584469773
406,61080095.11841737,343,39363.184160786
408,29124472.435391687,345,18769.3219834947
410,33387588.277228896,347,21516.69514418912
412,12081822.20619163,349,7786.153436372014
415,3633821.589811112,353,2341.8232759766074
417,17483545.1036352,357,11267.304092496192
419,2439996.1380797527,359,1572.4601795172932
42,12710338.306511175,361,8191.201839733741
44,5733333.367770315,363,3694.857658181229
48,24542939.4980537,365,15816.744316392094
50,51099295.54466535,367,32931.038779679155
52,80600050.81758371,369,51942.85695774247
54,91150401.32690264,371,58742.05052897089
56,44192752.42340728,373,28480.10385121476
58,7834579.2461353345,375,5049.009584710153
59,2987651.1198851448,376,1925.3974803447338
6,56065775.69683679,378,36131.696415882885
61,18004751.658545163,380,11603.196654008321
63,88072379.70620124,382,56758.41360647341
65,98052735.55980551,385,63190.27303128209
66,15256109.851591721,387,9831.82918266789
68,9365441.241468478,389,6035.576526530072
70,25218777.87094904,390,16252.289648854809
72,22530470.27189612,392,14519.80467323052
