fishnetID,osmid
172,130038886
174,2422239211
174,597710340
174,638868806
174,5569545653
174,440791063
176,287888429
176,879445509
176,1243376470
176,287888433
178,613525427
178,3791414997
178,310481917
178,2349516759
178,8913189397
180,331481278
180,287886452
180,6720431977
180,288954366
180,7595393810
182,7284923695
182,9082144583
183,210090303
183,331542352
183,8346218877
183,8386904323
185,11212261394
185,1242489938
185,983125023
185,6260803002
185,1872950956
187,590671017
187,3648427214
189,759760173
189,9852474785
189,1876507981
189,11178707911
191,3722613246
191,1987669666
191,1987669651
191,2346269692
193,925855408
193,925856075
193,1764584797
195,3696697997
195,2108484103
195,1497231385
195,1835605930
195,1433715847
197,2749132124
197,3724873786
197,7460701994
197,2749132289
199,2556775818
199,2556775800
199,2935675755
199,2556775782
199,2556775828
201,4043534518
201,4784964150
201,5016328899
201,8391239442
201,7949013002
203,3460895417
203,5016310352
203,2874047876
203,8365042306
205,1394639070
205,2738980056
205,2738980055
205,8361715502
205,2738980021
208,2320403720
208,4851709924
208,8203043067
208,224419174
208,3424257753
210,1679660542
210,4200910540
210,10885823735
210,3659111173
210,1663834791
212,6343862080
212,6853670169
212,2005962462
212,6360764931
212,600136724
214,6360765315
214,11034840437
214,1195743707
214,3660706262
214,8927608723
216,4885773736
216,597102505
216,1879357252
216,1580041368
216,8303049195
218,1966279286
218,925354868
218,11006998733
218,2032824798
218,2034515129
220,7266194044
220,10992010181
220,2259821759
220,1875756342
220,10997770653
222,2310898292
223,2194612696
223,3495159429
223,2194612939
223,7912690542
223,2194666885
225,2313008065
225,346123626
225,2803746075
225,1914183287
225,4001677652
227,2828812563
227,2828815007
227,2108519980
227,2108520042
229,6260445588
229,2753421654
229,1913155349
229,2753421611
229,2876398577
231,7157027204
231,2801237864
231,4328159446
231,4328159429
231,2801285964
233,2131953102
233,2720635550
233,2803851250
233,9338501519
233,9370872916
235,8187925417
235,2777348055
235,8187802406
235,6260445610
235,6604466736
237,6603785374
237,2074642942
237,6603805836
237,5016427175
237,6604403120
239,2712785238
239,5016392217
239,5016427168
239,5016392218
239,5016427160
241,8593185815
241,8626947918
241,2914590105
241,1541942595
241,2914588489
243,3478002414
243,8623246342
243,1765967761
243,7397309012
245,346126591
245,2096752458
245,2915617591
245,5016381958
245,4579350175
247,2779983516
247,7536234853
247,275615753
247,6604390102
247,3405260167
249,6604405420
249,6603880075
249,7661812332
249,6603967625
249,6603972687
251,339114853
251,4913765207
251,2322769421
253,798799229
253,1754181541
253,1646600548
253,1631771599
253,226511936
255,226752637
255,5079904470
255,4851913147
255,5079904488
255,7658424800
257,226726441
257,7341460150
257,2320535915
257,3035698596
257,1962256692
259,10879629932
259,1485614249
259,10276199336
259,10239081713
259,1912462269
261,2784071999
261,2320535966
261,258104226
261,2784071982
261,10744244449
263,1103243567
263,7542389380
263,1111399967
263,1103243740
263,4895785371
265,2711174775
265,9851463595
267,1646605963
267,1285927032
267,1430744801
267,3622911590
267,3591516158
269,1671954875
269,11045757323
269,9934589749
269,3512275563
271,303549311
271,1889478861
271,3391275472
271,3598290999
271,6267383056
273,1973433389
273,2818108347
273,1973433415
273,11117489121
273,1286712870
275,2768284614
275,3507559094
275,2065304145
275,3639071127
275,3624245479
277,6267405608
277,9977912368
279,2818156776
279,2818153298
279,2818108362
279,1780372318
279,2818232547
282,600136754
282,10766496047
282,10038756359
282,10038756363
282,600138150
284,638868910
284,6287235356
284,6287386517
284,3680946383
284,1001820181
286,2867278636
286,1995796925
286,6274771989
286,597103322
288,412354174
288,1889470576
288,1965165994
288,2491785671
288,1965352423
290,609599564
290,11254392474
290,457494234
290,457494575
290,457494270
292,1927114435
292,10543775296
292,10543775334
292,7562750686
292,4580772771
294,10543773470
294,2310900370
294,2313089160
294,8521961086
294,10543775209
296,3642213589
296,4328133970
296,8533331152
296,9166492295
296,2847609517
298,3708869868
298,2761158723
298,1912652436
298,2726904034
298,9433051758
300,2720468504
300,2322616561
300,2766479855
300,2322616544
300,4855909687
302,2779922537
302,7881973580
302,2779863826
302,8487111381
302,3632673106
304,1955299892
304,7801134723
304,7806620655
304,7800929468
304,4041252289
306,1798002282
307,7497809373
307,258095755
307,1816823922
307,1798644643
307,3461008303
309,8740262358
309,10766976927
309,8740409411
309,7294161146
309,6608828185
311,1348253429
311,1348251820
311,1230441414
311,1348248676
311,10794774989
313,903982277
313,11186117791
313,1185583790
313,1224623658
313,1184500753
315,654004825
315,1174151522
315,7037360279
315,290103278
317,8913090483
317,288935931
317,779191842
317,6538489750
317,2151504947
319,11037290862
319,739425753
319,311952066
319,311951987
319,2933449043
321,10543775398
321,1927018082
321,10543775373
321,9508365878
321,2313337362
323,10779979484
323,11027864393
324,2108605863
324,2844617437
324,227112255
326,1386077349
326,7935417100
326,7969023399
326,7969025126
326,2842392567
328,4856311445
328,3677348484
330,7530304650
330,3435255782
330,1430500631
330,8931254653
330,2310777364
332,11071715486
332,2310821921
332,4850685846
332,6242196775
332,6249982371
334,2622191701
334,1418951239
334,5697206335
334,2802967947
336,2622191672
336,1184142640
336,6219743183
336,4624115857
336,6219757024
338,429121695
338,1174453250
338,1416938147
339,814658376
339,1173004427
339,1691582977
341,814658364
341,8342211874
341,1615759873
341,1173009559
343,1176059361
343,5837039722
343,1531273969
343,1107455401
345,183102114
345,1178051724
345,1177162432
347,311728631
347,311728178
349,2705237911
349,4145981827
349,6292219469
351,391451424
352,224000192
353,3783322545
353,1884062537
353,5694054454
353,1585328559
353,7611674198
355,1176060872
356,1217575445
357,183089417
357,445306610
357,1405236912
357,1847906765
357,444741240
359,9100561857
359,444742425
359,445298024
359,1394637546
359,8882847809
361,779612719
361,1984113323
361,4792435137
361,279281197
361,312706249
363,221397588
363,224159678
363,221397611
363,6286964653
363,938088192
365,1217318631
365,1217318500
367,6266782804
367,7931154268
369,288420276
369,10773372365
369,4084899860
369,2325417999
369,1179015534
371,7986135912
371,8108987457
371,8158813707
371,8116747996
371,2108690298
373,7986083079
373,8051232444
373,7986063380
373,3672057105
373,8044984769
375,918870525
375,945255239
376,755833020
376,963522355
376,1803223493
376,1915091335
376,6311765100
378,7294217599
378,7294202800
378,7818277726
378,1853981050
378,6917019639
380,1185676166
380,1185653753
380,1185668160
380,779209732
382,1185671289
382,1185636629
382,1185639855
382,7104592707
384,1193162988
385,3256324044
385,7839183160
385,7850890844
385,7823482316
387,3256324012
387,3081368597
387,5838996812
387,3629261680
387,3926754822
389,1171505508
389,526001346
390,1187315939
390,5773620160
390,1197485909
390,1870107211
390,1197488036
392,3397541148
392,1184282478
392,1971655797
392,8715051460
392,1410838684
394,1217527451
395,274220765
395,2655768688
395,508593735
395,9738588030
395,1405288919
397,1059499071
397,1174790273
397,1174914376
397,6941740336
399,10801762107
399,1472381741
399,10801795539
399,1980778543
399,1107603977
401,220699667
401,355930070
401,220702311
401,220710925
401,880853245
403,1059497674
403,1768638073
403,2409682386
403,10718534898
403,1059498129
