gridID_lat,gridID_lon,inner_gridID_lat,inner_gridID_lon,KM
9,7,None,None,261337.34500000006
9,8,None,None,188349.815
9,10,None,None,114916.84899999997
9,11,None,None,503680.556
9,12,None,None,401026.976
10,0,None,None,129428.48299999993
10,1,0,0,106244.65999999999
10,1,0,1,29327.26500000001
10,1,1,0,198413.88700000005
10,1,1,1,209470.32400000002
10,2,0,1,47247.52999999997
10,2,1,0,229352.78499999995
10,2,1,1,147923.396
10,3,0,1,50600.803
10,3,0,2,466189.472
10,3,1,0,84416.45899999999
10,3,1,1,109144.08600000001
10,3,1,2,102962.343
10,3,2,0,97324.839
10,3,2,2,19805.132000000005
10,4,None,None,350903.735
10,5,None,None,256509.88699999996
10,6,None,None,254638.61100000003
10,7,None,None,24764.030000000002
10,9,None,None,42753.81000000003
10,10,None,None,65011.904
10,11,None,None,121868.79599999999
10,12,None,None,90553.14800000002
