,gridID_lat,gridID_lon,inner_grid_lat,inner_grid_lon,lat_min,lat_max,lon_min,lon_max,lane_capacity_total
85,0,4,2,0,38.484306454545454,38.60021728181818,44.846572975,44.99976753958333,2274800.0
86,0,4,0,1,38.2524848,38.368395627272726,44.99976753958333,45.15296210416667,0.0
87,0,4,1,1,38.368395627272726,38.484306454545454,44.99976753958333,45.15296210416667,0.0
88,0,4,2,1,38.484306454545454,38.60021728181818,44.99976753958333,45.15296210416667,120000.0
89,0,4,0,2,38.2524848,38.368395627272726,45.15296210416667,45.30615666875,0.0
90,0,4,1,2,38.368395627272726,38.484306454545454,45.15296210416667,45.30615666875,0.0
91,0,4,2,2,38.484306454545454,38.60021728181818,45.15296210416667,45.30615666875,0.0
92,1,4,None,None,38.60021728181818,38.94794976363636,44.846572975,45.30615666875,327200.0
93,2,4,None,None,38.94794976363636,39.29568224545454,44.846572975,45.30615666875,201000.0
94,3,4,None,None,39.29568224545454,39.64341472727273,44.846572975,45.30615666875,511000.0
95,4,4,None,None,39.64341472727273,39.99114720909091,44.846572975,45.30615666875,109200.0
96,5,4,None,None,39.99114720909091,40.33887969090909,44.846572975,45.30615666875,15800.0
97,6,4,None,None,40.33887969090909,40.68661217272727,44.846572975,45.30615666875,800800.0
98,7,4,None,None,40.68661217272727,41.03434465454546,44.846572975,45.30615666875,189200.0
99,8,4,None,None,41.03434465454546,41.38207713636364,44.846572975,45.30615666875,214200.0
100,9,4,0,0,41.38207713636364,41.49798796363637,44.846572975,44.99976753958333,0.0
101,9,4,1,0,41.49798796363637,41.61389879090909,44.846572975,44.99976753958333,897600.0
102,9,4,2,0,41.61389879090909,41.72980961818182,44.846572975,44.99976753958333,1779000.0
103,9,4,0,1,41.38207713636364,41.49798796363637,44.99976753958333,45.15296210416667,6200.0
104,9,4,1,1,41.49798796363637,41.61389879090909,44.99976753958333,45.15296210416667,74000.0
105,9,4,2,1,41.61389879090909,41.72980961818182,44.99976753958333,45.15296210416667,321800.0
106,9,4,0,2,41.38207713636364,41.49798796363637,45.15296210416667,45.30615666875,1400.0
107,9,4,1,2,41.49798796363637,41.61389879090909,45.15296210416667,45.30615666875,0.0
108,9,4,2,2,41.61389879090909,41.72980961818182,45.15296210416667,45.30615666875,43200.0
109,10,4,None,None,41.72980961818182,42.0775421,44.846572975,45.30615666875,283400.0
110,0,5,None,None,38.2524848,38.60021728181818,45.30615666875,45.7657403625,828400.0
111,1,5,0,0,38.60021728181818,38.77408352272727,45.30615666875,45.535948515624995,7000.0
112,1,5,1,0,38.77408352272727,38.94794976363636,45.30615666875,45.535948515624995,0.0
113,1,5,0,1,38.60021728181818,38.77408352272727,45.535948515624995,45.7657403625,47400.0
114,1,5,1,1,38.77408352272727,38.94794976363636,45.535948515624995,45.7657403625,1236400.0
115,2,5,0,0,38.94794976363636,39.12181600454545,45.30615666875,45.535948515624995,1400.0
116,2,5,1,0,39.12181600454545,39.29568224545454,45.30615666875,45.535948515624995,763000.0
117,2,5,0,1,38.94794976363636,39.12181600454545,45.535948515624995,45.7657403625,212000.0
118,2,5,1,1,39.12181600454545,39.29568224545454,45.535948515624995,45.7657403625,1400.0
119,3,5,None,None,39.29568224545454,39.64341472727273,45.30615666875,45.7657403625,9600.0
120,4,5,None,None,39.64341472727273,39.99114720909091,45.30615666875,45.7657403625,96000.0
121,5,5,None,None,39.99114720909091,40.33887969090909,45.30615666875,45.7657403625,115600.0
122,6,5,None,None,40.33887969090909,40.68661217272727,45.30615666875,45.7657403625,4200.0
123,7,5,None,None,40.68661217272727,41.03434465454546,45.30615666875,45.7657403625,560400.0
124,8,5,None,None,41.03434465454546,41.38207713636364,45.30615666875,45.7657403625,693400.0
125,9,5,None,None,41.38207713636364,41.72980961818182,45.30615666875,45.7657403625,129000.0
126,10,5,None,None,41.72980961818182,42.0775421,45.30615666875,45.7657403625,487800.0
127,0,6,None,None,38.2524848,38.60021728181818,45.7657403625,46.22532405625,858400.0
128,1,6,None,None,38.60021728181818,38.94794976363636,45.7657403625,46.22532405625,257800.0
129,2,6,None,None,38.94794976363636,39.29568224545454,45.7657403625,46.22532405625,0.0
