Origin,Destination,Demand,EstimatedTT,ObservedTT,FFTT
32,18,29.948063514128375,9.008379990635069,9.63005571065366,5.505555199999999
32,20,24.334965735860308,11.141961233247214,12.067557881599253,7.525509599999999
32,22,20.65835931320282,16.77994959046343,16.99431272081308,11.066859599999999
32,24,18.271178265893898,21.357621468188594,23.025443715455783,14.641810799999998
32,27,13.828377341336164,34.356515116816304,35.99900131924801,22.316203399999992
32,28,1.461133839859731,2.761561750512567,2.4888735790656895,2.6893524285714285
32,30,0.2368303003540421,0.4688679862654337,0.432894826687598,0.37116479999999996
32,34,21.081042345247646,0.24060576119276822,0.643151111111111,0.2154768
32,36,29.428130132210182,3.7409335687978587,3.916563521683798,2.3692379999999997
32,38,15.934083465930946,1.0920003510994356,2.492472800528484,1.0662044000000004
32,40,42.60563462637254,4.3457503783046025,5.419187428533221,2.9966424000000007
32,42,31.20409875693367,6.843665329627731,6.955139955634188,4.1193132
32,44,31.738878767636603,9.640209083250278,9.478538340282853,6.17322
32,46,1.461133839859731,5.462328196510144,6.5015138387573,3.5454839999999996
32,48,1.6719263396092852,8.888603508046,11.616289944295115,6.0739703999999985
32,50,27.249610217209774,13.13996335489816,14.276090746979678,8.042302799999998
32,52,24.200638575922873,18.490882138606104,20.346180737678004,11.979646799999998
32,56,0.8688470793977527,31.327161992937306,29.81695769244118,20.027510599999992
32,59,12.101911029818408,36.25122072809079,37.49982631924801,23.81702839999999
32,61,84.9650581019954,5.450505927945032,9.229629224820924,5.180994000000002
32,63,46.07315154646465,3.4754597750754836,7.508947829462181,3.3427596
32,65,52.57030605448617,4.187469802467661,8.390694174289768,4.0168691999999995
32,67,39.05418985133332,7.111740460783998,9.849316899127151,5.168384400000001
32,69,32.42070619586748,10.667367833312223,11.583227837151316,6.566192399999999
32,71,28.766072472238456,11.244692479401252,12.832050313189304,8.2658136
32,73,1.461133839859731,12.281001825066024,14.829266616048832,7.7392932
32,75,27.57029405386031,15.211699419517577,16.97279616540125,10.026283199999998
32,77,1.2812779233901848,18.88490055314932,20.96502444820568,12.108556799999997
32,80,15.610842937847261,28.582651830071175,27.376179265118775,17.775645799999992
32,82,0.8657577985337214,32.16959572709717,31.3460003665202,21.04849322857142
32,84,11.428760695875026,39.46649754115307,42.12559858531877,26.98001559999999
32,86,1.461133839859731,11.277766155403278,14.430841816708936,9.274266171428573
32,88,19.147015553175326,7.285489521651474,10.459425224820924,6.410790000000002
32,89,24.116632989120742,7.975773491847535,7.397090475458143,7.891252828571428
32,91,24.94478854174903,11.158499891782238,13.041879003764633,8.6532426
32,93,24.82143581924091,18.96124574207879,17.886428785220485,17.45790693626374
32,95,21.249369589244328,10.697991989705743,10.151057429020343,10.477171228571429
32,97,17.510441323153813,10.373808743343009,9.662753497680365,10.154934028571429
32,99,29.62614803040219,11.381512376247274,15.368517562394452,10.922492428571427
32,101,18.798500497498743,13.739748016736737,13.02696790335367,12.935473736263736
32,103,28.766072472238456,12.207375838024658,16.07488016239445,11.628855028571428
32,105,28.766072472238456,14.62650581576611,17.365601426784856,12.8031948
32,107,13.223337894453966,19.175058738314164,20.9452875670461,15.48979662857143
32,110,13.268664097588806,16.409238018039122,19.7365470447495,14.449875514285715
32,111,84.81512012883073,12.528933767627155,16.36345436239445,11.917429228571427
32,113,28.766072472238456,13.241483985410788,17.10798416239445,12.661959028571427
32,116,11.224507654582354,24.49186696050822,25.51834861194406,19.165288285714286
32,117,9.639537472244381,25.629803012224652,26.81442919606036,21.17415334285714
32,119,10.699893805277341,21.810265095224473,22.37812110467135,17.872027628571427
34,0,28.234645888872382,19.392730393399354,22.08068561619419,14.184335199999996
34,3,2.7900695265658713,10.995309670163085,8.857842005244379,6.2029964
34,4,46.495932570510114,10.031520104474373,9.902006656688577,7.181188628571429
34,6,26.130398059423076,20.843259228325763,21.64513171914674,14.21791874285714
34,8,34.14100253574708,17.10217340400802,19.60885809191841,12.098168799999995
34,10,27.38808646801112,19.051157794053463,22.994341498692073,13.138447599999997
34,12,20.122800423534382,26.407973886256055,39.330488147312494,18.8284092
34,14,42.976949578198045,6.673531741725686,7.90379113292142,6.398893199999999
34,16,2.897797554447494,4.771754179276267,3.1777295092783504,2.6519411999999996
34,18,61.9196185146679,7.556808195433934,6.721013388969862,4.143838399999999
34,20,40.66367406378679,9.69038943804608,9.158515559915458,6.163792799999999
34,22,1.461133839859731,15.3283777952623,14.085270399129284,9.705142799999999
34,24,25.318792276123055,19.90604967298746,20.116401393771984,13.280093999999998
34,27,0.8412954689913132,32.90494332161517,33.08995899756422,20.954486599999992
34,28,34.22546990425583,5.944633170459923,7.3488048279581815,5.838183571428572
34,30,22.53349502966674,3.4448572852725956,3.74846997144323,3.2945783999999994
34,32,0.36632519299293315,0.20419110364963006,0.1734521857923497,0.1523604
34,36,4.33961041378802,2.2893617735967258,1.0075211999999998,1.0075211999999998
34,38,127.3786625355902,0.9394722675677641,1.951739467195151,0.9198980000000001
34,40,1.461133839859731,2.9974764805070384,2.3989431946065425,1.4194079999999996
34,42,4.024642340919171,5.392093534426598,4.046097633950389,2.7575963999999993
34,44,59.303652223737586,8.188637288049145,6.569496018599057,4.8115032
34,46,3.986773416430107,4.010756401309012,3.592471517073503,2.1837671999999997
34,48,56.76630096751189,7.437031712844866,8.707247622611318,4.712253599999999
34,50,2.314129235293157,11.688391559697028,11.36704842529588,6.680585999999998
34,52,34.12574387165628,17.03931034340497,17.437138415994205,10.617929999999998
34,56,1.0813449502793326,29.875590197736173,26.907915370757387,18.665793799999992
34,59,0.7214551862638806,34.79964893288966,34.590783997564216,22.45531159999999
34,61,30.80294625185937,7.448407933380003,8.133630251772253,6.6194607
34,63,38.4138651140672,3.841851745395703,4.209695284899988,3.2215536000000005
34,65,2.6879199884110223,3.1287415697366834,2.882058654153858,2.4240407999999998
34,67,165.06395418890696,5.747024427362375,5.770248388391333,3.5316443999999994
34,69,2.8876669948017315,9.215796038111092,8.674185515467522,5.204475599999999
34,71,49.64105587672737,9.793120684200117,9.923007991505509,6.9040968000000005
34,73,48.45166055234339,10.829430029864893,11.920224294365038,6.3775764
34,75,81.09973198365704,13.760127624316445,14.06375384371745,8.664566399999998
34,77,1.8355024280485044,17.433328757948185,18.05598212652188,10.746839999999997
34,80,1.0498216415708412,27.131080034870042,24.467136943434983,16.413928999999992
34,82,19.935413316644816,30.718023931896035,28.43695804483641,19.68677642857142
34,84,0.6725212617951678,38.014925745951935,39.21655626363498,25.618298799999994
34,86,1.1371336940355183,12.99884695479791,13.315367957393889,10.206156171428573
34,88,1.461133839859731,9.006570321046107,9.343951365505877,7.34268
34,89,1.9795595425274302,6.855973448641698,6.689066147331971,4.9949022
34,91,42.548208813450096,9.706928096581102,10.132836682080836,7.2915258000000005
34,93,33.46517634514636,19.028281848637484,17.482709675139425,14.674657907692307
34,95,1.461133839859731,10.765028096264436,9.747338318939283,7.693922199999999
34,97,1.461133839859731,10.440844849901701,9.259034387599305,7.371684999999999
34,99,20.389863769379424,11.448548482805966,14.964798452313392,8.1392434
34,101,1.3038584951024115,13.80678412329543,12.62324879327261,10.152224707692307
34,103,18.85143041223594,12.27441194458335,15.671161052313392,8.845606
34,105,19.22697577825885,14.693541922324803,16.961882316703797,10.019945771428572
34,107,17.649669987850412,19.242094844872856,20.54156845696504,12.7065476
34,110,17.821106709012103,16.476274124597815,19.33282793466844,11.666626485714287
34,111,17.363651442894813,12.595969874185847,15.959735252313392,9.1341802
34,113,17.202124063045883,13.30852009196948,16.704265052313392,9.87871
34,116,12.700844685350681,24.55890306706691,25.114629501863,16.382039257142857
34,117,11.34433066125012,25.696839118783345,26.410710085979296,18.390904314285716
34,119,12.895470635299368,21.877301201783165,21.97440199459029,15.088778600000001
36,0,29.738580789635726,15.837875949803868,20.140835835374478,12.696139599999997
36,3,64.4108945683456,7.842080120353151,7.869196777447511,4.940412800000001
36,4,56.314469863258545,6.878290554664435,8.91336142889171,5.91860502857143
36,6,30.802551339097402,17.28840478473028,19.705281938327026,12.729723142857141
36,8,36.907752480141966,13.547318960412529,17.669008311098697,10.609973199999995
36,10,30.632249763835254,15.49238311248767,18.609033334900072,11.891012399999997
36,12,39.629360021002455,22.713113321214045,35.25267713438065,17.7374568
36,14,35.2428607912681,9.459280284535971,11.039302595520272,8.576661714285713
36,16,59.35401280431844,1.6185246294663298,2.1890842814814815,1.3893576
36,18,83.77878864227014,4.00195375183845,4.781163608150146,2.6556428
36,20,45.24556365340772,5.962110479440121,5.81994379388034,4.428669599999999
36,22,34.52049739364912,11.600098836656343,10.746698633094168,7.970019599999998
36,24,26.527740405299316,16.21118910794545,16.038590380840134,12.189141599999997
36,27,0.8901987213685957,30.055286435288906,30.456159812701273,20.086977799999993
36,28,27.570147334703705,8.697036264855432,10.150802143026674,7.988069971428571
36,30,1.3783378370882913,6.285338057329202,6.6528850642895,5.513635199999999
36,32,81.90192619040783,3.0446718757062365,3.0778672786386205,2.3714172
36,34,1.461133839859731,1.5613280166961703,1.0075212000000002,1.0075212
36,38,1.461133839859731,3.392221970312967,2.5539696000000003,2.5539696000000003
36,40,103.17565692266493,0.32768099376925,0.7232274622055572,0.1824059999999999
36,42,102.35915029251844,1.8372390908311131,2.1062478531306725,1.2694007999999999
36,44,3.9442045012589064,4.460358329443185,3.230924252563942,3.07638
36,46,1.461133839859731,1.322703609289401,0.9534564,0.9534563999999999
36,48,76.84799874022318,4.172372057991358,3.842250762704285,3.2333184
36,50,55.76094295868602,8.359310684733135,8.809100047580007,5.786107199999999
36,52,38.65494383934063,13.344449778362963,13.359327403062355,9.526977599999997
36,56,1.164178897396512,27.02593331140991,24.274116185894442,17.798284999999993
36,59,0.7567202295114462,31.9499920465634,31.956984812701272,21.58780279999999
36,61,30.717504771233244,9.009735950076172,9.141151451772254,7.6269819
36,63,2.154354920342378,5.403179762091872,5.217216484899989,4.2290748
36,65,2.7184839329999666,4.690069586432854,3.889579854153858,3.431562
36,67,112.64394880343397,3.077228940624587,4.0945326559903465,2.2946423999999994
36,69,65.19853306057915,6.546000551373304,6.998469783066536,3.967473599999999
36,71,55.399883184047845,9.058002791648656,8.366265251072923,5.1770315999999985
36,73,58.05275621150976,8.159634543127103,10.244508561964052,5.140574399999999
36,75,48.26081596287079,10.882003372778865,11.583970818405739,8.2390972
36,77,38.7872948347316,14.1542604084768,14.23346098784993,9.892474799999999
36,80,1.1268139610763674,24.28142314854378,21.83333775857204,15.546420199999995
36,82,21.449397106049382,27.868367045569773,25.803158859973465,18.819267628571424
36,84,13.847140417826463,35.16526885962567,36.58275707877203,24.75078999999999
36,86,20.98075983839886,14.56017497149408,14.32288915739389,11.213677371428572
36,88,1.2897233997883084,10.567898337742276,10.351472565505878,8.350201199999999
36,89,1.9867583333766101,8.41730146533787,7.69658734733197,6.0024234
36,91,47.09353488349551,11.268256113277275,11.140357882080837,8.299047
36,93,40.17613108249298,19.739094125433645,20.08247838454949,10.235273
36,95,1.461133839859731,12.326356112960607,10.754859518939282,8.701443399999999
36,97,1.3365782643137982,12.002172866597872,10.266555587599305,8.379206199999999
36,99,20.63557082376943,13.009876499502138,15.972319652313391,9.146764599999997
36,101,1.461133839859731,15.368112139991602,13.63076999327261,11.159745907692306
36,103,20.18723197376053,13.835739961279522,16.67868225231339,9.853127199999998
36,105,23.353651092700474,16.254869939020974,17.969403516703796,11.02746697142857
36,107,19.825025849649446,20.803422861569025,21.54908965696504,13.7140688
36,110,17.94750415016795,18.037602141293984,20.34034913466844,12.674147685714285
36,111,17.568563896370964,14.157297890882019,16.96725645231339,10.141701399999997
