,osmid,y,x,highway,street_cou,lon,lat,ref,geometry
844,342844852,-36.9154438,174.7921,,3,174.7921,-36.9154438,,POINT (174.7921 -36.9154438)
845,51231257,-36.8843438,174.9008323,,1,174.9008323,-36.8843438,,POINT (174.9008323 -36.8843438)
846,51251934,-36.8974028,174.896883,,3,174.896883,-36.8974028,,POINT (174.896883 -36.8974028)
847,51231982,-36.8896472,174.9087886,,3,174.9087886,-36.8896472,,POINT (174.9087886 -36.8896472)
848,51244333,-36.8889925,174.9090552,,4,174.9090552,-36.8889925,,POINT (174.9090552 -36.8889925)
849,309022655,-36.8896654,174.908923,,3,174.908923,-36.8896654,,POINT (174.908923 -36.8896654)
850,51231986,-36.8898273,174.9088724,,3,174.9088724,-36.8898273,,POINT (174.9088724 -36.8898273)
851,309022656,-36.8901094,174.9087409,,3,174.9087409,-36.8901094,,POINT (174.9087409 -36.8901094)
852,51231987,-36.8898062,174.9087585,,3,174.9087585,-36.8898062,,POINT (174.9087585 -36.8898062)
853,51239649,-36.8838266,174.9144852,,3,174.9144852,-36.8838266,,POINT (174.9144852 -36.8838266)
854,6225019263,-36.8837996,174.9145324,,3,174.9145324,-36.8837996,,POINT (174.9145324 -36.8837996)
855,6225019264,-36.8837046,174.9144079,,3,174.9144079,-36.8837046,,POINT (174.9144079 -36.8837046)
856,307613688,-36.8799112,174.9116068,,3,174.9116068,-36.8799112,,POINT (174.9116068 -36.8799112)
857,98342671,-36.8976502,174.8972289,,3,174.8972289,-36.8976502,,POINT (174.8972289 -36.8976502)
858,51256131,-36.8970275,174.9336944,,3,174.9336944,-36.8970275,,POINT (174.9336944 -36.8970275)
859,3374543276,-36.8969026,174.9336474,,3,174.9336474,-36.8969026,,POINT (174.9336474 -36.8969026)
860,53416241,-36.9984312,174.7873878,,3,174.7873878,-36.9984312,,POINT (174.7873878 -36.9984312)
861,679647741,-36.9984011,174.7876464,,3,174.7876464,-36.9984011,,POINT (174.7876464 -36.9984011)
862,6263586105,-36.9940832,174.7859963,,3,174.7859963,-36.9940832,,POINT (174.7859963 -36.9940832)
863,907786374,-37.0013697,174.8936794,,3,174.8936794,-37.0013697,,POINT (174.8936794 -37.0013697)
864,59735016,-36.8180187,174.6167333,,3,174.6167333,-36.8180187,,POINT (174.6167333 -36.8180187)
865,7113552541,-36.8181097,174.6156081,,3,174.6156081,-36.8181097,,POINT (174.6156081 -36.8181097)
866,5996755858,-36.8157124,174.6248824,,3,174.6248824,-36.8157124,,POINT (174.6248824 -36.8157124)
867,59735226,-36.7808779,174.6786716,,3,174.6786716,-36.7808779,,POINT (174.6786716 -36.7808779)
868,6197836970,-36.7812475,174.6783856,,3,174.6783856,-36.7812475,,POINT (174.6783856 -36.7812475)
869,5835087085,-36.7706899,174.6950089,,3,174.6950089,-36.7706899,,POINT (174.6950089 -36.7706899)
870,59815353,-36.7698365,174.7218367,traffic_signals,4,174.7218367,-36.7698365,,POINT (174.7218367 -36.7698365)
871,5712305633,-36.769876,174.7217164,traffic_signals,3,174.7217164,-36.769876,,POINT (174.7217164 -36.769876)
872,5116988041,-36.7700431,174.7219147,,3,174.7219147,-36.7700431,,POINT (174.7219147 -36.7700431)
873,59815355,-36.7711939,174.7216182,,2,174.7216182,-36.7711939,,POINT (174.7216182 -36.7711939)
874,6216244770,-36.7726165,174.7208521,,2,174.7208521,-36.7726165,,POINT (174.7208521 -36.7726165)
875,5712305634,-36.7703444,174.7218626,,3,174.7218626,-36.7703444,,POINT (174.7218626 -36.7703444)
876,59815368,-36.7651776,174.7187027,traffic_signals,3,174.7187027,-36.7651776,,POINT (174.7187027 -36.7651776)
877,5737613659,-36.7650444,174.719113,,4,174.719113,-36.7650444,,POINT (174.719113 -36.7650444)
878,6216244782,-36.7652207,174.7187577,traffic_signals,3,174.7187577,-36.7652207,,POINT (174.7187577 -36.7652207)
879,59815990,-36.7819913,174.7208671,traffic_signals,4,174.7208671,-36.7819913,,POINT (174.7208671 -36.7819913)
880,1608245309,-36.7820383,174.7209804,,3,174.7209804,-36.7820383,,POINT (174.7209804 -36.7820383)
881,5737582983,-36.7818677,174.7206713,,3,174.7206713,-36.7818677,,POINT (174.7206713 -36.7818677)
882,5737582980,-36.7817836,174.7209677,,3,174.7209677,-36.7817836,,POINT (174.7209677 -36.7817836)
883,59816000,-36.7921966,174.7239151,,3,174.7239151,-36.7921966,,POINT (174.7239151 -36.7921966)
884,59816001,-36.792485,174.7241879,,3,174.7241879,-36.792485,,POINT (174.7241879 -36.792485)
885,5712025750,-36.7886331,174.7211356,,3,174.7211356,-36.7886331,,POINT (174.7211356 -36.7886331)
886,300304176,-36.7925032,174.7242338,,3,174.7242338,-36.7925032,,POINT (174.7242338 -36.7925032)
887,59816009,-36.7928,174.7241813,,3,174.7241813,-36.7928,,POINT (174.7241813 -36.7928)
888,6191878518,-36.7926209,174.7241394,,3,174.7241394,-36.7926209,,POINT (174.7241394 -36.7926209)
889,5832483672,-36.7990637,174.7237661,,3,174.7237661,-36.7990637,,POINT (174.7237661 -36.7990637)
