,from,highway,lanes,length,maxspeed,name,oneway,osmid,to,capacity,geometry
6985,98376052,secondary,3,748.7979999999999,50,Killarney Street,0,"[895398441, 613090029, 613090030, 613090031, 613090032, 613081582, 613081585, 613081587, 613081589, 613081591, 613081593, 613086874]",3158833509,700,"LINESTRING (174.773659 -36.7826632, 174.7735694 -36.7827338, 174.7735056 -36.782784, 174.7731496 -36.7830646, 174.7730313 -36.7831578, 174.7728981 -36.7832627, 174.7727786 -36.783362, 174.7726562 -36.7834544, 174.7725812 -36.7835135, 174.7722102 -36.7838058, 174.7721992 -36.7838145, 174.7718973 -36.7840531, 174.771814 -36.78412, 174.7717277 -36.7841892, 174.771504 -36.7843483, 174.7712868 -36.7844817, 174.7711072 -36.7845837, 174.7708759 -36.784717, 174.7703091 -36.7850435, 174.7693597 -36.7855937, 174.7691776 -36.7856889, 174.7690544 -36.7857533, 174.7689821 -36.7857911, 174.7685066 -36.7860396, 174.7682743 -36.7861611, 174.7679585 -36.786333, 174.7672044 -36.786719, 174.7670577 -36.7867941)"
6986,98376052,secondary,3,347.98900000000003,50,Killarney Street,0,"[613081595, 613081597, 834213503]",6292617759,700,"LINESTRING (174.7637515 -36.7884616, 174.7644213 -36.7881186, 174.765684 -36.787458, 174.7660612 -36.7872755, 174.7665012 -36.7870625, 174.7668626 -36.7868876, 174.7670577 -36.7867941)"
6987,3313852138,secondary,3,652.788,50,Barrys Point Road,0,"[613081609, 613081612, 7991854, 612752263]",1663311888,700,"LINESTRING (174.7658239 -36.7961082, 174.7658086 -36.7960847, 174.7657251 -36.7959095, 174.7656368 -36.7957242, 174.7655905 -36.7955758, 174.7654383 -36.7950884, 174.7652523 -36.7943768, 174.765232 -36.7941622, 174.7652132 -36.7939633, 174.7651137 -36.7929766, 174.765098 -36.7927763, 174.7650297 -36.7919031, 174.7650242 -36.7918325, 174.7650009 -36.7916277, 174.7649997 -36.7914619, 174.7650618 -36.7911001, 174.7651541 -36.790415, 174.7651681 -36.7903164)"
6988,5744143901,secondary,5,592.4250000000002,50,Te Atatu Road,0,"[611677831, 611677832, 620981420, 620981421, 620981422, 35133783, 54658296]",59825745,700,"LINESTRING (174.6512022 -36.8497325, 174.6511886 -36.8498596, 174.6511761 -36.8500229, 174.6511563 -36.8502814, 174.6511438 -36.850444, 174.6511323 -36.8505942, 174.6511278 -36.8506527, 174.6511138 -36.8508362, 174.6511094 -36.8508934, 174.6510858 -36.8512016, 174.6510357 -36.8518559, 174.6510237 -36.8520124, 174.6510038 -36.8522717, 174.6509871 -36.8524898, 174.6509738 -36.8526628, 174.6509581 -36.8528138, 174.6509434 -36.8530833, 174.6509349 -36.8532378, 174.6509308 -36.8533913, 174.6509411 -36.8535301, 174.6509444 -36.8535646, 174.6509593 -36.853721, 174.6509623 -36.8537519, 174.6509833 -36.8538429, 174.651018 -36.8539936, 174.6511931 -36.8544562, 174.651343 -36.8548522, 174.6513575 -36.8548886, 174.6514037 -36.8550025)"
6989,59826002,primary,5,91.271,50,Lincoln Road,0,"[618366884, 452603333]",458728723,900,"LINESTRING (174.6299239 -36.8576841, 174.6299424 -36.8576199, 174.6299646 -36.8574247, 174.6299688 -36.8573555, 174.6299851 -36.8571017, 174.6299881 -36.8570554, 174.6300002 -36.8568665)"
6990,59826002,primary,6,42.919,50,Lincoln Road,0,612361921,458728702,900,"LINESTRING (174.6300242 -36.856481, 174.6300095 -36.8567167, 174.6300002 -36.8568665)"
6991,59826002,secondary,4,74.581,50,Universal Drive,0,618366852,5844850091,700,"LINESTRING (174.6291707 -36.8569321, 174.629598 -36.856934, 174.6297991 -36.8569003, 174.6300002 -36.8568665)"
6992,59826002,secondary,4,33.592,50,Universal Drive,0,618366876,5844850107,700,"LINESTRING (174.6303738 -36.8568229, 174.6301773 -36.856846, 174.6300002 -36.8568665)"
6993,458728723,primary,5,450.27499999999986,50,Lincoln Road,0,"[149824421, 452603334, 618366887, 618366888, 618366889, 618366890, 618366891, 618366892, 618366886, 618366885]",5844850125,900,"LINESTRING (174.6294195 -36.8617127, 174.6294648 -36.8613779, 174.6295223 -36.8608081, 174.6295643 -36.8604196, 174.6295748 -36.8603454, 174.6296042 -36.8601768, 174.6296597 -36.8598599, 174.6296706 -36.859735, 174.629691 -36.8595927, 174.6297202 -36.8593613, 174.6297401 -36.8591959, 174.6297687 -36.8589589, 174.6297997 -36.8586993, 174.6298059 -36.8586474, 174.6298104 -36.8586185, 174.6298253 -36.8584714, 174.6298322 -36.8584153, 174.6298413 -36.8583365, 174.6298586 -36.8581861, 174.6298803 -36.8580105, 174.6298896 -36.857935, 174.6299239 -36.8576841)"
6994,458728702,primary,4,544.2799999999999,50,Lincoln Road,0,"[612361920, 83889256, 612361929, 612361930, 612361932, 612361933, 618366870, 612361919]",976462262,900,"LINESTRING (174.6304846 -36.8516295, 174.6303939 -36.8517957, 174.6303669 -36.8518452, 174.6303028 -36.8520042, 174.6302141 -36.8522745, 174.6301732 -36.8524724, 174.6301178 -36.8529646, 174.630089 -36.8533429, 174.6300814 -36.8534427, 174.6300655 -36.8536607, 174.6300558 -36.8539185, 174.630052 -36.8540508, 174.6300464 -36.8541786, 174.6300216 -36.8549344, 174.6300218 -36.8551602, 174.6300232 -36.8558829, 174.6300233 -36.8559242, 174.6300233 -36.8563084, 174.6300242 -36.856481)"
