From,To,Demand,TT,Distance,Estimated?
3989846958,1330605388,,0.08756451612903227,31,No
3980386435,3980386437,,0.11354875000000002,40,No
3988788460,3988795029,,0.06366530612244897,49,No
3989929957,3416239360,,0.034631111111111106,15,No
3989929957,1334516810,,0.09510666666666667,30,No
1330605474,1335061028,,0.07052884615384615,26,No
1335061028,1330605166,,0.019541,0,Yes
9784010390,9784010392,,0.03586,0,Yes
1334516810,3416239360,,0.024988,0,Yes
1330605641,3032776825,,0.341462,0,Yes
3032776825,1330605641,,0.34164100000000003,0,Yes
3032776825,7635344834,,0.41920204402515726,106,No
7635344825,7635344827,,0.05324318181818183,22,No
1331315637,2916365919,,0.34380555555555553,63,No
1331315637,6749367530,,0.4683257575757576,66,No
2916365919,6749367530,,0.015588888888888888,3,No
2916365919,2916372149,,0.6027125,124,No
6749367530,2370546591,,1.2141247023809525,448,No
6749367530,1067571031,,0.23230188679245278,212,No
1331315653,9771229466,,0.08028488372093023,43,No
9771229466,9771229477,,0.033986111111111106,12,No
9771229466,9771229470,,0.02231901455767077,4465,No
1331315681,1067571010,,0.3950568181818182,44,No
1331315681,3029651126,,0.5596653594771241,153,No
3029651126,1073220447,,0.6971991421568628,136,No
3416239360,1335060974,,0.0038639999999999994,4,Yes
9074525746,9784010387,,0.6809769230769231,208,No
1338457101,4256570954,,0.14893499999999998,40,No
9770768344,9770768319,,0.08323258003766477,8850,No
1334565566,3982830207,,0.06653015873015873,42,No
3982830207,3982830213,,0.11814806201550389,43,No
3982830207,3982833158,,0.015945,0,Yes
1335060974,1335061028,,0.015309000000000003,0,Yes
1335060974,1330605474,,0.024453000000000003,0,Yes
3988880743,3988880750,,0.03197,0,Yes
1335061003,3988880782,,0.128685,0,Yes
3989680428,9784060883,,0.0811609589041096,73,No
3988880782,3988867788,,0.03408214962121212,1056,No
3988880782,3988880784,,0.033165625,32,No
3988859211,9784060896,,0.15103396946564882,131,No
9783820471,9783820480,,0.2426171875,32,No
4020011665,9019188138,,0.034537878787878784,22,No
1338456909,4256531766,,0.16441203703703702,36,No
1338457022,9784032134,,0.14508260869565218,92,No
4256531766,3526691229,,0.03633809523809524,7,No
4256531766,9784032134,,0.05013804347826087,46,No
1338456932,9783883952,,0.1460059322033898,118,No
9783883952,9783883950,,0.005697,3,Yes
3999732216,3999734820,,0.03224545454545454,22,No
9784032134,3526691217,,0.10215121951219513,82,No
9784108632,9784108651,,0.21228125,48,No
4256570954,3526690811,,0.018330952380952382,7,No
4256570954,4173224932,,0.3049323981295925,499,No
1338457143,9784108631,,0.1475059322033898,118,No
9783820461,9783820470,,0.08331321839080459,87,No
9784108631,9784108639,,0.013855555555555557,9,No
9784949127,9784949147,,0.05781100000000001,0,Yes
9098857474,9783820474,,0.050938000000000004,0,Yes
1392107009,9784101195,,0.078526,0,Yes
9784101195,9784101200,,0.007633000000000001,0,Yes
9784101195,9784101197,,0.02681,0,Yes
1392107018,4124403485,,0.0532875,52,No
4124403485,4250418571,,0.02038235294117647,17,No
4124403485,3982483979,,0.11908241590214068,109,No
3982530847,3982532685,,0.0356,30,No
3982463149,10801510405,,0.12845777777777775,120,No
1392550038,3409128252,,0.8710065913370998,354,No
9784527820,9784527880,,0.35707865168539316,178,No
3097356289,4404070983,,0.20330405405405405,37,No
4126284489,9770768343,,0.1535663551401869,107,No
1837501367,9784126694,,0.08356214689265537,59,No
9784126694,4007324411,,0.1729513274336283,113,No
9784126694,9837102189,,0.15726666666666667,31,No
9784143128,9784143142,,0.089531,0,Yes
1837501419,3982994349,,0.052624000000000004,25,No
3986867504,9074525779,,0.20478000000000002,30,No
3982994352,3982994349,,0.35648148148148145,36,No
3982994349,1837501498,,0.03547971014492753,23,No
1837501498,3986867504,,0.34772830188679243,53,No
3980634482,9783972302,,0.4646206611570248,242,No
3982994351,9074525779,,0.30614099999999994,50,No
3526691077,9783684680,,0.019166000000000002,0,Yes
1876012697,3526686370,,0.034194,0,Yes
3526691045,9771229491,,0.06147100000000001,0,Yes
3526686370,9016737893,,0.009130000000000001,0,Yes
3526686370,1876012739,,0.136206,0,Yes
1876012739,9016737893,,0.1291768115942029,138,No
9016737893,3526690835,,0.008719,6,Yes
3526691405,3526691231,,0.14660365853658536,123,No
1877378924,3526691015,,0.1715932098765432,27,No
3526691015,3526691399,,0.018687943262411348,1833,No
3526691015,3526691030,,0.16739416058394158,137,No
3097356292,3097356289,,0.07855658990292838,8207,No
9783883951,9783883964,,0.0683519588953115,1038,No
9783865799,9783865811,,0.05101428571428571,21,No
1908801841,3982567594,,0.20009310344827586,58,No
9784126634,9784126644,,0.007171,0,Yes
3982567594,9019188138,,0.012452380952380954,7,No
3982567594,4020011665,,0.043836206896551724,29,No
1910224505,2867470429,,0.8286395480225986,177,No
2867470429,1910224505,,0.7731106145251397,179,No
9784655837,9784655823,,0.08157051282051281,26,No
4016894943,9784655819,,0.16235922330097086,103,No
3979578162,9784143144,,0.11668102564102564,65,No
3980734217,9783684657,,0.13158639455782314,98,No
9783684667,9783684688,,0.017198333333333333,10,No
3982483978,4250418572,,0.03275,0,Yes
2887261923,4250423777,,0.038957,0,Yes
2370340774,9784126640,,0.068925,0,Yes
3982530845,4124408498,,0.153709,0,Yes
9784126640,9784126638,,0.027067,0,Yes
9784126640,9784126628,,0.06593725490196078,34,No
10801462893,10801462890,,0.06965698924731183,62,No
