,osmid,y,x,street_cou,lon,lat,highway,ref,geometry
4739,298251119,48.7842106,2.2934443,4,2.2934443,48.7842106,traffic_signals,,POINT (2.2934443 48.7842106)
4740,297324589,48.7887704,2.2936254,4,2.2936254,48.7887704,,,POINT (2.2936254 48.7887704)
4741,2199915734,48.7888049,2.2939178,3,2.2939178,48.7888049,,,POINT (2.2939178 48.7888049)
4742,297324592,48.7889076,2.2936085,4,2.2936085,48.7889076,,,POINT (2.2936085 48.7889076)
4743,298740595,48.7888515,2.2934139,4,2.2934139,48.7888515,,,POINT (2.2934139 48.7888515)
4744,298740591,48.7891142,2.2932588,3,2.2932588,48.7891142,,,POINT (2.2932588 48.7891142)
4745,297342199,48.8039637,2.2884813,4,2.2884813,48.8039637,,,POINT (2.2884813 48.8039637)
4746,7565106688,48.8040296,2.2885886,4,2.2885886,48.8040296,,,POINT (2.2885886 48.8040296)
4747,2633470451,48.8009729,2.2836652,3,2.2836652,48.8009729,,,POINT (2.2836652 48.8009729)
4748,297450289,48.9667942,2.273737,3,2.273737,48.9667942,,,POINT (2.273737 48.9667942)
4749,417613965,48.9668925,2.2739909,3,2.2739909,48.9668925,,,POINT (2.2739909 48.9668925)
4750,297450308,48.9670484,2.2731518,3,2.2731518,48.9670484,,,POINT (2.2731518 48.9670484)
4751,4011660629,48.9738776,2.2744203,3,2.2744203,48.9738776,,,POINT (2.2744203 48.9738776)
4752,297450564,48.9727713,2.2771409,4,2.2771409,48.9727713,,,POINT (2.2771409 48.9727713)
4753,297450535,48.9731108,2.2758912,3,2.2758912,48.9731108,,,POINT (2.2758912 48.9731108)
4754,1336693460,48.9728537,2.2764752,3,2.2764752,48.9728537,,,POINT (2.2764752 48.9728537)
4755,1336693467,48.9729514,2.2767105,3,2.2767105,48.9729514,,,POINT (2.2767105 48.9729514)
4756,297707749,48.9858798,2.4196051,2,2.4196051,48.9858798,,,POINT (2.4196051 48.9858798)
4757,617498197,48.9859025,2.4194245,2,2.4194245,48.9859025,,,POINT (2.4194245 48.9859025)
4758,617498127,48.98556,2.4238404,2,2.4238404,48.98556,,,POINT (2.4238404 48.98556)
4759,297708216,48.9804492,2.4238947,3,2.4238947,48.9804492,,,POINT (2.4238947 48.9804492)
4760,4777506211,48.980187,2.4235779,3,2.4235779,48.980187,,,POINT (2.4235779 48.980187)
4761,297709662,48.9771105,2.4568342,3,2.4568342,48.9771105,,,POINT (2.4568342 48.9771105)
4762,297710052,48.9772391,2.4571517,3,2.4571517,48.9772391,,,POINT (2.4571517 48.9772391)
4763,297710406,48.9818936,2.4434555,3,2.4434555,48.9818936,,,POINT (2.4434555 48.9818936)
4764,4207221643,48.9842985,2.4404804,3,2.4404804,48.9842985,,,POINT (2.4404804 48.9842985)
4765,299295156,48.9817774,2.4433484,3,2.4433484,48.9817774,,,POINT (2.4433484 48.9817774)
4766,297750690,48.7968237,2.2991856,3,2.2991856,48.7968237,,,POINT (2.2991856 48.7968237)
4767,297750728,48.7946936,2.2984196,2,2.2984196,48.7946936,,,POINT (2.2984196 48.7946936)
4768,297750723,48.7936773,2.2974497,3,2.2974497,48.7936773,traffic_signals,,POINT (2.2974497 48.7936773)
4769,297970487,48.7855608,2.3030988,3,2.3030988,48.7855608,,,POINT (2.3030988 48.7855608)
4770,3450900804,48.7944707,2.2982797,2,2.2982797,48.7944707,,,POINT (2.2982797 48.7944707)
4771,297755662,48.7803736,2.2806138,3,2.2806138,48.7803736,,,POINT (2.2806138 48.7803736)
4772,2487913039,48.7802307,2.2804005,3,2.2804005,48.7802307,,,POINT (2.2804005 48.7802307)
4773,297755668,48.7834551,2.282042,3,2.282042,48.7834551,,,POINT (2.282042 48.7834551)
4774,298251077,48.7835554,2.2822437,3,2.2822437,48.7835554,,,POINT (2.2822437 48.7835554)
4775,297755672,48.783718,2.2821606,3,2.2821606,48.783718,,,POINT (2.2821606 48.783718)
4776,2562326946,48.7905676,2.2889901,3,2.2889901,48.7905676,traffic_signals,,POINT (2.2889901 48.7905676)
4777,298251061,48.7835842,2.2818166,3,2.2818166,48.7835842,,,POINT (2.2818166 48.7835842)
4778,302058881,48.7701397,2.2741385,2,2.2741385,48.7701397,traffic_signals,,POINT (2.2741385 48.7701397)
4779,297870961,48.9847062,2.3861225,3,2.3861225,48.9847062,,,POINT (2.3861225 48.9847062)
4780,4777474716,48.9828606,2.388768,3,2.388768,48.9828606,,,POINT (2.388768 48.9828606)
4781,297872635,48.9855377,2.4240552,2,2.4240552,48.9855377,,,POINT (2.4240552 48.9855377)
4782,1389927848,48.9856968,2.4321552,2,2.4321552,48.9856968,,,POINT (2.4321552 48.9856968)
4783,297890224,48.9785931,2.3642869,5,2.3642869,48.9785931,,,POINT (2.3642869 48.9785931)
4784,416818055,48.9787366,2.3642342,3,2.3642342,48.9787366,,,POINT (2.3642342 48.9787366)
4785,4685208617,48.9785708,2.3641475,3,2.3641475,48.9785708,,,POINT (2.3641475 48.9785708)
4786,416818063,48.9785257,2.3647688,2,2.3647688,48.9785257,,,POINT (2.3647688 48.9785257)
4787,297890903,48.9665191,2.4092797,4,2.4092797,48.9665191,,,POINT (2.4092797 48.9665191)
4788,2752002900,48.9664177,2.4091494,3,2.4091494,48.9664177,crossing,,POINT (2.4091494 48.9664177)
4789,2752002924,48.9664476,2.4093522,4,2.4093522,48.9664476,,,POINT (2.4093522 48.9664476)
4790,297891261,48.9744989,2.4197344,3,2.4197344,48.9744989,,,POINT (2.4197344 48.9744989)
4791,2745519675,48.9737907,2.4178635,3,2.4178635,48.9737907,,,POINT (2.4178635 48.9737907)
4792,698379743,48.9727748,2.4170819,3,2.4170819,48.9727748,,,POINT (2.4170819 48.9727748)
4793,297891277,48.9780551,2.4223572,2,2.4223572,48.9780551,,,POINT (2.4223572 48.9780551)
