,osmid,y,x,street_cou,lon,lat,highway,ref,geometry
1573,54652058,51.414402,-0.1796586,3,-0.1796586,51.414402,,,POINT (-0.1796586 51.414402)
1574,54647274,51.4144144,-0.1786936,3,-0.1786936,51.4144144,,,POINT (-0.1786936 51.4144144)
1575,3625957565,51.4144258,-0.1788405,4,-0.1788405,51.4144258,,,POINT (-0.1788405 51.4144258)
1576,3625957100,51.4129418,-0.1785895,3,-0.1785895,51.4129418,,,POINT (-0.1785895 51.4129418)
1577,3625957592,51.4145455,-0.1787997,3,-0.1787997,51.4145455,,,POINT (-0.1787997 51.4145455)
1578,54652424,51.4148593,-0.1784948,3,-0.1784948,51.4148593,,,POINT (-0.1784948 51.4148593)
1579,8853137609,51.4166198,-0.178654,3,-0.178654,51.4166198,,,POINT (-0.178654 51.4166198)
1580,1621753563,51.4916911,-0.2248253,3,-0.2248253,51.4916911,,,POINT (-0.2248253 51.4916911)
1581,55119408,51.4912497,-0.2272693,3,-0.2272693,51.4912497,,,POINT (-0.2272693 51.4912497)
1582,55120116,51.4911116,-0.2273982,3,-0.2273982,51.4911116,,,POINT (-0.2273982 51.4911116)
1583,2962689663,51.4907252,-0.2277997,3,-0.2277997,51.4907252,,,POINT (-0.2277997 51.4907252)
1584,4486531501,51.4909619,-0.2284555,4,-0.2284555,51.4909619,,,POINT (-0.2284555 51.4909619)
1585,55120124,51.4913489,-0.2277827,3,-0.2277827,51.4913489,,,POINT (-0.2277827 51.4913489)
1586,55120426,51.4923362,-0.2248359,3,-0.2248359,51.4923362,,,POINT (-0.2248359 51.4923362)
1587,55414567,51.4107272,-0.1924387,3,-0.1924387,51.4107272,,,POINT (-0.1924387 51.4107272)
1588,5941807856,51.4079173,-0.1922467,3,-0.1922467,51.4079173,,,POINT (-0.1922467 51.4079173)
1589,55416488,51.411868,-0.1925718,3,-0.1925718,51.411868,,,POINT (-0.1925718 51.411868)
1590,55418921,51.4126732,-0.1926193,3,-0.1926193,51.4126732,,,POINT (-0.1926193 51.4126732)
1591,506862214,51.4126106,-0.1925096,4,-0.1925096,51.4126106,,,POINT (-0.1925096 51.4126106)
1592,56687070,51.3745394,-0.2044871,2,-0.2044871,51.3745394,,,POINT (-0.2044871 51.3745394)
