from,to,volume,EstimatedTT,length,CO2,lengthm
534316145,518252065,0.0,3.0,38.921,0.0,0.024184380691
2071676,18178669,1167.48,45.6,623.072,153776.98069563758,0.38715887171200003
18178669,534743,142.03,3.0,45.265,1321.9345388064091,0.028126358315000002
18178669,534744,1025.45,4.2,57.506,12457.736879715258,0.035732560726
7101166877,16574525,627.87,7.199999999999999,78.469,11499.313191504933,0.048758360998999994
2287857538,5824956622,716.8,3.0,27.539,5110.110072442818,0.017111935969
2274921120,206133365,545.17,99.0,1248.547,148210.44232104777,0.775810897937
2072802,30151417,514.84,105.0,1448.83,157186.05084111207,0.90026094593
316507154,316507156,406.14,16.8,232.267,19866.299447035835,0.144323978057
30151417,30151418,1127.37,1.7999999999999998,22.448,5536.024591083455,0.013948536208
2072807,1485594848,274.74,0.6,8.559,490.5671471882582,0.005318314389
2072807,1485594778,598.07,5.3999999999999995,72.769,9243.261172793742,0.045216546299
1485594848,159725096,152.56,1.2,18.064,566.9636734104938,0.011224445744
1485594848,11007703,688.61,27.0,331.486,50268.25777635783,0.205975787306
1485594778,1485594848,566.44,4.8,69.908,8213.922014043994,0.043438803868
2072816,244038925,465.79,21.599999999999998,295.308,29072.83943532677,0.183495827268
244038925,244038942,1351.33,12.0,143.923,43277.63808348385,0.089429578433
2075215,25755498,430.1,1.2,15.023,1411.1828105581767,0.009334856533
2075215,2039066667,1508.42,198.6,2723.369,867408.8111360929,1.692222518899
25755498,25755497,1202.06,1.2,12.97,3655.3495570004457,0.008059181870000001
25755498,25755500,216.8,3.0,38.617,1808.1739457406427,0.023995483906999997
2039066667,25755506,1415.06,159.60000000000002,2193.697,654963.1345518974,1.363099698587
25096430,25096432,845.34,1.2,15.229,2796.0346522425343,0.009462858959
25096430,10919799,1779.0,21.0,283.282,106996.2711762164,0.176023219622
3869392962,25096430,603.99,18.6,255.909,32601.852962718225,0.159014431239
21540856,21647397,827.25,7.800000000000001,84.889,16402.91918032253,0.052747562819
2297619,3790101104,983.91,91.8,962.581,225843.57968234931,0.598119918551
3790101104,21552197,0.0,7.199999999999999,101.09,0.0,0.06281439439
3790101104,21527849,983.91,4.8,83.094,16432.995130749994,0.051632201874
2297622,21552199,1027.35,1.7999999999999998,28.268,5921.321493613453,0.017564915428
2297622,21527762,1040.85,4.2,54.913,12271.265325283302,0.034121345723
21552199,21552200,1464.96,16.8,185.242,62944.89332601058,0.115104006782
21527762,536663,1933.83,0.6,10.841,4198.129432452696,0.0067362830109999996
21527762,3146686054,785.23,16.200000000000003,224.304,37075.225295935765,0.139376000784
3411653,113794494,0.0,4.2,61.589,0.0,0.038269618519
26165869,262185367,701.34,3.5999999999999996,48.606,7235.354503000047,0.030202358826000003
113794494,15618026,16.06,1.2,19.635,63.84280583819102,0.012200619585000001
113794494,26291274,1189.0,13.8,175.371,45262.97461523724,0.10897045364100001
3411658,15618078,644.27,9.0,123.582,16804.593200112588,0.076790270922
3411658,25622663,1392.45,9.0,87.469,30393.619233929006,0.054350699998999996
15618078,3030258494,644.27,4.8,66.573,9023.695961707857,0.041366531582999994
15618078,25622151,1089.22,1.7999999999999998,24.85,5702.880476263474,0.015441069350000001
25622663,25622670,1392.45,37.8,370.308,128037.97415995202,0.230098652268
15511907,2071674,231.59,49.199999999999996,681.434,33216.23065508144,0.423423326014
3855350,11769597,109.59,1.2,15.22,362.3503087698494,0.00945726662
3855350,1501721437,800.52,25.2,347.459,58627.84979941574,0.215900946289
9100179,3137684026,343.82,33.0,447.775,32621.319493782168,0.278234399525
3137684026,3137684031,414.06,10.799999999999999,145.255,12782.384970317926,0.090257244605
3137684031,3137684026,457.86,11.4,144.503,14376.658719665822,0.089789973613
9100190,9982673425,85.06,3.0,39.416,718.5159076478643,0.024491959336
