,osmid,y,x,highway,street_cou,lon,lat,ref,geometry
4060,1286992374,-34.5902388,-58.3730154,traffic_signals,4,-58.3730154,-34.5902388,,POINT (-58.3730154 -34.5902388)
4061,1286992454,-34.5909523,-58.3738836,traffic_signals,3,-58.3738836,-34.5909523,,POINT (-58.3738836 -34.5909523)
4062,1286992140,-34.5888368,-58.3690349,,3,-58.3690349,-34.5888368,,POINT (-58.3690349 -34.5888368)
4063,6770675961,-34.5886095,-58.3688444,,3,-58.3688444,-34.5886095,,POINT (-58.3688444 -34.5886095)
4064,6770675962,-34.5886816,-58.3692833,,3,-58.3692833,-34.5886816,,POINT (-58.3692833 -34.5886816)
4065,1286992332,-34.5912509,-58.3738405,,3,-58.3738405,-34.5912509,,POINT (-58.3738405 -34.5912509)
4066,1286992211,-34.5913091,-58.3721748,,3,-58.3721748,-34.5913091,,POINT (-58.3721748 -34.5913091)
4067,1286992236,-34.5914574,-58.3719089,,3,-58.3719089,-34.5914574,,POINT (-58.3719089 -34.5914574)
4068,1286992248,-34.5909093,-58.3718364,traffic_signals,4,-58.3718364,-34.5909093,,POINT (-58.3718364 -34.5909093)
4069,1286992216,-34.5863217,-58.3673442,,3,-58.3673442,-34.5863217,,POINT (-58.3673442 -34.5863217)
4070,4469196053,-34.5871394,-58.3680109,,3,-58.3680109,-34.5871394,,POINT (-58.3680109 -34.5871394)
4071,6533317563,-34.5916224,-58.3720552,,3,-58.3720552,-34.5916224,,POINT (-58.3720552 -34.5916224)
4072,1286992352,-34.5901062,-58.3710802,traffic_signals,4,-58.3710802,-34.5901062,,POINT (-58.3710802 -34.5901062)
4073,1286992270,-34.5873933,-58.3682129,,3,-58.3682129,-34.5873933,,POINT (-58.3682129 -34.5873933)
4074,4469196060,-34.5875404,-58.3679646,,3,-58.3679646,-34.5875404,,POINT (-58.3679646 -34.5875404)
4075,6770675960,-34.5884652,-58.369097,,3,-58.369097,-34.5884652,,POINT (-58.369097 -34.5884652)
4076,1286992323,-34.5892631,-58.3717843,,3,-58.3717843,-34.5892631,,POINT (-58.3717843 -34.5892631)
4077,8703499498,-34.5892581,-58.3716234,,3,-58.3716234,-34.5892581,,POINT (-58.3716234 -34.5892581)
4078,1286992353,-34.5872793,-58.3677559,,3,-58.3677559,-34.5872793,,POINT (-58.3677559 -34.5872793)
4079,1286992442,-34.5864816,-58.367115,,3,-58.367115,-34.5864816,,POINT (-58.367115 -34.5864816)
4080,1286992366,-34.5893454,-58.3722635,,3,-58.3722635,-34.5893454,,POINT (-58.3722635 -34.5893454)
4081,4473728259,-34.589141,-58.3722536,,3,-58.3722536,-34.589141,,POINT (-58.3722536 -34.589141)
4082,1286992407,-34.5885385,-58.3716183,traffic_signals,4,-58.3716183,-34.5885385,,POINT (-58.3716183 -34.5885385)
4083,1286992398,-34.5892346,-58.371376,traffic_signals,5,-58.371376,-34.5892346,,POINT (-58.371376 -34.5892346)
4084,6770675927,-34.5891815,-58.3709891,traffic_signals,3,-58.3709891,-34.5891815,,POINT (-58.3709891 -34.5891815)
4085,4473797765,-34.5884637,-58.3719021,,5,-58.3719021,-34.5884637,,POINT (-58.3719021 -34.5884637)
4086,7349703135,-34.5862725,-58.3669374,,3,-58.3669374,-34.5862725,,POINT (-58.3669374 -34.5862725)
4087,6520271330,-34.589734,-58.3707983,,3,-58.3707983,-34.589734,,POINT (-58.3707983 -34.589734)
4088,6770675938,-34.5895681,-58.3697842,,4,-58.3697842,-34.5895681,,POINT (-58.3697842 -34.5895681)
4089,1306391020,-34.5979987,-58.5214685,traffic_signals,3,-58.5214685,-34.5979987,,POINT (-58.5214685 -34.5979987)
4090,1306391035,-34.5982883,-58.5214789,,3,-58.5214789,-34.5982883,,POINT (-58.5214789 -34.5982883)
4091,314458456,-34.5980725,-58.5223161,,1,-58.5223161,-34.5980725,,POINT (-58.5223161 -34.5980725)
4092,1306391022,-34.598273,-58.5216076,traffic_signals,1,-58.5216076,-34.598273,,POINT (-58.5216076 -34.598273)
4093,1306391029,-34.5978358,-58.5214563,,3,-58.5214563,-34.5978358,,POINT (-58.5214563 -34.5978358)
4094,1306391049,-34.5979093,-58.5210914,,3,-58.5210914,-34.5979093,,POINT (-58.5210914 -34.5979093)
4095,1886242473,-34.5977837,-58.5214636,,3,-58.5214636,-34.5977837,,POINT (-58.5214636 -34.5977837)
4096,1309268796,-34.6051275,-58.3621215,,3,-58.3621215,-34.6051275,,POINT (-58.3621215 -34.6051275)
4097,1784354783,-34.6048053,-58.3633239,,3,-58.3633239,-34.6048053,,POINT (-58.3633239 -34.6048053)
4098,1316684171,-34.6889744,-58.5556532,traffic_signals,1,-58.5556532,-34.6889744,,POINT (-58.5556532 -34.6889744)
4099,1316684208,-34.6889867,-58.5558162,,4,-58.5558162,-34.6889867,,POINT (-58.5558162 -34.6889867)
4100,1316684177,-34.6898989,-58.5549694,traffic_signals,1,-58.5549694,-34.6898989,,POINT (-58.5549694 -34.6898989)
4101,1316684211,-34.6899099,-58.5547758,,4,-58.5547758,-34.6899099,,POINT (-58.5547758 -34.6899099)
4102,1316684194,-34.6903547,-58.5543486,,1,-58.5543486,-34.6903547,,POINT (-58.5543486 -34.6903547)
4103,1316684204,-34.6906688,-58.5537936,,3,-58.5537936,-34.6906688,,POINT (-58.5537936 -34.6906688)
4104,1316684195,-34.6906302,-58.5536583,,3,-58.5536583,-34.6906302,,POINT (-58.5536583 -34.6906302)
4105,1316684176,-34.690123,-58.5541437,,1,-58.5541437,-34.690123,,POINT (-58.5541437 -34.690123)
4106,1316684219,-34.6898382,-58.5546951,,4,-58.5546951,-34.6898382,,POINT (-58.5546951 -34.6898382)
4107,1316684196,-34.6830786,-58.5690287,,3,-58.5690287,-34.6830786,,POINT (-58.5690287 -34.6830786)
4108,1316684205,-34.6832144,-58.5679664,,1,-58.5679664,-34.6832144,,POINT (-58.5679664 -34.6832144)
4109,1316684213,-34.6890656,-58.5559118,,4,-58.5559118,-34.6890656,,POINT (-58.5559118 -34.6890656)
4110,4816320909,-34.688458,-58.5565035,,3,-58.5565035,-34.688458,,POINT (-58.5565035 -34.688458)
4111,1316684178,-34.6891662,-58.5559418,,1,-58.5559418,-34.6891662,,POINT (-58.5559418 -34.6891662)
4112,1316684202,-34.6896781,-58.554727,,1,-58.554727,-34.6896781,,POINT (-58.554727 -34.6896781)
4113,1316684220,-34.6840504,-58.5657517,,1,-58.5657517,-34.6840504,,POINT (-58.5657517 -34.6840504)
4114,1316687315,-34.6841449,-58.5643698,,4,-58.5643698,-34.6841449,,POINT (-58.5643698 -34.6841449)
4115,1316687311,-34.6839804,-58.5647054,,1,-58.5647054,-34.6839804,,POINT (-58.5647054 -34.6839804)
4116,3518219315,-34.6825633,-58.5719696,traffic_signals,3,-58.5719696,-34.6825633,,POINT (-58.5719696 -34.6825633)
4117,1329175706,-34.5628565,-58.6299126,,4,-58.6299126,-34.5628565,,POINT (-58.6299126 -34.5628565)
4118,1329175689,-34.5652532,-58.6303422,motorway_junction,3,-58.6303422,-34.5652532,,POINT (-58.6303422 -34.5652532)
