,from,highway,lanes,length,maxspeed,name,oneway,osmid,to,capacity,geometry
1439,195580209,motorway_link,1,84.661,40,,1,23047594,248697385,2000,"LINESTRING (-58.3810811 -34.6197586, -58.3811521 -34.6198535, -58.3811746 -34.619949, -58.3811827 -34.620005, -58.3811878 -34.6200571, -58.3812218 -34.6205002)"
1440,4465141256,trunk,5,115.246,60,Avenida 9 de Julio,1,275088535,195580209,1200,"LINESTRING (-58.3810854 -34.6187222, -58.3810839 -34.6196457, -58.3810811 -34.6197586)"
1441,248697385,motorway_link,2,318.777,60,,1,"[629141064, 492697722, 98117694]",248697377,2000,"LINESTRING (-58.3812218 -34.6205002, -58.3812082 -34.620975, -58.3811637 -34.6214217, -58.3811336 -34.6217637, -58.3811306 -34.6218653, -58.3811426 -34.6219582, -58.3811652 -34.6220512, -58.3812059 -34.6221414, -58.3812689 -34.6222464, -58.381303 -34.6222934, -58.3813467 -34.6223477, -58.3813823 -34.6223849, -58.3814246 -34.6224264, -58.3814795 -34.6224697, -58.3815581 -34.6225237, -58.3816597 -34.6225826, -58.3817383 -34.6226241, -58.3818228 -34.6226632, -58.381897 -34.6226912, -58.3819741 -34.6227096, -58.3820586 -34.6227279, -58.3823743 -34.6227819)"
1442,4465136605,motorway_link,2,77.388,40,,1,61793787,248697385,2000,"LINESTRING (-58.3814433 -34.6198322, -58.3813461 -34.6200065, -58.3812218 -34.6205002)"
1443,195615851,motorway_link,2,141.473,60,,1,98117685,248697432,2000,"LINESTRING (-58.377143 -34.6228167, -58.378163 -34.6227131, -58.3786805 -34.6226887)"
1444,195615851,motorway,3,540.2440000000001,80,Autopista 25 de Mayo,1,"[98117684, 98117695]",226823244,2000,"LINESTRING (-58.377143 -34.6228167, -58.3786687 -34.6228059, -58.3798105 -34.6228262, -58.3807747 -34.6228405, -58.3819058 -34.6228457, -58.3821198 -34.6228432, -58.3823782 -34.6228344, -58.3830452 -34.6228024)"
1445,195615856,motorway,4,357.722,80,Autopista 25 de Mayo,1,"[325211952, 28678654]",195615851,2000,"LINESTRING (-58.3732509 -34.6226795, -58.3737773 -34.6227573, -58.3743069 -34.622814, -58.3748752 -34.622854, -58.3752771 -34.6228677, -58.37578 -34.6228701, -58.376234 -34.6228645, -58.3766048 -34.6228492, -58.377143 -34.6228167)"
1446,248697432,motorway_link,1,712.0450000000001,60,,1,"[96867656, 96867657, 96867641, 96867639]",248697497,2000,"LINESTRING (-58.3786805 -34.6226887, -58.3792111 -34.6226742, -58.3793223 -34.6226632, -58.3794246 -34.622651, -58.3795166 -34.6226351, -58.379593 -34.622618, -58.3796538 -34.6226034, -58.3797176 -34.6225814, -58.3797924 -34.6225533, -58.3801951 -34.6223703, -58.3802648 -34.6223416, -58.3803212 -34.6223202, -58.3803742 -34.6223024, -58.3804343 -34.6222859, -58.3805017 -34.6222774, -58.380567 -34.6222761, -58.3806389 -34.622278, -58.3807005 -34.6222835, -58.3807576 -34.622292, -58.3808273 -34.6223079, -58.3808881 -34.6223286, -58.3809437 -34.6223488, -58.3809934 -34.6223738, -58.3810409 -34.6224031, -58.3810839 -34.6224324, -58.3811313 -34.6224732, -58.381181 -34.6225239, -58.3812233 -34.62258, -58.3812529 -34.6226295, -58.3812685 -34.6226685, -58.3812863 -34.6227161, -58.3812989 -34.6227616, -58.3813071 -34.6228101, -58.38131 -34.6228546, -58.38131 -34.6228955, -58.3813011 -34.6229541, -58.3812863 -34.6230176, -58.3812618 -34.6230899, -58.3812107 -34.6231964, -58.3806691 -34.6241591, -58.3804761 -34.6246294, -58.3804397 -34.6247137, -58.3799737 -34.6257779, -58.3797102 -34.6264404)"
1447,226823244,motorway,5,295.22299999999996,80,Autopista 25 de Mayo,1,48393703,248775778,2000,"LINESTRING (-58.3830452 -34.6228024, -58.38367 -34.6227985, -58.3840391 -34.622798, -58.3844576 -34.6228123, -58.3848684 -34.6228302, -58.3852496 -34.6228492, -58.3855848 -34.6228707, -58.3859064 -34.6228983, -58.3862652 -34.6229291)"
1448,248697377,motorway_link,2,61.432,60,,1,686011046,226823244,2000,"LINESTRING (-58.3823743 -34.6227819, -58.3830452 -34.6228024)"
