Origin,Destination,Demand,TT,TTobs,FFTT,Fitness:,9.926039415,Total Demand:,385066.6668,TSTT:,91092.59519
0,1,24.46070552,2.176030648,2.242670954,1.0378106,,,,,,
0,9,8.426068605,13.05784902,12.36910161,7.6064022,,,,,,
0,19,59.63666666,17.83829198,16.74966836,9.6585065,,,,,,
0,59,14.97380976,41.16898843,35.9687528,22.1749546,,,,,,
0,42,7.040963214,26.32812417,21.89293662,17.47405855,,,,,,
0,6,42.04084594,6.702527734,6.775597448,4.810448,,,,,,
0,26,54.24208758,14.70145766,14.25323454,7.095894,,,,,,
0,43,19.87766674,21.73098032,16.89419115,13.97379175,,,,,,
0,4,20.99037113,9.5962718,10.18417035,6.313374,,,,,,
0,18,506.5852537,20.10734521,20.71614052,11.4698578,,,,,,
0,44,4.680407023,27.19481366,21.99094012,15.0328306,,,,,,
0,61,2.105041322,46.43003768,39.25890383,22.8983434,,,,,,
0,25,4.413664802,15.55586783,12.53134769,9.3538264,,,,,,
0,12,1.353774275,30.58209432,25.60291665,19.0471078,,,,,,
0,45,10.1702054,25.57461615,20.81282083,14.04247285,,,,,,
0,60,16.34937193,36.80427865,30.18316874,18.61795675,,,,,,
0,17,809.5397978,14.95425618,16.52764521,7.826988,,,,,,
0,63,2.434837098,32.84368269,26.36013429,22.41541195,,,,,,
0,46,13.24810626,26.12826191,22.39358007,14.3392184,,,,,,
0,24,22.28323137,12.08193694,9.926755799,6.4198576,,,,,,
0,47,19.91208595,24.92601197,26.49609994,14.33366995,,,,,,
0,16,54.47849964,15.20585801,15.17981274,8.9621778,,,,,,
15,0,39.79824948,15.23617575,14.49440905,6.6352396,,,,,,
15,69,2.683982607,49.72877981,40.31216689,17.70321645,,,,,,
15,31,8.830887693,41.12226957,34.54687108,20.8295763,,,,,,
15,32,2.9435104,32.15476585,25.84127534,15.0709221,,,,,,
15,49,32.10430681,33.68825305,28.78510747,11.2781379,,,,,,
15,68,2.399613748,54.0042257,46.29797639,19.87898985,,,,,,
15,11,12.12501788,45.54069446,40.29557104,25.86919469,,,,,,
15,71,9.93116687,52.78474486,42.96060615,20.4735906,,,,,,
15,23,14.05752364,24.73716381,19.23868945,10.513814,,,,,,
