fishnetid,CO2,CO2pcap,CO2psqkm
47,10943082.851550234,446.96658299841664,1792876.4933875871
48,16615276.746079264,1211.142639621146,679880.60137401
49,29792992.581755266,1395.0313549698703,1219896.0935537298
50,28604685.800855383,1084.294879571414,1171239.99443977
51,8002712.248229363,721.4390703445418,1309852.0900865986
52,13494207.402802015,2970.778541029728,2209399.248418234
53,8909681.147304019,360.07395307925094,1458777.2547809214
54,5692687.2033194415,181.08557736243492,932060.5837053589
55,6640521.276895324,409.76774950535207,1087604.1853479438
56,14222627.831812542,538.8853671822908,2329423.9881964456
57,8477338.937454652,195.16990349133192,1388443.6062377102
58,11709717.139007835,217.50916384304634,1917852.0538650497
59,19100822.209924858,508.54011151092016,3129412.032157922
60,10672028.627020165,424.4866424610987,1748467.9154588806
61,8893131.677237064,217.9721692163647,1457019.6491256699
62,7383987.628917338,139.63896978227015,1209766.7564926844
63,21083153.425614037,451.3197097523345,215675.42952241134
64,3866361.946636309,433.14435017653636,39551.92359966239
65,901298.8651530634,485.63130760707924,9220.063808566028
66,38366347.65304979,945.5976755984773,392478.2190895941
67,9167771.15114301,375.63673795157376,93784.02466035487
68,3290979.0477589597,569.9057251987505,33709.937673657616
69,12697231.202502875,1146.5938346880007,130059.43406290024
70,13696242.28308387,570.7283168433136,140292.43791158352
71,63519871.26448581,2092.4526948736043,650642.5201408698
72,9200735.425088592,412.6317138189619,4617973.370324603
73,1689223.372075147,94.62301510831544,847844.0242394927
74,3083216.7028679796,1056.5965935139877,1547508.1035326323
75,3028189.0119474055,235.65488781164112,1519888.962283473
76,4434638.990520807,166.2794072640422,2225805.201329679
77,3849909.032519226,251.7382025132837,1932321.3383428806
78,4258720.839145939,213.33892752179074,2137909.4395089224
79,6004860.927489703,355.6709619051502,3014484.71142288
80,6654152.387950055,284.50053228144304,3340433.8390462897
81,2852286.624365305,126.84234083482208,1431869.0350313098
82,9655752.022205567,562.8935032738375,4847259.112193512
83,9547949.968465636,1111.439221965188,4794038.895670716
84,7342700.525946312,382.61151252117503,3686780.098020541
85,8260473.26502017,402.4561626984812,4147595.0607142416
86,9070505.708734317,514.7167647207045,4554313.471969686
87,4217841.525083211,172.77802097773773,2117784.0681820954
88,10034320.733489681,372.33020101176123,5038246.330035509
89,4648876.806902248,573.6656033889229,2334644.6095156968
90,6505080.699851185,1323.6226847536288,3266821.690739995
91,6343630.405949431,526.1091900999073,3185742.0936646303
92,6493697.525805771,308.34145430731445,3261105.1129466165
93,1707440.107858216,239.39792290519136,857468.5906845492
94,8652397.398334617,482.92536581340465,4345194.287664914
95,3197201.824163834,3716.1307717006466,1605920.912989265
96,36943802.881826304,13312.235347850159,18556484.362327345
97,1224631.6948047455,1029.9111085304976,615234.9421933816
98,9970252.215764832,271.93525413387414,1634025.87928856
99,6323428.949093244,135.6042704653676,1036347.5592245277
100,9445017.512399914,1638.2975762191295,1547945.09823854
101,16377612.596634848,292.2445853624796,2685008.0456947945
102,13303809.997334799,452.03774954205375,2181792.049560347
103,6264605.366971772,464.89685022276393,1027379.8397624639
104,16992387.69464787,6816.142786057478,2787623.8076580698
105,8236898.329918147,1417.030317349168,1351274.129236765
106,2783265.8183188657,369.0423912629458,456598.46029939415
107,2657073.9847243438,199.2956030680927,27216.76349788483
108,13975784.34893401,1701.3283479420206,143155.8246060051
109,7954189.809429094,1848.4965364859308,81475.82796155244
110,3708962.299468442,250.81597530654375,37991.39591428492
111,326060.0394413759,147.9500910993754,3339.8765072428287
112,35730772.2678343,8907.531356831285,366475.3377113748
113,27366283.729627185,1728.7395940238462,280684.33552297676
114,18659815.120495103,532.3884282971848,191385.78916391608
115,48361068.861819305,3265.7469510982714,496018.91922084516
116,14300090.27972182,982.0208171402932,586679.7496947832
117,25833658.370264545,565.8400238186896,1059859.3386406354
118,4453273.43517766,482.65735482546785,182821.43449633266
119,2758758.48984667,512.6188086376392,28295.41275100755
120,7799427.951815081,432.5565474448491,79995.41602883072
121,7251463.646361108,5822.90045763455,74375.17915318819
122,35232912.9127746,60761.47889553041,361844.69778767944
123,40816896.57960076,4733.85652082841,419192.63513751613
124,8787783.462979702,6508.107491318975,90251.20515178036
125,51197244.52558221,1866.1701504703508,525799.5987667639
126,18235783.470434524,11400.08962025298,187282.88447555853
127,32590274.691815697,26519.40318973954,334704.60208249744
128,15146467.453249134,1318.4807575659809,155555.37379892307
129,18426839.092803784,10173.342461767144,189494.93950228847
130,12265347.094300084,1841.380184506265,126132.38732391383
131,31920574.4646808,3207.1473251914904,328259.6269821198
132,24893157.53169191,871.1410209648762,255992.21639325065
133,14893885.472571775,951.2341459661045,153163.32401693342
134,27897012.549734123,2057.7434295454655,287262.7964956823
135,126364025.6151208,10802.893129737702,1301203.2492703456
