gridID_lat,gridID_lon,inner_gridID_lat,inner_gridID_lon,oneway,lanelength,fishnetID,osmid,y,x,street_count,lon,lat,ref,highway,nodeID,geometry,lanecapacity
4,17,None,None,False,9914.026,37,253311607,22.2661983,114.1282212,3,114.1282212,22.2661983,,mini_roundabout,4267,POINT (114.1282212 22.2661983),4000.0
4,18,None,None,False,3283.877,39,1051895086,22.2610841,114.1362435,4,114.1362435,22.2610841,,,5032,POINT (114.1362435 22.2610841),7200.0
4,18,None,None,False,3283.877,39,8742901871,22.2669942,114.1323569,2,114.1323569,22.2669942,,,5461,POINT (114.1323569 22.2669942),5400.0
4,18,None,None,False,3283.877,39,6938681152,22.2704252,114.1300329,3,114.1300329,22.2704252,,,5432,POINT (114.1300329 22.2704252),6300.0
4,18,None,None,False,3283.877,39,8742901696,22.2638342,114.1341099,2,114.1341099,22.2638342,,,5458,POINT (114.1341099 22.2638342),5400.0
4,19,None,None,False,4177.947000000002,41,26412251,22.2671122,114.1514696,3,114.1514696,22.2671122,,,3007,POINT (114.1514696 22.2671122),5200.0
4,19,None,None,False,4177.947000000002,41,1685958601,22.2639802,114.1494647,1,114.1494647,22.2639802,,,5033,POINT (114.1494647 22.2639802),1200.0
4,19,None,None,False,4177.947000000002,41,1685959193,22.2704623,114.1494595,1,114.1494595,22.2704623,,,4210,POINT (114.1494595 22.2704623),1400.0
4,20,None,None,False,7162.859999999999,43,1685959012,22.2694175,114.1653219,3,114.1653219,22.2694175,,,2627,POINT (114.1653219 22.2694175),4200.0
4,20,None,None,False,7162.859999999999,43,1685959014,22.2693953,114.1656516,3,114.1656516,22.2693953,,,2629,POINT (114.1656516 22.2693953),4200.0
4,21,None,None,False,12784.904999999999,45,1012752099,22.2713632,114.1803763,3,114.1803763,22.2713632,,,1602,POINT (114.1803763 22.2713632),14000.0
4,21,None,None,False,12784.904999999999,45,2688581881,22.2700726,114.1784943,3,114.1784943,22.2700726,,,71,POINT (114.1784943 22.2700726),4200.0
4,21,None,None,False,12784.904999999999,45,232221594,22.2660794,114.1843803,3,114.1843803,22.2660794,,,70,POINT (114.1843803 22.2660794),4200.0
4,21,None,None,False,12784.904999999999,45,239989634,22.2625374,114.1882347,3,114.1882347,22.2625374,,,83,POINT (114.1882347 22.2625374),4200.0
4,21,None,None,False,12784.904999999999,45,1974692376,22.2641697,114.1847689,3,114.1847689,22.2641697,,,72,POINT (114.1847689 22.2641697),4200.0
4,22,None,None,False,5608.237999999999,47,1072934398,22.2578162,114.1930536,3,114.1930536,22.2578162,,,2084,POINT (114.1930536 22.2578162),5600.0
4,22,None,None,False,5608.237999999999,47,295888215,22.2661711,114.1905366,3,114.1905366,22.2661711,,,463,POINT (114.1905366 22.2661711),4000.0
4,22,None,None,False,5608.237999999999,47,1623825285,22.270594,114.1912649,3,114.1912649,22.270594,,mini_roundabout,1370,POINT (114.1912649 22.270594),4000.0
4,22,None,None,False,5608.237999999999,47,1623825249,22.269307,114.194055,3,114.194055,22.269307,,,465,POINT (114.194055 22.269307),3600.0
4,24,None,None,False,2894.9079999999994,49,239978277,22.2709558,114.2333119,4,114.2333119,22.2709558,,,78,POINT (114.2333119 22.2709558),6400.0
4,24,None,None,False,2894.9079999999994,49,487079355,22.263971,114.2350066,4,114.2350066,22.263971,,,412,POINT (114.2350066 22.263971),6000.0
4,25,None,None,False,4216.5289999999995,51,295823846,22.2713533,114.238844,3,114.238844,22.2713533,,,452,POINT (114.238844 22.2713533),14000.0
4,25,None,None,False,4216.5289999999995,51,6038910727,22.2666948,114.2470557,2,114.2470557,22.2666948,,,1680,POINT (114.2470557 22.2666948),3600.0
4,25,None,None,False,4216.5289999999995,51,316735084,22.263905,114.2361662,1,114.2361662,22.263905,,,670,POINT (114.2361662 22.263905),1800.0
4,25,None,None,False,4216.5289999999995,51,281676891,22.2689718,114.2403951,3,114.2403951,22.2689718,,,350,POINT (114.2403951 22.2689718),7600.0
5,4,None,None,False,538.132,54,7060413780,22.2785418,113.9318433,3,113.9318433,22.2785418,,,4514,POINT (113.9318433 22.2785418),4000.0
5,4,None,None,False,538.132,54,4458642777,22.2764322,113.9315104,1,113.9315104,22.2764322,,,5360,POINT (113.9315104 22.2764322),1200.0
5,5,None,None,False,7121.0659999999925,56,421421840,22.2807081,113.9397371,4,113.9397371,22.2807081,,,4516,POINT (113.9397371 22.2807081),8000.0
5,5,None,None,False,7121.0659999999925,56,340326875,22.2844862,113.9426155,3,113.9426155,22.2844862,,,4517,POINT (113.9426155 22.2844862),5400.0
5,5,None,None,False,7121.0659999999925,56,1182691561,22.2830433,113.9374292,2,113.9374292,22.2830433,,,4840,POINT (113.9374292 22.2830433),3600.0
5,17,None,None,False,7309.232,58,3180388932,22.2822743,114.1261842,4,114.1261842,22.2822743,,,4634,POINT (114.1261842 22.2822743),6300.0
5,17,None,None,False,7309.232,58,293114164,22.2809206,114.128489,3,114.128489,22.2809206,,,4623,POINT (114.128489 22.2809206),3500.0
5,17,None,None,False,7309.232,58,1685959723,22.2744845,114.1183133,3,114.1183133,22.2744845,,,5238,POINT (114.1183133 22.2744845),4200.0
5,17,None,None,False,7309.232,58,4862280130,22.2837186,114.1296694,3,114.1296694,22.2837186,,,4308,POINT (114.1296694 22.2837186),4200.0
5,17,None,None,False,7309.232,58,8358637224,22.276067,114.1297303,3,114.1297303,22.276067,,,4863,POINT (114.1297303 22.276067),6300.0
5,18,None,None,False,11231.265,60,5087413985,22.2774015,114.1306707,5,114.1306707,22.2774015,,,5414,POINT (114.1306707 22.2774015),8200.0
5,18,None,None,False,11231.265,60,8358637161,22.2738176,114.1300428,2,114.1300428,22.2738176,,,5452,POINT (114.1300428 22.2738176),5400.0
5,18,None,None,False,11231.265,60,3296359693,22.2860553,114.1399779,3,114.1399779,22.2860553,,,4262,POINT (114.1399779 22.2860553),4200.0
5,18,None,None,False,11231.265,60,1680951631,22.2811549,114.1399238,2,114.1399238,22.2811549,,crossing,5219,POINT (114.1399238 22.2811549),2400.0
5,18,None,None,False,11231.265,60,253290826,22.2842265,114.1337439,3,114.1337439,22.2842265,,,4264,POINT (114.1337439 22.2842265),4500.0
5,19,0,0,False,15420.776,62,3491393283,22.2860852,114.1593073,3,114.1593073,22.2860852,,,4411,POINT (114.1593073 22.2860852),9600.0
5,19,0,0,False,15420.776,62,1615604186,22.2852622,114.1528407,3,114.1528407,22.2852622,,,5169,POINT (114.1528407 22.2852622),3600.0
5,19,0,0,False,15420.776,62,237492208,22.2817052,114.1515577,3,114.1515577,22.2817052,H101,,4230,POINT (114.1515577 22.2817052),4000.0
5,19,0,0,False,15420.776,62,239990446,22.2769289,114.1580839,3,114.1580839,22.2769289,,,4236,POINT (114.1580839 22.2769289),4200.0
5,20,0,0,False,9586.497,64,2766165930,22.2823635,114.1690807,3,114.1690807,22.2823635,,,2886,POINT (114.1690807 22.2823635),9800.0
5,20,0,0,False,9586.497,64,5070424649,22.2797123,114.1673764,3,114.1673764,22.2797123,,,2065,POINT (114.1673764 22.2797123),4800.0
5,20,0,0,False,9586.497,64,5010367148,22.2813455,114.1744581,3,114.1744581,22.2813455,,,2944,POINT (114.1744581 22.2813455),4200.0
5,20,0,0,False,9586.497,64,2496629713,22.279109,114.1625542,3,114.1625542,22.279109,,,2815,POINT (114.1625542 22.279109),4200.0
5,20,0,0,False,9586.497,64,24533064,22.276527,114.1731723,2,114.1731723,22.276527,,,0,POINT (114.1731723 22.276527),2400.0
5,21,0,0,False,11364.869999999999,66,587640056,22.2822888,114.1806073,3,114.1806073,22.2822888,,,1565,POINT (114.1806073 22.2822888),16000.0
5,21,0,0,False,11364.869999999999,66,2987721685,22.2794237,114.1795743,3,114.1795743,22.2794237,,,2013,POINT (114.1795743 22.2794237),3600.0
5,21,0,0,False,11364.869999999999,66,293111739,22.279743,114.17755,3,114.17755,22.279743,,,353,POINT (114.17755 22.279743),3600.0
5,21,0,0,False,11364.869999999999,66,9739092969,22.2821354,114.1768563,3,114.1768563,22.2821354,,,2422,POINT (114.1768563 22.2821354),4900.0
5,21,0,0,False,11364.869999999999,66,1013426262,22.2820712,114.1829226,3,114.1829226,22.2820712,,,2064,POINT (114.1829226 22.2820712),7600.0
5,22,None,None,False,9735.858,68,5145990155,22.2853919,114.190636,4,114.190636,22.2853919,H071,,1592,POINT (114.190636 22.2853919),12500.0
5,22,None,None,False,9735.858,68,990023279,22.2847742,114.1928807,3,114.1928807,22.2847742,,,1833,POINT (114.1928807 22.2847742),4000.0
5,22,None,None,False,9735.858,68,4858590457,22.282878,114.1988796,1,114.1988796,22.282878,,,439,POINT (114.1988796 22.282878),1200.0
5,22,None,None,False,9735.858,68,3790515058,22.2737642,114.1920943,3,114.1920943,22.2737642,,,2425,POINT (114.1920943 22.2737642),4000.0
5,22,None,None,False,9735.858,68,2556822835,22.2822218,114.1921987,3,114.1921987,22.2822218,,,209,POINT (114.1921987 22.2822218),3600.0
5,23,None,None,False,3193.958000000001,70,5145668270,22.2839285,114.2187882,3,114.2187882,22.2839285,,,2029,POINT (114.2187882 22.2839285),9200.0
5,23,None,None,False,3193.958000000001,70,4848421521,22.2846109,114.2127998,3,114.2127998,22.2846109,,,1838,POINT (114.2127998 22.2846109),4900.0
5,23,None,None,False,3193.958000000001,70,1653118849,22.2809449,114.2192281,3,114.2192281,22.2809449,,,1670,POINT (114.2192281 22.2809449),3600.0
