gridID_lat,gridID_lon,inner_gridID_lat,inner_gridID_lon,oneway,lanelength,fishnetID,osmid,y,x,street_count,lon,lat,highway,nodeID,geometry,lanecapacity
8,11,None,None,False,18873.863999999998,52,7635344827,38.3335661,26.1392245,4,26.1392245,38.3335661,,415,POINT (26.1392245 38.3335661),5600.0
8,11,None,None,False,18873.863999999998,52,4248963845,38.3355228,26.1439268,3,26.1439268,38.3355228,,278,POINT (26.1439268 38.3355228),3800.0
8,11,None,None,False,18873.863999999998,52,3992662851,38.3498097,26.1406984,3,26.1406984,38.3498097,,243,POINT (26.1406984 38.3498097),3600.0
8,11,None,None,False,18873.863999999998,52,2370355022,38.349721,26.1429958,3,26.1429958,38.349721,,71,POINT (26.1429958 38.349721),4000.0
8,11,None,None,False,18873.863999999998,52,3988759010,38.3310761,26.1490839,3,26.1490839,38.3310761,,117,POINT (26.1490839 38.3310761),4000.0
9,10,None,None,False,15856.488999999996,55,3992715510,38.3596146,26.1350904,4,26.1350904,38.3596146,,173,POINT (26.1350904 38.3596146),6400.0
9,10,None,None,False,15856.488999999996,55,2916372157,38.3678787,26.1350897,3,26.1350897,38.3678787,,250,POINT (26.1350897 38.3678787),4800.0
9,10,None,None,False,15856.488999999996,55,2916373220,38.3639927,26.13118,3,26.13118,38.3639927,,174,POINT (26.13118 38.3639927),3600.0
9,10,None,None,False,15856.488999999996,55,3982887220,38.3536271,26.1342761,3,26.1342761,38.3536271,,21,POINT (26.1342761 38.3536271),5000.0
9,11,None,None,False,4059.0029999999997,57,1073220447,38.3709345,26.1366554,4,26.1366554,38.3709345,,38,POINT (26.1366554 38.3709345),6600.0
9,11,None,None,False,4059.0029999999997,57,3992697239,38.3590868,26.1433274,4,26.1433274,38.3590868,,29,POINT (26.1433274 38.3590868),5400.0
9,11,None,None,False,4059.0029999999997,57,6749367530,38.3674401,26.1382743,4,26.1382743,38.3674401,,87,POINT (26.1382743 38.3674401),6000.0
9,11,None,None,False,4059.0029999999997,57,2370546572,38.3653757,26.1430459,3,26.1430459,38.3653757,,28,POINT (26.1430459 38.3653757),4000.0
9,11,None,None,False,4059.0029999999997,57,1067571056,38.3666066,26.1411609,3,26.1411609,38.3666066,,32,POINT (26.1411609 38.3666066),4200.0
10,9,None,None,False,7481.993,62,3978840923,38.387936,26.0877786,3,26.0877786,38.387936,,261,POINT (26.0877786 38.387936),2600.0
10,9,None,None,False,7481.993,62,3423460257,38.3860912,26.1053961,3,26.1053961,38.3860912,,283,POINT (26.1053961 38.3860912),2600.0
10,10,None,None,False,20594.211,63,1073265181,38.3728067,26.1335587,4,26.1335587,38.3728067,,49,POINT (26.1335587 38.3728067),6800.0
10,10,None,None,False,20594.211,63,9784527880,38.3781132,26.1162349,4,26.1162349,38.3781132,,507,POINT (26.1162349 38.3781132),5600.0
10,10,None,None,False,20594.211,63,2916398217,38.3726313,26.126958,2,26.126958,38.3726313,,253,POINT (26.126958 38.3726313),2800.0
10,10,None,None,False,20594.211,63,1073264921,38.3753732,26.1205088,3,26.1205088,38.3753732,,53,POINT (26.1205088 38.3753732),4000.0
