gridID_lat,gridID_lon,inner_gridID_lat,inner_gridID_lon,oneway,lanelength,ZoneID,osmid,y,x,street_count,lon,lat,highway,ref,geometry,lanecapacity
3,4,0,0,False,1368.266,42,290077168,51.0438332,13.7248476,3,13.7248476,51.0438332,,,POINT (13.7248476 51.0438332),4100.0
3,4,0,0,False,1368.266,42,247994358,51.0445751,13.7278028,3,13.7278028,51.0445751,,,POINT (13.7278028 51.0445751),3400.0
3,4,0,0,False,1368.266,42,2287846803,51.0454359,13.7233828,3,13.7233828,51.0454359,,,POINT (13.7233828 51.0454359),7200.0
3,4,0,1,False,5109.4580000000005,44,534799,51.0418041,13.7356759,4,13.7356759,51.0418041,,,POINT (13.7356759 51.0418041),9900.0
3,4,0,1,False,5109.4580000000005,44,7117637008,51.0370747,13.7450651,3,13.7450651,51.0370747,,,POINT (13.7450651 51.0370747),3000.0
3,4,0,1,False,5109.4580000000005,44,335716505,51.044743,13.7394061,3,13.7394061,51.044743,,,POINT (13.7394061 51.044743),6300.0
3,4,0,1,False,5109.4580000000005,44,534773,51.046317,13.7412087,4,13.7412087,51.046317,,,POINT (13.7412087 51.046317),9600.0
3,4,0,1,False,5109.4580000000005,44,2849823382,51.0391757,13.738507,3,13.738507,51.0391757,,,POINT (13.738507 51.0391757),2800.0
3,4,1,0,False,7076.7519999999995,46,18178797,51.049258,13.7205601,4,13.7205601,51.049258,,,POINT (13.7205601 51.049258),9300.0
3,4,1,0,False,7076.7519999999995,46,3952754484,51.0520244,13.728909,3,13.728909,51.0520244,,,POINT (13.728909 51.0520244),4200.0
3,4,1,0,False,7076.7519999999995,46,18178769,51.0514657,13.7150413,3,13.7150413,51.0514657,,,POINT (13.7150413 51.0514657),5600.0
3,4,1,0,False,7076.7519999999995,46,16574555,51.0566688,13.7283904,3,13.7283904,51.0566688,,,POINT (13.7283904 51.0566688),3600.0
3,4,1,1,False,6941.779,48,534806,51.0493154,13.7456377,4,13.7456377,51.0493154,,,POINT (13.7456377 51.0493154),11000.0
3,4,1,1,False,6941.779,48,357917181,51.0469133,13.7342636,3,13.7342636,51.0469133,,,POINT (13.7342636 51.0469133),5500.0
3,4,1,1,False,6941.779,48,24969686,51.0518954,13.7476379,3,13.7476379,51.0518954,,,POINT (13.7476379 51.0518954),2500.0
3,4,1,1,False,6941.779,48,24969610,51.0571443,13.7466343,4,13.7466343,51.0571443,,,POINT (13.7466343 51.0571443),9500.0
3,4,1,1,False,6941.779,48,311651883,51.0559322,13.7346024,2,13.7346024,51.0559322,,,POINT (13.7346024 51.0559322),4200.0
3,5,None,None,False,30434.470999999998,50,11298793,51.0558795,13.7559711,4,13.7559711,51.0558795,,,POINT (13.7559711 51.0558795),9800.0
3,5,None,None,False,30434.470999999998,50,27145651,51.0491781,13.7606854,3,13.7606854,51.0491781,,,POINT (13.7606854 51.0491781),4000.0
3,5,None,None,False,30434.470999999998,50,28796755,51.0417523,13.7667577,4,13.7667577,51.0417523,,,POINT (13.7667577 51.0417523),8400.0
3,5,None,None,False,30434.470999999998,50,6207267153,51.052191,13.7616605,3,13.7616605,51.052191,,,POINT (13.7616605 51.052191),4800.0
3,5,None,None,False,30434.470999999998,50,258315627,51.0527758,13.7766854,3,13.7766854,51.0527758,,,POINT (13.7766854 51.0527758),4300.0
3,6,None,None,False,45101.582,52,18628215,51.0428607,13.7954053,4,13.7954053,51.0428607,traffic_signals,,POINT (13.7954053 51.0428607),8000.0
3,6,None,None,False,45101.582,52,29138057,51.0543379,13.8141058,3,13.8141058,51.0543379,,,POINT (13.8141058 51.0543379),6800.0
3,6,None,None,False,45101.582,52,31272925,51.0524006,13.8027274,3,13.8027274,51.0524006,,,POINT (13.8027274 51.0524006),3600.0
3,6,None,None,False,45101.582,52,1800459129,51.0472611,13.8091424,3,13.8091424,51.0472611,,,POINT (13.8091424 51.0472611),4200.0
3,6,None,None,False,45101.582,52,18631911,51.0478202,13.7924536,3,13.7924536,51.0478202,,,POINT (13.7924536 51.0478202),3600.0
3,8,None,None,False,11878.073999999997,56,81580581,51.048206,13.869907,4,13.869907,51.048206,,,POINT (13.869907 51.048206),4800.0
3,8,None,None,False,11878.073999999997,56,81580688,51.0397071,13.8556944,3,13.8556944,51.0397071,,,POINT (13.8556944 51.0397071),2400.0
3,10,None,None,False,10463.144,59,29954442,51.0408783,13.9341868,3,13.9341868,51.0408783,,,POINT (13.9341868 51.0408783),4000.0
3,10,None,None,False,10463.144,59,149440544,51.0411952,13.9236206,3,13.9236206,51.0411952,,,POINT (13.9236206 51.0411952),3600.0
3,10,None,None,False,10463.144,59,29954503,51.0362255,13.951068,3,13.951068,51.0362255,,,POINT (13.951068 51.0362255),1400.0
4,1,None,None,False,19792.718999999997,61,60395691,51.0644573,13.6122901,3,13.6122901,51.0644573,motorway_junction,77b,POINT (13.6122901 51.0644573),18000.0
4,1,None,None,False,19792.718999999997,61,25283723,51.0784891,13.6103847,3,13.6103847,51.0784891,,,POINT (13.6103847 51.0784891),3600.0
4,1,None,None,False,19792.718999999997,61,25269438,51.071234,13.6440616,3,13.6440616,51.071234,,,POINT (13.6440616 51.071234),16000.0
