gridID_lat,gridID_lon,inner_grid_lat,inner_grid_lon,lat_min,lat_max,lon_min,lon_max,lane_capacity_total,node_count,lane_length,percent_residential_roads_(by_length)
3,5,None,None,51.03614553333333,51.057430677777774,13.748512727272727,13.783105272727273,233400.0,46,30434.470999999998,70.03724175918741
4,5,None,None,51.057430677777774,51.07871582222222,13.748512727272727,13.783105272727273,212300.0,44,42427.562,59.62776661877913
5,5,None,None,51.07871582222222,51.10000096666666,13.748512727272727,13.783105272727273,33300.0,5,3356.5429999999997,71.30558263439106
6,5,None,None,51.10000096666666,51.12128611111111,13.748512727272727,13.783105272727273,126600.0,22,18526.837,67.05891670443135
7,5,None,None,51.12128611111111,51.14257125555555,13.748512727272727,13.783105272727273,87500.0,11,1718.491,70.50033412650411
8,5,None,None,51.14257125555555,51.1638564,13.748512727272727,13.783105272727273,7600.0,3,3312.744,0.0
0,6,None,None,50.972290099999995,50.99357524444444,13.783105272727273,13.817697818181818,77000.0,19,10045.661999999998,60.227394471823445
1,6,None,None,50.99357524444444,51.014860388888884,13.783105272727273,13.817697818181818,160400.0,29,14309.752,70.16030411456086
2,6,None,None,51.014860388888884,51.03614553333333,13.783105272727273,13.817697818181818,95800.0,24,21770.802,69.01918905392561
3,6,None,None,51.03614553333333,51.057430677777774,13.783105272727273,13.817697818181818,157500.0,33,45101.582,73.87306055481109
4,6,None,None,51.057430677777774,51.07871582222222,13.783105272727273,13.817697818181818,44600.0,8,23165.357000000004,57.557711801338435
6,6,None,None,51.10000096666666,51.12128611111111,13.783105272727273,13.817697818181818,16600.0,4,8518.085000000001,63.23862242173728
7,6,None,None,51.12128611111111,51.14257125555555,13.783105272727273,13.817697818181818,5600.0,1,5959.5419999999995,72.16352164960294
8,6,None,None,51.14257125555555,51.1638564,13.783105272727273,13.817697818181818,11800.0,4,10814.894999999999,68.45347753749019
0,7,None,None,50.972290099999995,50.99357524444444,13.817697818181818,13.852290363636364,4000.0,1,4026.991000000001,70.21178072255286
1,7,None,None,50.99357524444444,51.014860388888884,13.817697818181818,13.852290363636364,57600.0,16,23119.191,70.11315380543249
2,7,None,None,51.014860388888884,51.03614553333333,13.817697818181818,13.852290363636364,21600.0,5,21676.262,73.58967477144242
3,7,None,None,51.03614553333333,51.057430677777774,13.817697818181818,13.852290363636364,3600.0,1,844.6220000000001,81.54868168709127
4,7,None,None,51.057430677777774,51.07871582222222,13.817697818181818,13.852290363636364,8200.0,1,11331.206000000004,78.83563768177147
7,7,None,None,51.12128611111111,51.14257125555555,13.817697818181818,13.852290363636364,10200.0,3,13580.565999999999,63.48002407891587
8,7,None,None,51.14257125555555,51.1638564,13.817697818181818,13.852290363636364,2400.0,1,3522.0379999999996,9.855498410773402
1,8,None,None,50.99357524444444,51.014860388888884,13.852290363636364,13.88688290909091,8000.0,3,12028.841000000002,73.51075365097104
2,8,None,None,51.014860388888884,51.03614553333333,13.852290363636364,13.88688290909091,1800.0,1,673.859,89.43651927969691
3,8,None,None,51.03614553333333,51.057430677777774,13.852290363636364,13.88688290909091,13200.0,4,11878.073999999997,63.58444332418592
4,8,None,None,51.057430677777774,51.07871582222222,13.852290363636364,13.88688290909091,45200.0,11,19328.745,59.09588634326588
6,8,None,None,51.10000096666666,51.12128611111111,13.852290363636364,13.88688290909091,2600.0,1,10484.792,0.0
8,8,None,None,51.14257125555555,51.1638564,13.852290363636364,13.88688290909091,1200.0,1,2418.7879999999996,52.45197144232126
1,9,None,None,50.99357524444444,51.014860388888884,13.88688290909091,13.921475454545455,1400.0,1,1752.3439999999998,61.99619824385526
2,9,None,None,51.014860388888884,51.03614553333333,13.88688290909091,13.921475454545455,4800.0,2,12286.786,51.45916295430914
3,9,None,None,51.03614553333333,51.057430677777774,13.88688290909091,13.921475454545455,3600.0,1,5577.490000000002,50.721545639814785
4,9,None,None,51.057430677777774,51.07871582222222,13.88688290909091,13.921475454545455,16800.0,4,3505.683,55.91392126724789
3,10,None,None,51.03614553333333,51.057430677777774,13.921475454545455,13.956068,16600.0,5,10463.144,40.199778710880345
4,10,None,None,51.057430677777774,51.07871582222222,13.921475454545455,13.956068,2800.0,2,2563.716999999999,2.736147581356605
