fishnetid,CO2,CO2psqkm
63,51855528.70962539,8838719.866086785
64,53147867.41950989,9063245.314625226
65,62980184.08579513,10739939.080232624
66,46651561.00512918,7951709.090634655
67,35988198.10211103,6134150.194302267
68,48161787.01266168,8212974.700208751
69,22445795.58607805,3827655.9635557495
70,125024568.5005207,5327576.428841506
71,101634639.05228938,4330879.233280748
72,57925754.56628175,2468345.9287355635
73,31039036.734913945,1322642.7610680738
74,24869704.593645737,4239014.769022381
75,3596780.2404314135,613067.3769246235
76,47734604.29721353,8140127.718151794
77,1117202.718766229,190515.30753664175
78,60203733.580115885,2567822.998580523
79,48105988.14244842,2051827.276745837
80,57212185.61085969,9760907.036900965
81,52382471.324067116,8936914.880949713
82,15559198.482936779,2655784.0623283265
83,45666577.427833185,7794782.529892255
84,54379662.46334157,9277653.4288174
85,39246499.00180363,6695801.326067797
86,50154181.80013836,8560767.241962954
87,70929753.5833807,12106928.857434453
88,39291234.995461024,6703433.683941072
89,23762582.04523022,4054107.5615925696
90,34067733.07350208,5814987.361687363
91,60276725.63765677,10288574.148172352
92,28834129.931498386,11068556.964360856
93,23615638.130878367,9065334.605981184
94,20832122.66085525,7996826.5700412765
95,31114432.42338808,11947635.198156878
96,36074166.19500381,13852124.053261904
97,34259008.82221248,13155121.523301816
98,15265249.19698966,5863540.853830961
99,35331849.737177014,13571330.654478729
100,32676989.314356625,12551571.176624622
101,25938588.99645029,9957045.715075398
102,20002653.882857278,7678418.404397592
103,15594607.264156735,5986301.62415948
104,40281288.16225098,15467617.397791618
105,27508751.30114553,10563089.206662605
106,17340263.56754389,6658490.199203355
107,37075380.90456895,14241039.094740378
108,36396224.9658564,13980168.240857486
109,36623282.87164046,14067383.542066181
110,31514488.881125282,12097466.308577634
111,27938922.455653477,10724913.685897505
112,14470656.801392823,5554850.779213675
113,15030293.966192406,5771484.653345024
114,30992818.280826755,11900936.566779384
115,27633570.9720866,10614341.779891787
116,25017918.29469724,9609642.404507656
117,29296956.99204379,11253265.63615177
118,50346777.82243477,2147401.9352110596
119,16359819.115485601,697782.633720843
120,20859265.49319432,889694.0186548881
121,82271660.91827671,3509069.1303428435
122,44858803.53967725,1915125.7913663068
123,24190372.369166322,1032742.7923031638
124,69744071.30839635,2977535.2710747267
125,94531640.63920158,4035773.779124046
126,116663624.11864768,4980639.201985597
127,24786339.23897336,9523673.600777749
128,50507136.701812565,19406394.78142914
129,34335889.98528599,13192904.601979509
130,26246047.393033523,10087699.758269718
131,16795432.348186158,6455344.543948772
132,31578375.205260556,12137186.341026362
133,34117630.29449912,13117265.02688759
134,9843983.210340803,3784733.452343455
135,25829626.401692227,9930761.665798262
136,38170063.84614087,14666112.082412912
137,26357095.96481752,10127206.628343785
138,29021336.27275523,11150889.667706352
139,39881922.59405838,15328664.7275582
140,25463300.936061352,9786850.219802834
141,35377705.87786062,13597463.636637261
142,28179656.72089622,10834281.935293354
143,25842810.145520087,9935830.44286039
144,39011933.77144213,14998986.449944032
145,34927291.828132786,13420139.372869564
146,21273380.96947056,8173887.026434265
147,20948579.53529594,8049088.329283847
148,14898412.45961732,5726222.677147784
149,26158459.6930566,10054035.320853965
150,12429066.960634017,4777126.77633835
151,21699433.52196955,8342819.181286921
152,28271170.962067455,10869466.57575143
153,9523756.454458136,3661615.311096228
154,25423145.748483576,4341490.797281335
155,24358488.5923421,4159680.1239926596
156,20413425.01636579,3487624.2619759273
157,26354148.49153431,4502594.131514082
158,46186404.782805525,1971804.150589957
159,20523140.51222686,876180.2057434723
161,63149423.852728754,2698532.1589026074
162,28202610.516069315,1205167.7877553487
163,27769881.549260333,1186676.2012644566
164,48438112.1316134,2069881.16959742
165,32342978.26941914,5528383.891754331
166,54242895.38637532,9271735.787538448
167,33156622.898957565,5670129.819676448
168,56941566.71417147,9737604.350992857
169,115813660.44491033,4949006.152133138
170,60424977.405865066,10328438.802621203
171,48502922.75811233,8290602.511781854
172,37454601.13472919,6405129.117802638
173,37461445.997512914,6406299.661036186
174,74579108.09073207,3186951.0327514713
175,22492385.770098094,3844622.537316121
176,27236221.90174823,4655486.244327718
177,35675859.92686988,6100945.739570611
178,14914622.27587839,2550556.6345940283
179,47100204.148362294,2012709.0293277719
180,36432363.56774883,1556845.6323794918
181,44225501.00580811,1889865.8044145545
182,55523059.87444205,2374875.30479548
183,19571623.799184747,837132.6461571109
184,27013730.04031085,1155452.1762349245
185,60271862.11054966,2577994.7507228637
186,76391813.60975164,3267489.7968627447
187,83337280.4285785,3564566.6810548017
188,102390939.94564348,4379544.55791148
189,64071749.56274345,2740526.4788305075
190,55531009.416315846,2375215.328755314
191,15051671.074946862,643801.7287345146
192,52608094.37828609,2250194.1437282357
193,54900924.23884444,2348264.837711082
194,39636850.19165855,1696978.7247056486
195,43249066.7330642,1851629.1217517103
196,55851187.767603874,2391165.7190941474
197,36897898.12004468,1579715.53726662
198,34827911.33889884,1491092.8664176224
199,25537977.2898904,1093361.4533800744
200,54866484.722376086,2349007.4721642216
201,71358912.86997691,3055100.4020990287
202,85415428.64321268,3656904.230993849
203,71101834.49458697,3044094.065028621
204,53379914.1875326,2285362.693171804
205,31266369.99433069,1339877.8200852457
