From,To,Demand,TT,Distance,Estimated?
36453073,1305739650,,0.5998914893617021,564,No
1305739650,3967803897,,0.09501267605633804,71,No
1305739650,3967803876,,0.08463203463203463,77,No
36453875,3967803873,,8.806923995880538,971,No
3967803873,3967803907,,0.2130954901960784,85,No
3967803873,361495686,,0.16796363636363634,55,No
36453928,1021379624,,0.43015899470899466,630,No
36453928,36243586,,0.41640750286368844,582,No
1021379624,1789109560,,1.2525620269133726,1189,No
1305739807,36453073,,1.2634673785594637,1592,No
1305739807,1305739763,,0.2669093632958801,267,No
36644992,706854268,,1.7179796113306984,1012,No
706854268,706854186,,0.29856690647482015,139,No
36644998,1305700895,,0.058694444444444445,24,No
36644998,583229701,,0.5047894736842106,152,No
583229701,583229699,,0.6372174479166666,128,No
583229701,1305700915,,0.05443200000000001,25,No
36645010,1013434025,,0.05068068181818182,44,No
1013434025,559939114,,0.055063328998699604,1538,No
1013434025,36645011,,0.17880407673860907,139,No
36645011,7227116182,,0.5022555331991951,497,No
36645011,559940333,,0.6238394736842106,247,No
7227116182,2129295815,,0.7839033114035087,760,No
7227116182,559939030,,0.24754367469879518,166,No
559940333,559940357,,0.2785248226950355,47,No
559940333,1013433836,,0.22749066666666665,25,No
38818505,155570772,,2.165839761570828,4278,No
38818505,152936849,,0.7272314613349016,3401,No
155570772,290732710,,0.3164030456852792,591,No
152936849,939228250,,0.8519165553435116,1048,No
152936849,153868596,,2.438750701754386,380,No
38830915,960933537,,0.5321137777777778,450,No
38830915,559981005,,2.660611932418163,947,No
960933537,960933493,,0.39970232558139535,43,No
960933537,559981000,,0.09880547945205481,803,No
559981005,38830917,,2.2773627756471715,2086,No
38830917,540886658,,0.4323098614506927,818,No
38830917,813880702,,0.3335895238095238,350,No
540886658,939228168,,0.13517908496732026,255,No
813880702,813880933,,0.13706280781924346,1313,No
813880702,540886671,,0.43207874999999996,40,No
38830930,3127007821,,1.9079927768313458,2935,No
38830930,153879588,,0.38530409570154095,411,No
3127007821,294112227,,1.3806475574712642,2436,No
153879588,152799951,,0.06920425531914894,47,No
38840225,347502148,,0.30185890313390307,234,No
38840225,6190756935,,0.7631109195402298,290,No
347502148,3605587272,,2.1200802359882007,904,No
6190756935,7028177716,,5.266870302536969,2457,No
6190756935,360468380,,0.3789298724954463,183,No
38842600,38842615,,2.9871753607103213,901,No
38842615,6370146300,,0.030048923679060667,511,No
6370146300,7174899906,,1.163152810768013,421,No
6370146300,362401389,,1.3347175141242937,1062,No
42240105,939887913,,2.1646933333333327,650,No
939887913,939887946,,0.07142121212121211,1452,No
939887913,839087089,,0.9827767295597484,318,No
43386253,363374063,,0.5664,80,No
43386253,574812193,,0.8820042194092825,79,No
363374063,273473908,,0.3569066157760814,131,No
574812193,251109637,,0.15288921568627448,17,No
574812193,363374063,,0.08905555555555555,57,No
43386416,8445978239,,1.3321079622132252,247,No
8445978239,43386253,,0.7088711462450592,253,No
43400613,1851774668,,1.729902131782946,516,No
1851774668,43400613,,1.1012736842105264,323,No
6145985920,251115394,,2.7607080157289774,551,No
46865975,1856349782,,0.05146470588235295,17,No
1856349782,802432837,,0.6547359302325583,430,No
1856349782,1856349779,,0.033229999999999996,10,No
46894965,2296243718,,3.4881085436893207,1030,No
2296243718,360011138,,1.1235203020134226,298,No
46895107,1370169423,,1.514915561959654,1388,No
46895107,46895130,,0.20013953488372094,43,No
1370169423,250678874,,0.43907321517723413,2003,No
46895130,821499205,,0.0173375,4,No
46895130,46897095,,0.14759796860572483,361,No
821499205,46897094,,0.11951745389113809,741,No
821499205,250924743,,4.273620761099367,2365,No
46897095,36409556,,1.4965376940133037,451,No
46897073,6224343925,,5.800213278855974,1958,No
6224343925,250924743,,0.5525194805194805,77,No
6224343925,1829312870,,0.690824226061915,463,No
46897094,46897095,,0.1930827380952381,28,No
84568321,364054594,,0.4166666666666667,751,No
84568321,364054499,,0.2986231343283582,268,No
364054594,152950863,,0.2835805330634278,494,No
84568339,445393429,,0.5670955420466058,987,No
84568339,2192311136,,0.41718949044586,314,No
445393429,84568354,,0.6187193432928727,1071,No
2192311136,2192311144,,0.5110266666666666,40,No
2192311136,445393419,,0.07513573232323233,1320,No
84568354,361444021,,1.1808726054515,2189,No
361444021,579786585,,0.21509501675041875,398,No
361444021,361444085,,0.166221183800623,214,No
95663392,961530806,,0.9804804071246819,131,No
95663392,95663394,,0.5008519553072626,179,No
961530806,961530639,,0.3648451612903226,31,No
961530806,597677303,,0.41519380952380947,35,No
95663394,97788216,,0.9061725663716814,113,No
95663394,97788471,,0.8370724444444445,150,No
97788216,97788210,,0.036996969696969695,11,No
97788216,597677303,,0.1428,55,No
97788471,98303894,,1.2979391472868216,258,No
97788471,358465449,,2.058492456140351,380,No
95663395,95663394,,1.273473669467787,238,No
98303894,98303840,,1.2725140913508264,343,No
6279842604,8212395770,,0.812758231707317,164,No
952764144,250920242,,0.11508636363636365,44,No
8253823131,962356923,,0.4551071428571428,42,No
95663420,250714052,,1.2443545081967213,122,No
95663420,962356679,,0.18961935483870968,62,No
250714052,6220792258,,6.613643750000002,1392,No
250714052,250714051,,1.6859729591836736,392,No
962356679,688786344,,1.4578116883116883,154,No
962356679,95663467,,0.43146502732240444,122,No
95663464,962356674,,0.19277241379310345,29,No
95663464,95663472,,0.7335140791476408,219,No
962356674,95663392,,1.0276298969072164,97,No
95663472,635132981,,0.17822435897435898,52,No
3879024943,962356657,,0.3825969498910676,306,No
95663467,962356840,,0.3663026315789473,57,No
95663467,95663392,,0.43703763440860216,93,No
962356840,962356674,,0.04758333333333334,24,No
962356840,95663464,,0.2136346153846154,26,No
635132981,635132991,,0.15903571428571428,476,No
635132981,97834757,,0.3684028776978417,417,No
95663474,962356740,,0.6124035294117647,85,No
962356740,97834761,,0.24009246031746034,336,No
962356740,31179466,,0.24701866666666666,25,No
95663490,95663474,,0.46292926829268294,123,No
97788195,97788202,,0.6822265669515671,234,No
97788195,516020524,,0.5488060975609756,123,No
97788195,95663467,,0.9615002801120448,119,No
97788202,97788210,,0.1139150406504065,41,No
516020524,962356679,,0.792990056022409,119,No
516020524,250714052,,0.4208975409836065,61,No
97788210,358464212,,1.2335217503217502,259,No
97788210,515962403,,0.5553480263157896,152,No
358464212,358464177,,0.03979,10,No
358464212,1062776792,,4.287037630942788,1241,No
515962403,4056070360,,0.4005985915492958,71,No
515962403,5921003579,,0.28518787878787877,44,No
597677303,97788202,,0.08592819010416665,1024,No
597677303,961530639,,0.07494222222222223,30,No
358465449,8207385990,,0.9142485632183908,116,No
358465449,250718242,,0.24556018518518516,108,No
97788477,97788471,,0.750530081300813,123,No
97788477,97788216,,0.49122435897435895,156,No
97834757,635132991,,0.169409604519774,59,No
635132991,95663474,,0.6491179487179486,91,No
98303840,250922398,,0.6080767955801105,181,No
250922398,250922396,,0.02175185185185185,18,No
250922398,354633932,,0.23718333333333333,92,No
5414071417,961068467,,0.1957277777777778,36,No
250718783,358465449,,1.9587845276872964,307,No
137231964,153871218,,0.531281799591002,978,No
137231964,155574836,,0.4633476941039113,571,No
153871218,153873215,,0.5658665983606558,976,No
155574836,939228250,,0.5531500707387587,10838,No
150563272,8414272817,,1.2714593787335722,837,No
560712716,4508507510,,0.21791902268760907,191,No
8414272817,8414270414,,0.1385044127190136,1541,No
150565860,805901573,,0.27938186462324394,261,No
805901573,6536640153,,1.3074387464387462,468,No
805901573,360107688,,0.1783963909774436,665,No
152348900,571467965,,0.2658936329588015,89,No
152348900,7130743357,,3.100291654021244,659,No
571467965,571467970,,1.9334138149556404,263,No
7130743357,1955394123,,1.1286738871432314,5092,No
152351589,7083322292,,0.3495038844481839,2377,No
152351589,648228934,,0.30357333333333336,45,No
7083322292,648532072,,0.31830310559006214,322,No
648228934,638592867,,0.23857037037037035,36,No
