,Unnamed: 0,osmid,y,x,street_cou,lon,lat,ref,highway,geometry,gridID_lon,gridID_lat,inner_grid_lon,inner_grid_lat
9927,9927,246441331,45.5944388,-73.6909097,3,-73.6909097,45.5944388,,,POINT (-73.69090970000001 45.5944388),4.0,5.0,0,1
9928,9928,246441355,45.592766100000006,-73.6891325,3,-73.6891325,45.592766100000006,,,POINT (-73.6891325 45.5927661),4.0,5.0,1,1
9929,9929,246441381,45.5951359,-73.68995059999999,3,-73.68995059999999,45.5951359,,,POINT (-73.6899506 45.5951359),4.0,5.0,1,1
9930,9930,246441383,45.5965686,-73.68758940000001,3,-73.68758940000001,45.5965686,,,POINT (-73.68758939999999 45.5965686),4.0,5.0,1,1
9931,9931,246441382,45.5924652,-73.6933662,3,-73.6933662,45.5924652,,,POINT (-73.6933662 45.5924652),4.0,5.0,0,1
9932,9932,583097310,45.5970314,-73.6869272,4,-73.6869272,45.5970314,,,POINT (-73.6869272 45.5970314),4.0,5.0,1,1
9933,9933,246441389,45.59127470000001,-73.6950791,4,-73.6950791,45.59127470000001,,traffic_signals,POINT (-73.6950791 45.5912747),4.0,5.0,0,1
9934,9934,252126743,45.5872528,-73.69980059999999,3,-73.69980059999999,45.5872528,,,POINT (-73.6998006 45.5872528),4.0,5.0,0,0
9935,9935,583096699,45.593719899999996,-73.6987697,3,-73.6987697,45.593719899999996,,,POINT (-73.6987697 45.5937199),4.0,5.0,0,1
9936,9936,583096742,45.5879086,-73.6912636,3,-73.6912636,45.5879086,,,POINT (-73.6912636 45.5879086),4.0,5.0,0,0
9937,9937,246441412,45.596534000000005,-73.6891248,3,-73.6891248,45.596534000000005,,,POINT (-73.6891248 45.596534),4.0,5.0,1,1
9938,9938,583097271,45.5956283,-73.68892650000001,3,-73.68892650000001,45.5956283,,,POINT (-73.68892649999999 45.5956283),4.0,5.0,1,1
9939,9939,246441430,45.596522799999995,-73.688002,3,-73.688002,45.596522799999995,,,POINT (-73.688002 45.5965228),4.0,5.0,1,1
