from,to,volume,EstimatedTT,TSTT:,579615.5725852246,length,CO2,lengthm
1024906838,1024906990,65.58607906756217,1.9476606786001438,,,32.461,429.88217205351106,0.020170324031
1024906990,1444870332,65.58607906756217,94.68243298906928,,,1578.04,20898.03957941291,0.98054829284
1024906990,4010617070,0.0,1.9198199999999999,,,31.997,0.0,0.019882007887
1444870332,1444870331,65.58607906756217,1.0629003703336801,,,17.715,234.6003720750423,0.011007587265
4010617070,1296364859,461.6805162376831,2.368604610616242,,,39.443,3677.3779978408415,0.024508736353
1024907007,10766470147,0.0,161.58762000000002,,,2693.127,0.0,1.673431017117
10766470147,6990361948,0.0,0.645059999999994,,,10.751,0.0,0.006680359621
6499032670,8954239842,57.58723131021324,10.010652138440015,,,166.844,1940.049072013137,0.10367202312399999
1296364859,1024906838,0.0,1.9101000000000001,,,31.835,0.0,0.019781345785
1296364859,6990408821,461.6805162376831,313.7641759998216,,,5224.933,487134.6919451494,3.246621843143
6990408821,6990408831,461.6805162376831,1.485189494454294,,,24.732,2305.831519980722,0.015367747572
1444811772,7004433454,461.6805162376831,1.327074342469086,,,22.099,2060.3497800442333,0.013731677729
7004433454,2046702133,461.6805162376831,1532.20542222818,,,25514.929,2378826.116701852,15.854236947659
7004433454,7004433450,0.0,1.94124,,,32.354,0.0,0.020103837334
2046702133,7004433450,65.58607906756217,1530.8242133667973,,,25513.728,337879.2030381837,15.853490681088
7004433450,7004433446,65.58607906756217,1.27044044264439,,,21.174,280.4080315166213,0.013156909554
2046702175,2046702054,0.0,103.23426,,,1720.571,0.0,1.069112922841
5851236580,6990408826,65.58607906756217,59.14580060746489,,,985.763,13054.494303009298,0.612524541073
5851236580,5851236582,0.0,2.86218,,,47.703,0.0,0.029641260813000003
6990408826,6990408825,65.58607906756217,1.21908042474963,,,20.318,269.0719932159585,0.012625015978
5851236582,1444811772,461.6805162376831,126.00258314571184,,,2098.248,195625.35885235766,1.303790458008
5851236582,5851236580,0.0,3.00384,,,50.064,0.0,0.031108317744
8954239842,8954239845,181.1184232900874,1.1068913107273741,,,18.446,674.6021700974246,0.011461809466
6990361553,6990362012,0.0,94.46441999999999,,,1574.407,0.0,0.9782908519969999
6990362012,10766470147,0.0,1.94706,,,32.451,0.0,0.020164110321
6990362012,1024907007,0.0,162.66246,,,2711.041,0.0,1.6845622572110002
6990361948,6990362012,0.0,2.59482,,,43.247,0.0,0.026872431637
6990361948,6990361553,0.0,94.60938,,,1576.823,0.0,0.979792084333
6990408831,5851236582,461.6805162376831,60.00863354050391,,,999.289,93166.42704876338,0.620929205219
6990408831,6990408826,0.0,2.3176200000000002,,,38.627,0.0,0.024001697617000002
6990408825,1024906838,65.58607906756217,314.2448294885728,,,5237.412,69359.23250975396,3.254375931852
6990408825,6990408821,0.0,2.1602399999999937,,,36.004,0.0,0.022371841484
7004433446,5851236580,65.58607906756217,126.34114401953585,,,2105.685,27885.66099197488,1.308411594135
7004433446,1444811772,0.0,2.05902,,,34.317,0.0,0.021323588607
2046702054,2046702175,0.0,102.84947999999999,,,1714.158,0.0,1.065128070618
611074863,611074864,0.0,1.40844,,,23.474,0.0,0.014586062854
611074864,4923102849,0.0,144.2286,,,2403.81,0.0,1.49365782351
611074864,4483729198,0.0,1.64442,,,27.407,0.0,0.017029914997
4923102849,5479993983,0.0,1.0459800000000001,,,17.433,0.0,0.010832360643
4483729198,4483729199,0.0,1.395299999999994,,,23.255,0.0,0.014449982605
611074875,611074863,0.0,70.92257999999997,,,1182.043,0.0,0.734487240953
611074875,671395623,0.0,2.06538,,,34.423,0.0,0.021389453933000003
671395623,3536528547,0.0,1.24644,,,20.774,0.0,0.012908361154
611074942,611074875,0.0,1.6665,,,27.775,0.0,0.017258579524999998
611075074,611075084,0.0,19.19202,,,319.867,0.0,0.198756077657
611075074,1490607325,0.0,20.31804,,,338.634,0.0,0.21041734721400002
611075084,4605618169,0.0,169.15752,,,2819.292,0.0,1.751826289332
1490607325,1490607323,0.0,1.9318799999999998,,,32.198,0.0,0.020006903458000002
1490607325,2391851758,0.0,2.2119600000000004,,,36.866,0.0,0.022907463286
4605618169,4605618129,0.0,8.36196,,,139.366,0.0,0.08659799078600001
4605618169,2923606780,0.0,6.47166,,,107.861,0.0,0.067021697431
611075223,10034225107,0.0,21.703860000000002,,,361.731,0.0,0.224769153201
611075223,611075227,0.0,1.9235462984826062,,,51.594,0.0,0.032059015374
10034225107,10034225108,0.0,1.50126,,,25.021,0.0,0.015547323791
611075227,611075228,0.0,1.462319999999994,,,24.372,0.0,0.015144054012
611075228,10033993012,0.0,1.9344327488287079,,,51.886,0.0,0.032240455706
611075228,10033992959,0.0,10.27698,,,171.283,0.0,0.106430288993
10033993012,3876297161,0.0,1.416058757005974,,,37.982,0.0,0.023600913322
10033993012,611075223,0.0,1.27974,,,21.329,0.0,0.013253222059000001
10033992959,11076695789,0.0,1.15968,,,19.328,0.0,0.012009858687999999
611075244,10034225019,0.0,96.78882,,,1613.147,0.0,1.002362764537
611075244,10033992962,0.0,25.23234,,,420.539,0.0,0.261310738969
10034225019,5480002192,0.0,38.85132,,,647.522,0.0,0.40235139266200004
10033992962,10033992959,0.0,2.303267177849304,,,61.779,0.0,0.038387679009
10033992962,10033993012,0.0,10.7934,,,179.89,0.0,0.11177842919
611075254,3977934702,0.0,119.568,,,1992.8,0.0,1.2382681288
3977934702,10032129071,0.0,25.773899999999998,,,429.565,0.0,0.26691923361500003
611075479,3536528802,0.0,17.029379999999993,,,283.823,0.0,0.176359381333
611075479,3536528794,0.0,21.31104,,,355.184,0.0,0.22070103726400003
3536528802,8009990459,0.0,61.417559999999995,,,1023.626,0.0,0.636051511246
611075510,611075479,0.0,104.49708000000001,,,1741.618,0.0,1.082190918278
611075510,4605618014,0.0,2.3073599999999996,,,38.456,0.0,0.023895443176
4605618014,671439821,0.0,1.17018,,,19.503,0.0,0.012118598613000001
611075562,2923607617,0.0,21.02112,,,350.352,0.0,0.21769857259199998
611075562,4605618101,0.0,11.330279999999993,,,188.838,0.0,0.117338456898
2923607617,671439836,0.0,10.27116,,,171.186,0.0,0.106370016006
2923607617,4605618101,0.0,14.03274,,,233.879,0.0,0.145325628109
4605618101,611075510,0.0,109.71522,,,1828.587,0.0,1.136230932777
611075606,10027856930,70.5287781866061,18.347828548778104,,,305.797,4354.8726505930035,0.19001338768700002
10027856930,10027856945,70.5287781866061,8.041323746682727,,,134.022,1908.6150039986508,0.08327738416199999
611075625,5590306823,0.0,1.7889000000000002,,,29.815,0.0,0.018526176365
611075625,2552563468,70.5287781866061,38.20651780150943,,,636.775,9068.349369291922,0.395673518525
5590306823,1490606872,87.0677806585482,1.915082072387436,,,31.918,561.1371992071703,0.019832919578
5590306823,5590306825,0.0,2.42364,,,40.394,0.0,0.025099660173999998
2552563468,611075606,70.5287781866061,35.461456522506865,,,591.024,8416.806749065823,0.367245173904
611075639,1490607149,70.5287781866061,13.35270622140774,,,222.545,3169.276134253181,0.138283009195
1490607149,1490607173,70.5287781866061,26.553792372171355,,,442.563,6302.565116284304,0.274995813873
1490607149,611075074,0.0,171.54444,,,2859.074,0.0,1.7765456704540001
611075703,3990029407,70.03566842832555,102.42706640297034,,,1707.117,24141.17715440775,1.060752997407
3990029407,3990029409,0.0,3.314279999999994,,,55.238,0.0,0.034323291298
3990029407,10027856886,70.03566842832555,74.25255363895077,,,1237.542,17500.687215943646,0.768972710082
3536528547,3939124521,0.0,116.96124,,,1949.354,0.0,1.2112720443340002
3536528547,611074942,0.0,2.1132599999999937,,,35.221,0.0,0.021885307990999997
671439805,3536528826,0.0,22.00266,,,366.711,0.0,0.22786358078100002
671439805,10925220938,0.0,15.999659999999999,,,266.661,0.0,0.165695412231
3536528826,4605618014,0.0,91.96001999999999,,,1532.667,0.0,0.952354826457
671439821,671439827,0.0,88.55316,,,1475.886,0.0,0.917072759706
671439821,611075510,0.0,2.07654,,,34.609,0.0,0.021505028939
671439827,671439836,0.0,25.433220000000002,,,423.887,0.0,0.263391089077
671439827,2923607617,0.0,15.49248,,,258.208,0.0,0.16044296316800002
671439836,4605618113,0.0,108.79943999999999,,,1813.324,0.0,1.1267469472040001
4605618113,4605618144,0.0,10.95444,,,182.574,0.0,0.11344618895400001
4605618113,4605618128,0.0,20.44128,,,340.688,0.0,0.211693643248
1490606872,1490606918,87.0677806585482,74.80736095205803,,,1246.788,21919.265816313957,0.774717906348
1490606872,5590306829,0.0,1.754219999999994,,,29.237,0.0,0.018167023927
1490606918,3990029409,87.0677806585482,1.007521090279146,,,16.792,295.21322918374574,0.010434061832000002
1490606918,5590306836,0.0,1.78824,,,29.804,0.0,0.018519341284
5590306829,611075625,69.75904258319872,1.797060801343566,,,29.951,421.8788135845355,0.018610682821
1490606889,5590306823,87.0677806585482,81.85340857686992,,,1364.222,23983.824555949734,0.847687988362
1490606889,2552563493,0.0,27.007859999999994,,,450.131,0.0,0.279698349601
3990029409,5590306837,87.0677806585482,1.0522211386508702,,,17.537,308.31076704355365,0.010896983227
3990029409,3990029407,0.0,3.18468,,,53.078,0.0,0.032981129938
5590306836,5590306837,0.0,2.41506,,,40.251,0.0,0.025010804121
1490606953,9256584593,87.12634479573154,44.798568608898144,,,746.642,13135.234364198952,0.46394168618200005
9256584593,9256584602,87.12634479573154,3.8621441906377623,,,64.369,1132.4060269702493,0.039997029899
9256584593,9256584597,0.0,3.05724,,,50.954,0.0,0.031661337934
1490606963,1490606953,0.0,13.5594,,,225.99,0.0,0.14042363229000002
1490606958,1490606997,70.5287781866061,24.00499118461199,,,400.083,5697.604995036584,0.24859997379300003
1490606958,1490606977,0.0,12.301440000000001,,,205.024,0.0,0.127395967904
1490606997,1490607117,70.5287781866061,136.9649438158848,,,2282.748,32508.74545334283,1.418433407508
1490606977,1490606997,0.0,11.931,,,198.85,0.0,0.12355962335
